_runtime,_timestamp,train/loss,Sample Generation,_step,lr,iter,val/loss,train/step_loss
20.2555013,1779611885.1188228,4.164690017700195,,0,9.900990099009901e-06,0.0,4.1692094802856445,
20.4316285,1779611885.29074,,,1,,0.0,,4.1893510818481445
22.0892426,1779611886.955047,,,2,,10.0,,3.128478765487671
23.7532602,1779611888.6190643,,,3,,20.0,,2.7316901683807373
25.5618208,1779611890.42712,,,4,,30.0,,2.625382661819458
27.3004185,1779611892.1662226,,,5,,40.0,,2.5500473976135254
29.0433281,1779611893.9083076,,,6,,50.0,,2.511776924133301
30.7931815,1779611895.6584804,,,7,,60.0,,2.4969301223754883
32.5373417,1779611897.4026372,,,8,,70.0,,2.5268638134002686
34.28755,1779611899.1508632,,,9,,80.0,,2.4662256240844727
36.0360383,1779611900.9001944,,,10,,90.0,,2.455538034439087
37.7830909,1779611902.648895,,,11,,100.0,,2.454773426055908
39.5326807,1779611904.398485,,,12,,110.0,,2.4306020736694336
41.2829073,1779611906.1481442,,,13,,120.0,,2.4428343772888184
43.0371314,1779611907.9029355,,,14,,130.0,,2.433454990386963
44.7923121,1779611909.6539702,,,15,,140.0,,2.4285359382629395
46.5461201,1779611911.411413,,,16,,150.0,,2.3987436294555664
48.2964537,1779611913.1603093,,,17,,160.0,,2.3710155487060547
50.046613,1779611914.9124172,,,18,,170.0,,2.3408472537994385
51.7984435,1779611916.6642478,,,19,,180.0,,2.3410027027130127
53.5518871,1779611918.4173653,,,20,,190.0,,2.2906150817871094
55.3026137,1779611920.1676242,,,21,,200.0,,2.275211811065674
57.0483843,1779611921.912717,,,22,,210.0,,2.2239162921905518
58.8027171,1779611923.6680162,,,23,,220.0,,2.219625949859619
60.5478829,1779611925.4131832,,,24,,230.0,,2.186044216156006
62.2981441,1779611927.1639483,,,25,,240.0,,2.137631893157959
86.3633241,1779611951.228239,2.0236051082611084,,26,0.0009979206008271391,250.0,2.1188220977783203,
86.5513318,1779611951.416471,,,27,,250.0,,2.1172730922698975
88.3451389,1779611953.210943,,,28,,260.0,,2.0961833000183105
90.1451758,1779611955.0105824,,,29,,270.0,,2.0335147380828857
91.9486232,1779611956.813112,,,30,,280.0,,1.9927351474761963
93.7444329,1779611958.6097288,,,31,,290.0,,1.9753122329711914
95.5505129,1779611960.4103057,,,32,,300.0,,1.9494645595550537
97.350369,1779611962.2144008,,,33,,310.0,,1.9428602457046509
99.1501223,1779611964.0101888,,,34,,320.0,,1.867479920387268
100.9518741,1779611965.8171744,,,35,,330.0,,1.8985753059387207
102.7532281,1779611967.6184862,,,36,,340.0,,1.8488762378692627
104.5548541,1779611969.4170444,,,37,,350.0,,1.816042423248291
106.3640965,1779611971.2293518,,,38,,360.0,,1.8411781787872314
108.165583,1779611973.030679,,,39,,370.0,,1.795134425163269
109.9668114,1779611974.8319957,,,40,,380.0,,1.7628295421600342
111.767572,1779611976.6323109,,,41,,390.0,,1.718945026397705
113.5650174,1779611978.4308217,,,42,,400.0,,1.7445062398910522
115.3648543,1779611980.2298431,,,43,,410.0,,1.7314356565475464
117.1656302,1779611982.0304873,,,44,,420.0,,1.7071585655212402
118.9630597,1779611983.8284082,,,45,,430.0,,1.7024452686309814
120.7622996,1779611985.6276991,,,46,,440.0,,1.681603193283081
122.559536,1779611987.4253402,,,47,,450.0,,1.6572633981704712
124.3577583,1779611989.2229753,,,48,,460.0,,1.6289074420928955
126.1609554,1779611991.0262349,,,49,,470.0,,1.6215124130249023
127.9611833,1779611992.826207,,,50,,480.0,,1.627882480621338
129.7624835,1779611994.627879,,,51,,490.0,,1.6057727336883545
153.8616119,1779612018.7268007,1.5311931371688843,,52,0.0009852826883675631,500.0,1.7157063484191895,
154.0475776,1779612018.9128735,,,53,,500.0,,1.5978444814682007
155.8281349,1779612020.6933386,,,54,,510.0,,1.613236665725708
157.6139771,1779612022.4792702,,,55,,520.0,,1.550360918045044
159.4018143,1779612024.2676187,,,56,,530.0,,1.523946762084961
161.1917429,1779612026.057547,,,57,,540.0,,1.5379893779754639
162.9799162,1779612027.8452876,,,58,,550.0,,1.5447533130645752
164.7627449,1779612029.628549,,,59,,560.0,,1.5209243297576904
166.5507878,1779612031.4160876,,,60,,570.0,,1.525738000869751
168.3438624,1779612033.2091506,,,61,,580.0,,1.534846544265747
170.1382247,1779612035.003231,,,62,,590.0,,1.5277742147445679
171.9369098,1779612036.8009338,,,63,,600.0,,1.4882360696792603
173.7302438,1779612038.5904999,,,64,,610.0,,1.526343822479248
175.5255146,1779612040.3906221,,,65,,620.0,,1.4775054454803467
177.3196669,1779612042.1843455,,,66,,630.0,,1.4600294828414917
179.1148315,1779612043.9806356,,,67,,640.0,,1.4844229221343994
180.9135019,1779612045.7785504,,,68,,650.0,,1.470588207244873
182.7048014,1779612047.5700934,,,69,,660.0,,1.4583194255828857
184.4885594,1779612049.3537579,,,70,,670.0,,1.452709674835205
186.2752735,1779612051.1405702,,,71,,680.0,,1.4634027481079102
188.0672851,1779612052.9297194,,,72,,690.0,,1.4511858224868774
189.8593722,1779612054.7251763,,,73,,700.0,,1.4394643306732178
191.6527026,1779612056.5179026,,,74,,710.0,,1.4586589336395264
193.4513915,1779612058.3166912,,,75,,720.0,,1.4048588275909424
195.2516885,1779612060.1166158,,,76,,730.0,,1.455890417098999
197.046231,1779612061.911455,,,77,,740.0,,1.4398237466812134
221.1124737,1779612085.977553,1.3467005491256714,,78,0.0009614856803571157,750.0,1.573830246925354,
221.3018393,1779612086.1676433,,,79,,750.0,,1.41994047164917
223.115585,1779612087.9808848,,,80,,760.0,,1.4146591424942017
224.9298787,1779612089.795178,,,81,,770.0,,1.4080865383148193
226.7369346,1779612091.6021276,,,82,,780.0,,1.411834478378296
228.5482736,1779612093.4137604,,,83,,790.0,,1.4027262926101685
230.3528397,1779612095.2181325,,,84,,800.0,,1.41283118724823
