train/loss,lr,_timestamp,iter,_step,train/step_loss,_runtime,val/loss,Sample Generation
4.282788276672363,9.900990099009901e-06,1779557798.4835107,0.0,0,,15.7947548,4.283384799957275,
,,1779557798.6228518,0.0,1,4.28221321105957,15.9356515,,
,,1779557800.0228853,10.0,2,3.4144067764282227,17.3374671,,
,,1779557801.4657104,20.0,3,3.344496250152588,18.7773978,,
,,1779557802.9089587,30.0,4,3.314850330352783,20.2182788,,
,,1779557804.3445418,40.0,5,3.3284082412719727,21.6578876,,
,,1779557805.7891734,50.0,6,3.328232765197754,23.0984934,,
,,1779557807.2289283,60.0,7,3.334601879119873,24.538906,,
,,1779557808.669769,70.0,8,3.3329315185546875,25.9790891,,
,,1779557809.975382,80.0,9,3.3207855224609375,27.284702,,
,,1779557811.3571942,90.0,10,3.293060302734375,28.6670221,,
,,1779557812.7957003,100.0,11,3.3361735343933105,30.1050203,,
,,1779557814.233066,110.0,12,3.3449134826660156,31.5433292,,
,,1779557815.616224,120.0,13,3.3195276260375977,32.9259289,,
,,1779557816.986762,130.0,14,3.3086142539978027,34.3020704,,
,,1779557818.370889,140.0,15,3.339857578277588,35.680734,,
,,1779557819.7480989,150.0,16,3.3427367210388184,37.0574189,,
,,1779557821.125469,160.0,17,3.325572967529297,38.4385903,,
,,1779557822.5088391,170.0,18,3.2961559295654297,39.8187483,,
,,1779557823.8891454,180.0,19,3.3060388565063477,41.198939,,
,,1779557825.265454,190.0,20,3.3062477111816406,42.5778984,,
,,1779557826.6476061,200.0,21,3.309140205383301,43.9569261,,
,,1779557828.0223286,210.0,22,3.293610095977783,45.3371279,,
,,1779557829.408872,220.0,23,3.302555561065674,46.7187274,,
,,1779557830.7864978,230.0,24,3.329854965209961,48.0988597,,
,,1779557832.1722465,240.0,25,3.3019461631774902,49.4820766,,
3.3217711448669434,0.0009979206008271391,1779557849.6554835,250.0,26,,66.965805,3.3647801876068115,
,,1779557849.792038,250.0,27,3.307804584503174,67.102225,,
,,1779557851.177901,260.0,28,3.318735122680664,68.4872211,,
,,1779557852.614167,270.0,29,3.3122620582580566,69.9242395,,
,,1779557854.0503561,280.0,30,3.3423690795898438,71.3606807,,
,,1779557855.4888947,290.0,31,3.337153434753418,72.798562,,
,,1779557856.9268458,300.0,32,3.302877426147461,74.236679,,
,,1779557858.3607602,310.0,33,3.3446807861328125,75.6740652,,
,,1779557859.7997196,320.0,34,3.326035976409912,77.110544,,
,,1779557861.23605,330.0,35,3.319668769836426,78.5459746,,
,,1779557862.6716282,340.0,36,3.3173446655273438,79.9814725,,
,,1779557864.1075258,350.0,37,3.287654399871826,81.4168461,,
,,1779557865.5432858,360.0,38,3.306713581085205,82.8545849,,
,,1779557866.9815743,370.0,39,3.357210159301758,84.2912771,,
,,1779557868.4185014,380.0,40,3.30245304107666,85.7278216,,
,,1779557869.8531625,390.0,41,3.328856945037842,87.1631687,,
,,1779557871.2884705,400.0,42,3.2754287719726562,88.5977905,,
,,1779557872.724735,410.0,43,3.3077898025512695,90.0345587,,
,,1779557874.1617506,420.0,44,3.317521095275879,91.4715761,,
,,1779557875.5990646,430.0,45,3.3384737968444824,92.9083848,,
,,1779557877.0353432,440.0,46,3.3109641075134277,94.3446632,,
,,1779557878.4701207,450.0,47,3.3232250213623047,95.7799979,,
,,1779557879.9060163,460.0,48,3.3343214988708496,97.215905,,
,,1779557881.3367527,470.0,49,3.2975692749023438,98.6512291,,
,,1779557882.779865,480.0,50,3.2985005378723145,100.0891852,,
,,1779557884.2154481,490.0,51,3.3136205673217773,101.5264782,,
3.319516658782959,0.0009852826883675631,1779557901.629853,500.0,52,,118.93963719999999,3.358837842941284,
,,1779557901.7670267,500.0,53,3.316479206085205,119.0768646,,
,,1779557903.1118479,510.0,54,3.3181405067443848,120.4219518,,
,,1779557904.4613843,520.0,55,3.317718982696533,121.7712174,,
,,1779557905.8501203,530.0,56,3.3365731239318848,123.1599459,,
,,1779557907.290495,540.0,57,3.299032211303711,124.6003195,,
,,1779557908.7302663,550.0,58,3.2874913215637207,126.0400912,,
,,1779557910.1699347,560.0,59,3.278616428375244,127.4799994,,
,,1779557911.609768,570.0,60,3.3041043281555176,128.919981,,
,,1779557913.0501966,580.0,61,3.321504592895508,130.3595169,,
,,1779557914.4876652,590.0,62,3.328640937805176,131.8002071,,
,,1779557915.9309855,600.0,63,3.2996487617492676,133.2408535,,
,,1779557917.3713143,610.0,64,3.2998647689819336,134.6816663,,
,,1779557918.8121526,620.0,65,3.2822036743164062,136.1220977,,
,,1779557920.2515628,630.0,66,3.296095848083496,137.5615027,,
,,1779557921.6912475,640.0,67,3.330120086669922,139.0005674,,
,,1779557923.1310685,650.0,68,3.2968735694885254,140.4410874,,
,,1779557924.5711274,660.0,69,3.27778959274292,141.8804475,,
,,1779557926.0102441,670.0,70,3.3329029083251953,143.3200676,,
