iter,_timestamp,Sample Generation,_runtime,train/step_loss,_step,val/loss,train/loss,lr
0.0,1779602498.3053672,,19.1196642,,0,4.208611965179443,4.218273639678955,9.900990099009901e-06
0.0,1779602498.467073,,19.2816284,4.22239875793457,1,,,
10.0,1779602499.995932,,20.814092,2.9907546043395996,2,,,
20.0,1779602501.7382672,,22.5525618,2.716470241546631,3,,,
30.0,1779602503.283388,,24.0971769,2.582613945007324,4,,,
40.0,1779602504.9500136,,25.7653074,2.5290486812591553,5,,,
50.0,1779602506.637215,,27.4516601,2.5001254081726074,6,,,
60.0,1779602508.3342664,,29.1530475,2.5156052112579346,7,,,
70.0,1779602509.9832873,,30.7984088,2.4957170486450195,8,,,
80.0,1779602511.561733,,32.3763813,2.448986530303955,9,,,
90.0,1779602513.3611765,,34.175792,2.4751925468444824,10,,,
100.0,1779602515.1290154,,35.9428045,2.4674103260040283,11,,,
110.0,1779602516.8166456,,37.6309391,2.4500179290771484,12,,,
120.0,1779602518.4229345,,39.237445,2.437133312225342,13,,,
130.0,1779602520.098041,,40.9123354,2.4345481395721436,14,,,
140.0,1779602521.874634,,42.6893007,2.421510696411133,15,,,
150.0,1779602523.6109598,,44.4247487,2.3949825763702393,16,,,
160.0,1779602525.3503668,,46.164968,2.399421215057373,17,,,
170.0,1779602527.0905359,,47.9048382,2.412372589111328,18,,,
180.0,1779602528.8321092,,49.6464174,2.395623207092285,19,,,
190.0,1779602530.5742822,,51.3885745,2.3796863555908203,20,,,
200.0,1779602532.312832,,53.1266209,2.375845432281494,21,,,
210.0,1779602534.0523465,,54.8661353,2.3424882888793945,22,,,
220.0,1779602535.7828233,,56.600886,2.3262674808502197,23,,,
230.0,1779602537.5232024,,58.3369912,2.3682899475097656,24,,,
240.0,1779602539.263884,,60.0776729,2.353658437728882,25,,,
250.0,1779602561.8011706,,82.615923,,26,2.3888962268829346,2.3141961097717285,0.0009979206008271391
250.0,1779602561.9749527,,82.7887415,2.3510546684265137,27,,,
260.0,1779602563.6456876,,84.4605572,2.3633127212524414,28,,,
270.0,1779602565.3153603,,86.1298241,2.3062732219696045,29,,,
280.0,1779602566.9886293,,87.8029269,2.295896053314209,30,,,
290.0,1779602568.6543136,,89.4703351,2.3437445163726807,31,,,
300.0,1779602570.3248408,,91.1391356,2.2589523792266846,32,,,
310.0,1779602571.995871,,92.8096598,2.2795615196228027,33,,,
320.0,1779602573.665531,,94.479829,2.240034580230713,34,,,
330.0,1779602575.3326333,,96.1511361,2.2123827934265137,35,,,
340.0,1779602577.006692,,97.8204807,2.1728906631469727,36,,,
350.0,1779602578.6775956,,99.4920143,2.2045528888702393,37,,,
360.0,1779602580.3493476,,101.1635448,2.1665897369384766,38,,,
370.0,1779602582.0219874,,102.8370971,2.1796374320983887,39,,,
380.0,1779602583.696338,,104.5105981,2.132413387298584,40,,,
390.0,1779602585.3715444,,106.1853333,2.091409683227539,41,,,
400.0,1779602587.049318,,107.863107,2.0973544120788574,42,,,
410.0,1779602588.7256906,,109.5399719,2.0739307403564453,43,,,
420.0,1779602590.4006715,,111.2144605,2.0221285820007324,44,,,
430.0,1779602592.080746,,112.894535,2.0394983291625977,45,,,
440.0,1779602593.7568092,,114.5711886,2.020266532897949,46,,,
