Sample Generation,_runtime,lr,train/loss,train/step_loss,val/loss,iter,_step,_timestamp
,18.5996745,9.900990099009901e-06,5.593234062194824,,5.585561752319336,0.0,0,1779549577.7108803
,18.7609699,,,5.193334579467773,,0.0,1,1779549577.872795
,20.2461774,,,4.3466949462890625,,10.0,2,1779549579.3583972
,21.7343979,,,3.3396148681640625,,20.0,3,1779549580.8429387
,23.2227544,,,3.3048834800720215,,30.0,4,1779549582.3335807
,24.7103248,,,3.317615509033203,,40.0,5,1779549583.819534
,26.1989435,,,3.172581195831299,,50.0,6,1779549585.3103416
,27.6868568,,,2.741248369216919,,60.0,7,1779549586.7943454
,29.1773973,,,2.621000051498413,,70.0,8,1779549588.2890224
,30.6648139,,,2.5791637897491455,,80.0,9,1779549589.77653
,32.1524085,,,2.5123226642608643,,90.0,10,1779549591.2646284
,33.6394136,,,2.5070369243621826,,100.0,11,1779549592.7511172
,35.1279657,,,2.4972190856933594,,110.0,12,1779549594.2366648
,36.6170757,,,2.4677014350891113,,120.0,13,1779549595.7292957
,38.1045151,,,2.4460458755493164,,130.0,14,1779549597.216047
,39.5937885,,,2.441553831100464,,140.0,15,1779549598.7032156
,41.0817249,,,2.4308645725250244,,150.0,16,1779549600.188245
,42.5702861,,,2.3959341049194336,,160.0,17,1779549601.6783485
,44.0573324,,,2.362236261367798,,170.0,18,1779549603.1658678
,45.5457128,,,2.3346619606018066,,180.0,19,1779549604.6574273
,47.0342504,,,2.2855710983276367,,190.0,20,1779549606.1455796
,48.5234657,,,2.2743771076202393,,200.0,21,1779549607.6353216
,50.0108108,,,2.2297253608703613,,210.0,22,1779549609.12222
,51.4992906,,,2.2403039932250977,,220.0,23,1779549610.6061544
,52.9885138,,,2.1827120780944824,,230.0,24,1779549612.1002288
,54.475443,,,2.180999517440796,,240.0,25,1779549613.5871375
,74.4758383,0.0009979206008271391,2.0704050064086914,,2.1418981552124023,250.0,26,1779549633.5868201
,74.6296859,,,2.1390814781188965,,250.0,27,1779549633.741906
,76.1186817,,,2.1079344749450684,,260.0,28,1779549635.2294917
,77.6070538,,,2.0909550189971924,,270.0,29,1779549636.7187686
,79.0957279,,,2.1012768745422363,,280.0,30,1779549638.2079477
,80.5846889,,,2.0431971549987793,,290.0,31,1779549639.6958823
,82.072897,,,2.0235555171966553,,300.0,32,1779549641.1805253
,83.5601337,,,1.9934532642364502,,310.0,33,1779549642.6714494
,85.0491028,,,1.9717786312103271,,320.0,34,1779549644.1605916
,86.5381187,,,1.9250810146331787,,330.0,35,1779549645.6503386
,88.0262811,,,1.897470474243164,,340.0,36,1779549647.13785
,89.5150173,,,1.9316084384918213,,350.0,37,1779549648.6265688
,91.0031481,,,1.8757565021514893,,360.0,38,1779549650.114862
,92.4923441,,,1.8509190082550049,,370.0,39,1779549651.6042228
,93.9811187,,,1.8324589729309082,,380.0,40,1779549653.0933387
,95.4684141,,,1.8234901428222656,,390.0,41,1779549654.580634
,96.9573552,,,1.847893238067627,,400.0,42,1779549656.0655468
,98.4452171,,,1.7805681228637695,,410.0,43,1779549657.5569322
,99.9329416,,,1.8141838312149048,,420.0,44,1779549659.0451615
,101.4206958,,,1.7797250747680664,,430.0,45,1779549660.53191
,102.9097579,,,1.7355108261108398,,440.0,46,1779549662.0214648
,104.3989001,,,1.7337068319320679,,450.0,47,1779549663.510335
,105.8865107,,,1.67719566822052,,460.0,48,1779549664.9980595
,107.3758807,,,1.742274522781372,,470.0,49,1779549666.4875298
,108.8649902,,,1.6973211765289307,,480.0,50,1779549667.9762897
,110.3531068,,,1.680885672569275,,490.0,51,1779549669.4648206
,130.3781667,0.0009852826883675631,1.5857921838760376,,1.773269772529602,500.0,52,1779549689.4898806
,130.5326693,,,1.6553215980529785,,500.0,53,1779549689.644383
,132.0206717,,,1.6907707452774048,,510.0,54,1779549691.1323364
,133.5095775,,,1.6573688983917236,,520.0,55,1779549692.6213765
,134.9976129,,,1.6299281120300293,,530.0,56,1779549694.1098328
,136.484306,,,1.6857702732086182,,540.0,57,1779549695.595739
,137.9739072,,,1.6350955963134766,,550.0,58,1779549697.0822735
,139.4624273,,,1.6305208206176758,,560.0,59,1779549698.5741246
,140.9496204,,,1.6444073915481567,,570.0,60,1779549700.0618403
,142.4378738,,,1.5994096994400024,,580.0,61,1779549701.5493371
,143.9269331,,,1.5674731731414795,,590.0,62,1779549703.0386386
,145.4158874,,,1.593313455581665,,600.0,63,1779549704.527202
,146.9038575,,,1.611853837966919,,610.0,64,1779549706.0154905
,148.392145,,,1.5832939147949219,,620.0,65,1779549707.5043647
,149.8800362,,,1.5737528800964355,,630.0,66,1779549708.992256
,151.3649833,,,1.5175321102142334,,640.0,67,1779549710.4772031
,152.8531993,,,1.571453332901001,,650.0,68,1779549711.9608128
,154.3424139,,,1.5727546215057373,,660.0,69,1779549713.4546337
,155.8316691,,,1.5157294273376465,,670.0,70,1779549714.9427855
,157.3178205,,,1.5726351737976074,,680.0,71,1779549716.4287643
,158.8068178,,,1.5279786586761475,,690.0,72,1779549717.9182992
,160.2945112,,,1.5506178140640259,,700.0,73,1779549719.406731
,161.7834543,,,1.5143643617630005,,710.0,74,1779549720.8951666
,163.2711944,,,1.5013267993927002,,720.0,75,1779549722.3787904
,164.7599661,,,1.4852116107940674,,730.0,76,1779549723.871527
,166.2480659,,,1.4854611158370972,,740.0,77,1779549725.3598104
,186.2368523,0.0009614856803571157,1.4139970541000366,,1.634688138961792,750.0,78,1779549745.348044
,186.3905519,,,1.4990086555480957,,750.0,79,1779549745.5027716
,187.8766774,,,1.5048953294754028,,760.0,80,1779549746.9888973
,189.3665329,,,1.4866199493408203,,770.0,81,1779549748.477749
,190.8554849,,,1.4838483333587646,,780.0,82,1779549749.967201
,192.3435027,,,1.486802339553833,,790.0,83,1779549751.4557226
,193.8323518,,,1.4930686950683594,,800.0,84,1779549752.9445717
,195.3208,,,1.4585695266723633,,810.0,85,1779549754.4330199
,196.8083574,,,1.469567894935608,,820.0,86,1779549755.9196997
,198.2969789,,,1.456997275352478,,830.0,87,1779549757.4084194
,199.7862475,,,1.4677269458770752,,840.0,88,1779549758.8938606
,201.2736471,,,1.449209213256836,,850.0,89,1779549760.3813515
,202.7619268,,,1.4643795490264893,,860.0,90,1779549761.8741467
