_timestamp,train/loss,train/step_loss,iter,_step,_runtime,Sample Generation,lr,val/loss
1779559440.609092,4.250847816467285,,0.0,0,36.2040824,,9.900990099009901e-06,4.247317314147949
1779559440.950083,,4.259274482727051,0.0,1,36.544142,,,
1779559444.149507,,3.137880802154541,10.0,2,39.7435659,,,
1779559447.3475335,,2.7610220909118652,20.0,3,42.9425936,,,
1779559450.546277,,2.603609800338745,30.0,4,46.1415818,,,
1779559453.746187,,2.544628620147705,40.0,5,49.3406059,,,
1779559456.9458601,,2.522191047668457,50.0,6,52.5405817,,,
1779559460.1398153,,2.512028932571411,60.0,7,55.7397066,,,
1779559463.3397698,,2.4925196170806885,70.0,8,58.9393453,,,
1779559466.5396702,,2.47957181930542,80.0,9,62.1390728,,,
1779559469.7437365,,2.476651668548584,90.0,10,65.3382998,,,
1779559472.9432201,,2.480936050415039,100.0,11,68.5377879,,,
1779559476.1436462,,2.47676420211792,110.0,12,71.738214,,,
1779559479.3437734,,2.4520537853240967,120.0,13,74.9378322,,,
1779559482.5436087,,2.4566240310668945,130.0,14,78.138173,,,
1779559485.7442377,,2.4477319717407227,140.0,15,81.3382964,,,
1779559488.9455159,,2.4287335872650146,150.0,16,84.540102,,,
1779559492.1453836,,2.4210739135742188,160.0,17,87.7404289,,,
1779559495.3465714,,2.411559820175171,170.0,18,90.9411342,,,
1779559498.5458486,,2.3774590492248535,180.0,19,94.1410593,,,
1779559501.7475855,,2.367433547973633,190.0,20,97.3421817,,,
1779559504.9489572,,2.3887577056884766,200.0,21,100.543016,,,
1779559508.1497443,,2.3728952407836914,210.0,22,103.7445027,,,
1779559511.3508346,,2.3021960258483887,220.0,23,106.9448936,,,
1779559514.550501,,2.29970645904541,230.0,24,110.1449608,,,
1779559517.750859,,2.2980382442474365,240.0,25,113.3454537,,,
1779559557.1076562,2.2037744522094727,,250.0,26,152.7023837,,0.0009979206008271391,2.2875289916992188
1779559557.4328573,,2.271474838256836,250.0,27,153.0269162,,,
1779559560.6312394,,2.2373838424682617,260.0,28,156.2262153,,,
1779559563.828086,,2.2072935104370117,270.0,29,159.4221449,,,
1779559567.0281546,,2.193072557449341,280.0,30,162.6226721,,,
1779559570.2276149,,2.1377439498901367,290.0,31,165.8223743,,,
1779559573.4271932,,2.1476144790649414,300.0,32,169.0212519,,,
1779559576.6223354,,2.0768632888793945,310.0,33,172.2206314,,,
1779559579.8221858,,2.045225143432617,320.0,34,175.4208509,,,
1779559583.0262358,,2.034341335296631,330.0,35,178.6207986,,,
1779559586.2220762,,1.9894657135009766,340.0,36,181.8206788,,,
