_timestamp,Sample Generation,train/loss,train/step_loss,lr,_runtime,_step,val/loss,iter
1779601298.4976974,,4.164690971374512,,9.900990099009901e-06,12.5931217,0,4.169074535369873,0.0
1779601298.5965822,,,4.18717098236084,,12.691524,1,,0.0
1779601299.5324643,,,3.126087188720703,,13.6242874,2,,10.0
1779601300.4662724,,,2.7322802543640137,,14.5593166,3,,20.0
1779601301.3983495,,,2.6309165954589844,,15.4929656,4,,30.0
1779601302.3358648,,,2.5482399463653564,,16.4286074,5,,40.0
1779601303.2687526,,,2.509521007537842,,17.3627973,6,,50.0
1779601304.1989422,,,2.4980053901672363,,18.297673,7,,60.0
1779601305.1355164,,,2.52254319190979,,19.2375247,8,,70.0
1779601306.0769718,,,2.4741392135620117,,20.1750921,9,,80.0
1779601307.021941,,,2.45695161819458,,21.1137639,10,,90.0
1779601307.9575505,,,2.4518086910247803,,22.0529852,11,,100.0
1779601308.8999836,,,2.4315948486328125,,22.9923313,12,,110.0
1779601309.8393269,,,2.4379329681396484,,23.9316557,13,,120.0
1779601310.779797,,,2.435424327850342,,24.8719615,14,,130.0
1779601311.7199388,,,2.4305644035339355,,25.8122682,15,,140.0
1779601312.6618803,,,2.383493185043335,,26.7540959,16,,150.0
1779601313.5935314,,,2.3712291717529297,,27.694791,17,,160.0
1779601314.5431683,,,2.3340020179748535,,28.6354966,18,,170.0
1779601315.4851694,,,2.334117889404297,,29.5774964,19,,180.0
1779601316.4294536,,,2.2891128063201904,,30.5212764,20,,190.0
1779601317.374426,,,2.2830982208251953,,31.4680201,21,,200.0
1779601318.321045,,,2.214787244796753,,32.4135821,22,,210.0
1779601319.2659886,,,2.197728157043457,,33.3594719,23,,220.0
1779601320.2137764,,,2.1587958335876465,,34.3062298,24,,230.0
1779601321.1641185,,,2.1110169887542725,,35.2564515,25,,240.0
1779601334.8586187,,2.0070078372955322,,0.0009979206008271391,48.9514437,26,2.1015267372131348,250.0
1779601334.964559,,,2.0920848846435547,,49.0571297,27,,250.0
1779601335.9851952,,,2.070681095123291,,50.0803903,28,,260.0
1779601337.0027206,,,2.001192331314087,,51.0957196,29,,270.0
1779601338.0197985,,,1.9726332426071167,,52.1125075,30,,280.0
1779601339.0562403,,,1.9559600353240967,,53.1480633,31,,290.0
1779601340.1015913,,,1.930436134338379,,54.1939179,32,,300.0
1779601341.1423857,,,1.9196746349334717,,55.2342086,33,,310.0
1779601342.148523,,,1.8569111824035645,,56.241068,34,,320.0
1779601343.2150402,,,1.8851191997528076,,57.3071645,35,,330.0
1779601344.2651231,,,1.8342138528823853,,58.357293,36,,340.0
1779601345.3125315,,,1.793699026107788,,59.4073281,37,,350.0
1779601346.3643854,,,1.8272709846496582,,60.4569176,38,,360.0
1779601347.4465733,,,1.7905182838439941,,61.5391757,39,,370.0
1779601348.5070157,,,1.7494081258773804,,62.5994795,40,,380.0
1779601349.613873,,,1.7079071998596191,,63.7064797,41,,390.0
1779601350.6700032,,,1.7358219623565674,,64.7618262,42,,400.0
1779601351.78863,,,1.7206748723983765,,65.8811597,43,,410.0
1779601352.846741,,,1.7028956413269043,,66.938564,44,,420.0
1779601353.9767866,,,1.6901254653930664,,68.0686097,45,,430.0
1779601355.0645623,,,1.6716657876968384,,69.1573892,46,,440.0
1779601356.1534877,,,1.6607017517089844,,70.2460497,47,,450.0
1779601357.2959065,,,1.6216914653778076,,71.3877295,48,,460.0
1779601358.389575,,,1.6365355253219604,,72.4813977,49,,470.0
1779601359.5675786,,,1.6228749752044678,,73.6604037,50,,480.0
1779601360.7082458,,,1.6008286476135254,,74.8009169,51,,490.0
1779601376.2489016,,1.5316247940063477,,0.0009852826883675631,90.3415815,52,1.7233221530914307,500.0
1779601376.3815465,,,1.5988469123840332,,90.4733695,53,,500.0
1779601377.6357627,,,1.610836148262024,,91.7275855,54,,510.0
1779601378.8907099,,,1.55037522315979,,92.9825326,55,,520.0
1779601380.1442277,,,1.528486967086792,,94.2360508,56,,530.0
1779601381.3951254,,,1.5441229343414307,,95.4869485,57,,540.0
1779601382.6490192,,,1.5361433029174805,,96.7413475,58,,550.0
1779601383.904295,,,1.5219674110412598,,97.9961179,59,,560.0
1779601385.1563137,,,1.5341261625289917,,99.2481366,60,,570.0
1779601386.4130073,,,1.5344865322113037,,100.5084393,61,,580.0
1779601387.675306,,,1.5362894535064697,,101.767677,62,,590.0
1779601388.9330518,,,1.4950506687164307,,103.0276493,63,,600.0
1779601390.1945179,,,1.5281211137771606,,104.2875041,64,,610.0
