iter,_timestamp,val/loss,train/loss,Sample Generation,_runtime,lr,_step,train/step_loss
0.0,1779546331.2366035,4.2043962478637695,4.195293426513672,,31.2088329,9.900990099009901e-06,0,
0.0,1779546331.4652982,,,,31.4356701,,1,4.207525253295898
10.0,1779546333.7910216,,,,33.7601037,,2,3.0291783809661865
20.0,1779546336.0723987,,,,36.0420013,,3,2.6229681968688965
30.0,1779546338.418049,,,,38.387131,,4,2.4362034797668457
40.0,1779546340.6636636,,,,40.6332559,,5,2.3477895259857178
50.0,1779546342.9937449,,,,42.9635716,,6,2.2791025638580322
60.0,1779546345.286415,,,,45.2560017,,7,2.219057083129883
70.0,1779546347.5081728,,,,47.4778523,,8,2.1897525787353516
80.0,1779546349.8534508,,,,49.8229884,,9,2.131951332092285
90.0,1779546352.1931863,,,,52.1634021,,10,2.0984549522399902
100.0,1779546354.4288092,,,,54.3986259,,11,2.054460287094116
110.0,1779546356.826745,,,,56.7967647,,12,2.0509843826293945
120.0,1779546359.144486,,,,59.1184834,,13,2.011082887649536
130.0,1779546361.5376604,,,,61.5128201,,14,1.9478100538253784
140.0,1779546363.853387,,,,63.8224691,,15,1.974785327911377
150.0,1779546366.2602706,,,,66.2299107,,16,1.9147623777389526
160.0,1779546368.6489902,,,,68.6188343,,17,1.8717267513275146
170.0,1779546370.9510937,,,,70.9206731,,18,1.8400695323944092
180.0,1779546373.2901404,,,,73.2592224,,19,1.852434754371643
190.0,1779546375.6178138,,,,75.5874687,,20,1.8140864372253418
200.0,1779546377.992013,,,,77.9616497,,21,1.7850815057754517
210.0,1779546380.3861651,,,,80.3552474,,22,1.783034324645996
220.0,1779546382.7097275,,,,82.6788095,,23,1.7853670120239258
230.0,1779546385.0225444,,,,84.9977151,,24,1.7471483945846558
240.0,1779546387.3508701,,,,87.3199522,,25,1.716637372970581
250.0,1779546423.265677,1.804080605506897,1.6219801902770996,,123.237202,0.0009979206008271391,26,
250.0,1779546423.5289683,,,,123.4985776,,27,1.7386651039123535
260.0,1779546425.9033477,,,,125.8729344,,28,1.6596747636795044
270.0,1779546428.3188076,,,,128.2878897,,29,1.6833548545837402
280.0,1779546430.736761,,,,130.7068644,,30,1.7194039821624756
290.0,1779546433.057285,,,,133.0263673,,31,1.6744954586029053
300.0,1779546435.3041131,,,,135.2731953,,32,1.674251914024353
310.0,1779546437.6208916,,,,137.5946037,,33,1.6342921257019043
320.0,1779546440.0563798,,,,140.0259698,,34,1.6307247877120972
330.0,1779546442.3575428,,,,142.3274106,,35,1.5939810276031494
340.0,1779546444.7989535,,,,144.7680355,,36,1.5984547138214111
350.0,1779546447.0740843,,,,147.0431664,,37,1.6043553352355957
360.0,1779546449.398507,,,,149.3680952,,38,1.5943740606307983
370.0,1779546451.7219748,,,,151.691057,,39,1.5943856239318848
380.0,1779546454.050564,,,,154.0200013,,40,1.5881457328796387
390.0,1779546456.3778048,,,,156.3472867,,41,1.5613274574279785
400.0,1779546458.7007256,,,,158.6703477,,42,1.5162732601165771
410.0,1779546461.020445,,,,160.996121,,43,1.5517406463623047
420.0,1779546463.3505583,,,,163.3196403,,44,1.4932613372802734
430.0,1779546465.6782598,,,,165.647342,,45,1.4962377548217773
440.0,1779546468.006346,,,,167.9759368,,46,1.532904863357544
450.0,1779546470.333763,,,,170.3038457,,47,1.5197898149490356
460.0,1779546472.6526673,,,,172.6224888,,48,1.4686375856399536
470.0,1779546474.9703922,,,,174.9394743,,49,1.4604101181030273
480.0,1779546477.293987,,,,177.2630691,,50,1.4872245788574219
490.0,1779546479.6211555,,,,179.5905429,,51,1.484818935394287
500.0,1779546516.3586204,1.6053203344345093,1.3848098516464233,,216.3336076,0.0009852826883675631,52,
500.0,1779546516.6017005,,,,216.5714113,,53,1.4763695001602173
510.0,1779546518.9388752,,,,218.9088344,,54,1.487480640411377
520.0,1779546521.2802835,,,,221.2498808,,55,1.4589672088623047
