_timestamp,train/step_loss,val/loss,lr,_step,_runtime,train/loss,Sample Generation,iter
1779610456.3508363,,4.168477535247803,9.900990099009901e-06,0,19.685845,4.164024353027344,,0.0
1779610456.523739,4.186767578125,,,1,19.8578345,,,0.0
1779610458.301636,3.127338409423828,,,2,21.6363399,,,10.0
1779610460.1527133,2.735903024673462,,,3,23.4873126,,,20.0
1779610461.9381564,2.6231138706207275,,,4,25.2726975,,,30.0
1779610463.730289,2.550755500793457,,,5,27.0650826,,,40.0
1779610465.522753,2.5111565589904785,,,6,28.8568482,,,50.0
1779610467.314291,2.505354881286621,,,7,30.6499676,,,60.0
1779610469.106499,2.522833824157715,,,8,32.4414102,,,70.0
1779610470.8993626,2.4718239307403564,,,9,34.2342619,,,80.0
1779610472.6898644,2.4578285217285156,,,10,36.0245761,,,90.0
1779610474.6019843,2.4470536708831787,,,11,37.9360795,,,100.0
1779610476.4253714,2.425596237182617,,,12,39.7594666,,,110.0
1779610478.2527611,2.4311227798461914,,,13,41.587856,,,120.0
1779610480.1405091,2.432560443878174,,,14,43.4746044,,,130.0
1779610482.0657115,2.3958559036254883,,,15,45.4003372,,,140.0
1779610484.0340664,2.328146457672119,,,16,47.3686765,,,150.0
1779610485.8497844,2.2829818725585938,,,17,49.1853431,,,160.0
1779610487.8212762,2.228083372116089,,,18,51.1559693,,,170.0
1779610489.786462,2.2182469367980957,,,19,53.1208754,,,180.0
1779610491.7318435,2.1842870712280273,,,20,55.0676057,,,190.0
1779610493.537797,2.172250509262085,,,21,56.8723304,,,200.0
1779610495.378303,2.1383869647979736,,,22,58.7129124,,,210.0
1779610497.1621258,2.137270927429199,,,23,60.496879,,,220.0
1779610498.951303,2.1180458068847656,,,24,62.2861075,,,230.0
1779610500.8716962,2.0914134979248047,,,25,64.2063013,,,240.0
1779610524.1035638,,2.04050874710083,0.0009979206008271391,26,87.4386807,1.9372398853302002,,250.0
1779610524.2958565,2.0817534923553467,,,27,87.630456,,,250.0
1779610526.1860206,2.0790796279907227,,,28,89.5205291,,,260.0
1779610528.032442,2.0253496170043945,,,29,91.3665374,,,270.0
1779610529.879194,2.0083746910095215,,,30,93.2156035,,,280.0
1779610531.729249,2.006218671798706,,,31,95.0646765,,,290.0
1779610533.578056,1.9979053735733032,,,32,96.9126567,,,300.0
1779610535.4282203,1.9976787567138672,,,33,98.7628419,,,310.0
1779610537.282944,1.9441845417022705,,,34,100.6170393,,,320.0
1779610539.132669,1.9725937843322754,,,35,102.4667643,,,330.0
1779610541.0945055,1.9401211738586426,,,36,104.4350572,,,340.0
1779610543.0289874,1.904019832611084,,,37,106.3630826,,,350.0
1779610545.0071094,1.940563440322876,,,38,108.3412047,,,360.0
