iter,val/loss,_runtime,_timestamp,train/loss,train/step_loss,_step,Sample Generation,lr
0.0,4.238262176513672,12.6198222,1779618759.0854251,4.239290237426758,,0,,9.900990099009901e-06
0.0,,12.721521,1779618759.1869793,,4.237269401550293,1,,
10.0,,13.6916836,1779618760.156661,,3.1508336067199707,2,,
20.0,,14.6624454,1779618761.1279018,,2.7828571796417236,3,,
30.0,,15.633256,1779618762.0987108,,2.615485906600952,4,,
40.0,,16.6010791,1779618763.0660472,,2.5595502853393555,5,,
50.0,,17.5687679,1779618764.0338814,,2.536773920059204,6,,
60.0,,18.5364936,1779618765.0019515,,2.488844633102417,7,,
70.0,,19.5352476,1779618766.0007045,,2.4939768314361572,8,,
80.0,,20.539434,1779618767.0038943,,2.4863765239715576,9,,
90.0,,21.55901,1779618768.02447,,2.4909255504608154,10,,
100.0,,22.5310437,1779618768.996502,,2.4607667922973633,11,,
110.0,,23.520898,1779618769.986107,,2.4676551818847656,12,,
120.0,,24.5225428,1779618770.9879313,,2.456735134124756,13,,
130.0,,25.5127392,1779618771.9781966,,2.4380877017974854,14,,
140.0,,26.4781748,1779618772.9436355,,2.410989284515381,15,,
150.0,,27.4187638,1779618773.8842227,,2.3898568153381348,16,,
160.0,,28.4315529,1779618774.8970096,,2.3787803649902344,17,,
170.0,,29.4112959,1779618775.8772602,,2.3654978275299072,18,,
180.0,,30.3828614,1779618776.848192,,2.341662645339966,19,,
190.0,,31.3539336,1779618777.8193135,,2.2878000736236572,20,,
200.0,,32.3330468,1779618778.7985044,,2.276414394378662,21,,
210.0,,33.3051748,1779618779.770613,,2.234959840774536,22,,
220.0,,34.3177447,1779618780.7832036,,2.2243881225585938,23,,
230.0,,35.293111,1779618781.7585697,,2.1745822429656982,24,,
240.0,,36.2804034,1779618782.7458637,,2.149487018585205,25,,
250.0,2.1311275959014893,49.0851985,1779618795.5503488,2.0332541465759277,,26,,0.0009979206008271391
250.0,,49.1807313,1779618795.6466956,,2.1020960807800293,27,,
260.0,,50.1064256,1779618796.5719745,,2.071558952331543,28,,
270.0,,51.029051,1779618797.4950154,,2.0439696311950684,29,,
280.0,,51.9563135,1779618798.4215791,,1.9878675937652588,30,,
290.0,,52.883598,1779618799.3490582,,1.9992387294769287,31,,
300.0,,53.8117992,1779618800.2769084,,1.9792332649230957,32,,
310.0,,54.7434145,1779618801.2088735,,1.9190208911895752,33,,
320.0,,55.7020878,1779618802.167544,,1.8722100257873535,34,,
330.0,,56.6119418,1779618803.0774014,,1.8690863847732544,35,,
340.0,,57.5649317,1779618804.030388,,1.8747735023498535,36,,
350.0,,58.4979697,1779618804.9634118,,1.839242935180664,37,,
360.0,,59.4207575,1779618805.886209,,1.838587760925293,38,,
370.0,,60.3306485,1779618806.796107,,1.7970390319824219,39,,
380.0,,61.2464289,1779618807.7117157,,1.759168028831482,40,,
390.0,,62.1493583,1779618808.613944,,1.7991812229156494,41,,
400.0,,63.0736482,1779618809.5391068,,1.7419136762619019,42,,
410.0,,63.9379294,1779618810.4031146,,1.7203235626220703,43,,
420.0,,64.8036849,1779618811.2691433,,1.6961829662322998,44,,
430.0,,65.6631713,1779618812.128589,,1.7067116498947144,45,,
440.0,,66.5133273,1779618812.978755,,1.6609480381011963,46,,
450.0,,67.3741529,1779618813.8396122,,1.6593847274780273,47,,
460.0,,68.2364619,1779618814.7019165,,1.6764061450958252,48,,
470.0,,69.0920069,1779618815.5572104,,1.6711723804473877,49,,
480.0,,69.9465098,1779618816.4118004,,1.6604505777359009,50,,
490.0,,70.8313731,1779618817.2967339,,1.6450626850128174,51,,
500.0,1.7289366722106934,83.2940149,1779618829.7594104,1.5365813970565796,,52,,0.0009852826883675631
500.0,,83.3889018,1779618829.85436,,1.58916437625885,53,,
510.0,,84.275489,1779618830.7409422,,1.6198053359985352,54,,
520.0,,85.1419084,1779618831.606675,,1.5899243354797363,55,,
530.0,,85.9945617,1779618832.4600213,,1.5792982578277588,56,,
540.0,,86.842525,1779618833.3069386,,1.5706323385238647,57,,
550.0,,87.7092568,1779618834.174345,,1.5831634998321533,58,,
560.0,,88.5934929,1779618835.0589528,,1.5216435194015503,59,,
570.0,,89.4734937,1779618835.938769,,1.5365914106369019,60,,
580.0,,90.3668185,1779618836.8322766,,1.5277310609817505,61,,
590.0,,91.2404624,1779618837.7059224,,1.541566252708435,62,,
600.0,,92.1184041,1779618838.58329,,1.5062611103057861,63,,
610.0,,93.0891556,1779618839.5540538,,1.5307972431182861,64,,
620.0,,94.0398089,1779618840.5052319,,1.4736006259918213,65,,
630.0,,94.9924402,1779618841.4580388,,1.510297417640686,66,,
640.0,,95.8994345,1779618842.3642237,,1.4789761304855347,67,,
650.0,,96.7606354,1779618843.2265997,,1.4971343278884888,68,,
660.0,,97.6258501,1779618844.0901902,,1.4698197841644287,69,,
670.0,,98.484279,1779618844.9497206,,1.4589794874191284,70,,
680.0,,99.3599585,1779618845.8252385,,1.482661485671997,71,,
690.0,,100.235549,1779618846.7015133,,1.4577664136886597,72,,
700.0,,101.0985764,1779618847.5645406,,1.4812264442443848,73,,
710.0,,101.9631851,1779618848.427983,,1.4522143602371216,74,,
720.0,,102.8276038,1779618849.293064,,1.4225012063980103,75,,
730.0,,103.6942499,1779618850.1602142,,1.4415363073349,76,,
740.0,,104.6271752,1779618851.0926325,,1.432313323020935,77,,
750.0,1.5912531614303589,116.8485044,1779618863.3144686,1.3621585369110107,,78,,0.0009614856803571157
750.0,,116.9491172,1779618863.4137912,,1.461584448814392,79,,
760.0,,117.9022163,1779618864.367674,,1.4192731380462646,80,,
770.0,,118.7823912,1779618865.2475996,,1.4112337827682495,81,,
780.0,,119.6365013,1779618866.10096,,1.3898530006408691,82,,
790.0,,120.4805306,1779618866.9457288,,1.4268112182617188,83,,
800.0,,121.3253259,1779618867.7903888,,1.4305955171585083,84,,
810.0,,122.1691685,1779618868.634453,,1.4154216051101685,85,,
820.0,,123.0117572,1779618869.4764526,,1.4314258098602295,86,,
830.0,,123.8525404,1779618870.3179224,,1.4100456237792969,87,,
840.0,,124.6956328,1779618871.16107,,1.3978209495544434,88,,
850.0,,125.539887,1779618872.005524,,1.3942110538482666,89,,
860.0,,126.4186454,1779618872.8835175,,1.3961317539215088,90,,
870.0,,127.3493616,1779618873.8146982,,1.3654016256332397,91,,
880.0,,128.2825881,1779618874.7475507,,1.3694758415222168,92,,
890.0,,129.2058041,1779618875.6712615,,1.3702384233474731,93,,
900.0,,130.0520432,1779618876.5180075,,1.363108515739441,94,,
910.0,,130.9068351,1779618877.3722951,,1.3915480375289917,95,,
920.0,,131.7802159,1779618878.2454197,,1.3784706592559814,96,,
930.0,,132.6451639,1779618879.1105728,,1.3571219444274902,97,,
940.0,,133.5169937,1779618879.9824524,,1.3573358058929443,98,,
950.0,,134.3974404,1779618880.8628397,,1.3440978527069092,99,,
960.0,,135.2725471,1779618881.7373476,,1.3438836336135864,100,,
970.0,,136.1339329,1779618882.5993905,,1.3354640007019043,101,,
980.0,,137.0215805,1779618883.487039,,1.3018994331359863,102,,
990.0,,137.937418,1779618884.4018757,,1.3229236602783203,103,,
1000.0,1.518509030342102,150.6770593,1779618897.1414738,1.2713123559951782,,104,,0.0009271396472013282
1000.0,,150.7681155,1779618897.2335463,,1.349614143371582,105,,
1010.0,,151.6395072,1779618898.1044722,,1.344659447669983,106,,
1020.0,,152.4867664,1779618898.952224,,1.3470759391784668,107,,
1030.0,,153.3338217,1779618899.798898,,1.3444404602050781,108,,
1040.0,,154.1758613,1779618900.6413183,,1.3336443901062012,109,,
1050.0,,155.0193904,1779618901.4847982,,1.3232359886169434,110,,
1060.0,,155.8628155,1779618902.3282728,,1.3273820877075195,111,,
1070.0,,156.7045114,1779618903.1690996,,1.3221421241760254,112,,
1080.0,,157.5505226,1779618904.0159798,,1.2908979654312134,113,,
