lr,iter,train/step_loss,Sample Generation,_timestamp,_step,_runtime,val/loss,train/loss
9.900990099009901e-06,0.0,,,1779620143.6290698,0,14.3245542,4.183338165283203,4.190122604370117
,0.0,4.1932830810546875,,1779620143.7495804,1,14.4445612,,
,10.0,3.053375244140625,,1779620144.751745,2,15.4473129,,
,20.0,2.671844005584717,,1779620145.7696939,3,16.4646897,,
,30.0,2.589956521987915,,1779620146.8080268,4,17.5036699,,
,40.0,2.5370335578918457,,1779620147.830126,5,18.5250897,,
,50.0,2.430769443511963,,1779620148.840753,6,19.536058,,
,60.0,2.3473410606384277,,1779620149.8728213,7,20.568694,,
,70.0,2.292999029159546,,1779620150.906449,8,21.6018841,,
,80.0,2.22328519821167,,1779620151.9279904,9,22.6234424,,
,90.0,2.167475938796997,,1779620152.957444,10,23.6525574,,
,100.0,2.122741460800171,,1779620153.9883783,11,24.6833457,,
,110.0,2.068183660507202,,1779620155.0312607,12,25.7263078,,
,120.0,2.0365586280822754,,1779620156.068726,13,26.7642775,,
,130.0,1.9916346073150635,,1779620157.0928352,14,27.7879885,,
,140.0,1.9289473295211792,,1779620158.121424,15,28.8164183,,
,150.0,1.9211009740829468,,1779620159.1466198,16,29.8420962,,
,160.0,1.901479959487915,,1779620160.1836312,17,30.8785988,,
,170.0,1.8455220460891724,,1779620161.2186613,18,31.914009,,
,180.0,1.8288298845291138,,1779620162.2480013,19,32.9435182,,
,190.0,1.8086137771606445,,1779620163.279722,20,33.9748112,,
,200.0,1.8084876537322998,,1779620164.3188663,21,35.0148628,,
,210.0,1.7624232769012451,,1779620165.3457417,22,36.0407092,,
,220.0,1.7580102682113647,,1779620166.369,23,37.0642707,,
,230.0,1.711094617843628,,1779620167.3942487,24,38.0892145,,
,240.0,1.7325023412704468,,1779620168.4174483,25,39.1124386,,
0.0009979206008271391,250.0,,,1779620183.4512985,26,54.1469536,1.7874253988265991,1.5991995334625244
,250.0,1.7224286794662476,,1779620183.5624325,27,54.2574339,,
,260.0,1.6617071628570557,,1779620184.625129,28,55.3204973,,
,270.0,1.6523996591567993,,1779620185.6928988,29,56.3884669,,
,280.0,1.6461164951324463,,1779620186.746181,30,57.4417886,,
,290.0,1.6117054224014282,,1779620187.8161898,31,58.511158,,
,300.0,1.6229337453842163,,1779620188.8861573,32,59.5811222,,
,310.0,1.5953227281570435,,1779620189.9741242,33,60.6691627,,
,320.0,1.5951652526855469,,1779620191.037082,34,61.732048,,
,330.0,1.5543568134307861,,1779620192.1112506,35,62.8063973,,
,340.0,1.5583094358444214,,1779620193.1695018,36,63.864467,,
,350.0,1.5775091648101807,,1779620194.2330027,37,64.9281937,,
,360.0,1.519532561302185,,1779620195.2916844,38,65.9875747,,
,370.0,1.5116050243377686,,1779620196.3362803,39,67.031392,,
,380.0,1.5164480209350586,,1779620197.3813112,40,68.076768,,
,390.0,1.5128495693206787,,1779620198.4268916,41,69.1218571,,
,400.0,1.5157943964004517,,1779620199.4545321,42,70.1495774,,
,410.0,1.4772742986679077,,1779620200.4951882,43,71.1901693,,
,420.0,1.4624370336532593,,1779620201.5287924,44,72.2239885,,
,430.0,1.5004380941390991,,1779620202.5843077,45,73.2792737,,
,440.0,1.4791715145111084,,1779620203.6253726,46,74.3203883,,
,450.0,1.463572382926941,,1779620204.6649065,47,75.3598717,,
,460.0,1.4346750974655151,,1779620205.7407658,48,76.4357302,,
,470.0,1.4317524433135986,,1779620206.8072755,49,77.5022429,,
,480.0,1.415443778038025,,1779620207.8869834,50,78.5820049,,
,490.0,1.434198021888733,,1779620208.9829805,51,79.6779481,,
0.0009852826883675631,500.0,,,1779620224.2805386,52,94.9761933,1.5834201574325562,1.3599859476089478
,500.0,1.4306269884109497,,1779620224.3884242,53,95.0834956,,
,510.0,1.4298282861709595,,1779620225.424119,54,96.1200955,,
,520.0,1.4254047870635986,,1779620226.4599748,55,97.1554465,,
,530.0,1.3919439315795898,,1779620227.5032203,56,98.1981852,,
,540.0,1.426741361618042,,1779620228.5465367,57,99.2418747,,
,550.0,1.4244953393936157,,1779620229.5880527,58,100.2830163,,
,560.0,1.401291847229004,,1779620230.6296113,59,101.3246432,,
,570.0,1.388878345489502,,1779620231.696623,60,102.3915865,,
,580.0,1.3841803073883057,,1779620232.7328587,61,103.427828,,
,590.0,1.383998155593872,,1779620233.7616277,62,104.456593,,
,600.0,1.3775798082351685,,1779620234.7926714,63,105.4876517,,
,610.0,1.3528116941452026,,1779620235.8456912,64,106.5412733,,
,620.0,1.3689656257629395,,1779620236.8884368,65,107.5836453,,
,630.0,1.3802852630615234,,1779620237.9447365,66,108.6397395,,
,640.0,1.3394187688827515,,1779620238.9886377,67,109.6841499,,
,650.0,1.3466256856918335,,1779620240.0526028,68,110.7481905,,
,660.0,1.3438284397125244,,1779620241.1016734,69,111.7981708,,
,670.0,1.3350752592086792,,1779620242.143438,70,112.8392196,,
,680.0,1.3833590745925903,,1779620243.1800494,71,113.8760267,,
,690.0,1.3113796710968018,,1779620244.2194,72,114.915292,,
,700.0,1.3389580249786377,,1779620245.2530396,73,115.9482913,,
,710.0,1.3365352153778076,,1779620246.275279,74,116.9704934,,
,720.0,1.3046550750732422,,1779620247.320248,75,118.015212,,
,730.0,1.3177294731140137,,1779620248.3480425,76,119.0436779,,
,740.0,1.338200569152832,,1779620249.393779,77,120.0887474,,
