val/loss,train/step_loss,iter,lr,_runtime,train/loss,_timestamp,Sample Generation,_step
4.281623363494873,,0.0,9.900990099009901e-06,17.7580018,4.2866530418396,1779553121.7445574,,0
,4.262714385986328,0.0,,17.9258806,,1779553121.9126673,,1
,3.150174379348755,10.0,,19.4926277,,1779553123.4791346,,2
,2.7415080070495605,20.0,,21.0608824,,1779553125.047902,,3
,2.6234259605407715,30.0,,22.6290686,,1779553126.6160774,,4
,2.5781164169311523,40.0,,24.1931152,,1779553128.1806316,,5
,2.525280237197876,50.0,,25.7652983,,1779553129.7520907,,6
,2.5106420516967773,60.0,,27.3316481,,1779553131.3191645,,7
,2.4964256286621094,70.0,,28.9006289,,1779553132.8881454,,8
,2.49456524848938,80.0,,30.4704483,,1779553134.457288,,9
,2.4662795066833496,90.0,,32.0390573,,1779553136.026574,,10
,2.455347776412964,100.0,,33.6083516,,1779553137.5958679,,11
,2.457350730895996,110.0,,35.1786455,,1779553139.162257,,12
,2.422741413116455,120.0,,36.7476535,,1779553140.734454,,13
,2.423295497894287,130.0,,38.3174956,,1779553142.305012,,14
,2.4126338958740234,140.0,,39.8864772,,1779553143.872991,,15
,2.410733699798584,150.0,,41.4560411,,1779553145.441547,,16
,2.368880271911621,160.0,,43.0245853,,1779553147.0115757,,17
,2.371877431869507,170.0,,44.5938181,,1779553148.5807984,,18
,2.3375837802886963,180.0,,46.1628507,,1779553150.1499605,,19
,2.300274133682251,190.0,,47.7310155,,1779553151.7179072,,20
,2.266690731048584,200.0,,49.3008817,,1779553153.2879665,,21
,2.225379467010498,210.0,,50.8685474,,1779553154.855559,,22
,2.25746488571167,220.0,,52.4363262,,1779553156.4238427,,23
,2.197765827178955,230.0,,54.0033795,,1779553157.990896,,24
,2.188506841659546,240.0,,55.5735484,,1779553159.5600712,,25
2.142099380493164,,250.0,0.0009979206008271391,76.5051827,2.0635862350463867,1779553180.4892385,,26
,2.138889789581299,250.0,,76.6680649,,1779553180.6550763,,27
,2.0992980003356934,260.0,,78.2357702,,1779553182.2219646,,28
,2.0885090827941895,270.0,,79.8054367,,1779553183.792314,,29
,2.0939722061157227,280.0,,81.3737592,,1779553185.360489,,30
,2.032726764678955,290.0,,82.94252,,1779553186.9295297,,31
,2.0195069313049316,300.0,,84.5109775,,1779553188.4979663,,32
