train/loss,iter,_step,_runtime,val/loss,train/step_loss,Sample Generation,lr,_timestamp
4.273728847503662,0.0,0,12.7512063,4.273788928985596,,,9.900990099009901e-06,1779637659.4995499
,0.0,1,12.8667436,,4.261909484863281,,,1779637659.615856
,10.0,2,13.88297,,3.128148317337036,,,1779637660.6320877
,20.0,3,14.8970757,,2.7788848876953125,,,1779637661.6466997
,30.0,4,15.9050296,,2.6324808597564697,,,1779637662.653724
,40.0,5,16.9120532,,2.55593204498291,,,1779637663.6611724
,50.0,6,17.916593,,2.523513078689575,,,1779637664.6647127
,60.0,7,18.925603,,2.5192713737487793,,,1779637665.6747227
,70.0,8,19.9411025,,2.488908290863037,,,1779637666.6902208
,80.0,9,20.9469097,,2.5059332847595215,,,1779637667.6959887
,90.0,10,21.9647742,,2.479790210723877,,,1779637668.7137089
,100.0,11,22.9803649,,2.445181369781494,,,1779637669.729484
,110.0,12,23.9870757,,2.4403328895568848,,,1779637670.7361438
,120.0,13,25.0072431,,2.418466806411743,,,1779637671.7562733
,130.0,14,26.0251388,,2.4229695796966553,,,1779637672.7742584
,140.0,15,27.0378506,,2.3798911571502686,,,1779637673.7869701
,150.0,16,28.0544566,,2.344813585281372,,,1779637674.8033662
,160.0,17,29.0731841,,2.3153977394104004,,,1779637675.822303
,170.0,18,30.0818883,,2.2327635288238525,,,1779637676.8315127
,180.0,19,31.108838,,2.2055788040161133,,,1779637677.8578968
,190.0,20,32.1184008,,2.1956207752227783,,,1779637678.8674712
,200.0,21,33.141891,,2.1798205375671387,,,1779637679.8910072
,210.0,22,34.1691469,,2.1594204902648926,,,1779637680.91824
,220.0,23,35.1869111,,2.1272449493408203,,,1779637681.936029
,230.0,24,36.2134373,,2.1009879112243652,,,1779637682.962557
,240.0,25,37.234179,,2.0884993076324463,,,1779637683.9832969
1.9525319337844849,250.0,26,50.7281308,2.0603373050689697,,,0.0009979206008271391,1779637697.4768922
,250.0,27,50.8392042,,2.0716168880462646,,,1779637697.5883222
,260.0,28,51.8624918,,2.051085948944092,,,1779637698.6115444
,270.0,29,52.8854603,,2.0537452697753906,,,1779637699.6345797
,280.0,30,53.9044513,,2.030031681060791,,,1779637700.6535695
,290.0,31,54.9166755,,1.99457848072052,,,1779637701.665795
,300.0,32,55.9312249,,2.005178451538086,,,1779637702.6803403
,310.0,33,56.9686287,,1.9562103748321533,,,1779637703.7177494
,320.0,34,57.9872274,,2.005101203918457,,,1779637704.7363448
,330.0,35,59.0077584,,1.9471327066421509,,,1779637705.7567115
,340.0,36,60.0275356,,1.9546750783920288,,,1779637706.7766557
,350.0,37,61.0435253,,1.9409689903259277,,,1779637707.792646
,360.0,38,62.0611707,,1.9251936674118042,,,1779637708.8102696
,370.0,39,63.0856505,,1.9180326461791992,,,1779637709.8347702
,380.0,40,64.1095107,,1.8615435361862183,,,1779637710.8586285
,390.0,41,65.1242952,,1.8841965198516846,,,1779637711.8733912
,400.0,42,66.1519725,,1.9110918045043945,,,1779637712.9006813
,410.0,43,67.1813859,,1.855755090713501,,,1779637713.9295027
,420.0,44,68.2073593,,1.863455057144165,,,1779637714.9564767
,430.0,45,69.2209271,,1.8233507871627808,,,1779637715.9698625
,440.0,46,70.2535647,,1.83027184009552,,,1779637717.0021877
,450.0,47,71.277144,,1.798365831375122,,,1779637718.0260122
,460.0,48,72.2955675,,1.813904047012329,,,1779637719.0446846
,470.0,49,73.3174077,,1.7925069332122803,,,1779637720.066527
,480.0,50,74.3420485,,1.8254131078720093,,,1779637721.091105
,490.0,51,75.3585887,,1.763895034790039,,,1779637722.1076863
1.623936653137207,500.0,52,88.7810777,1.8108110427856445,,,0.0009852826883675631,1779637735.5302813
,500.0,53,88.8868979,,1.797027826309204,,,1779637735.6358988
,510.0,54,89.9102702,,1.7663078308105469,,,1779637736.6593895
,520.0,55,90.9192943,,1.7517563104629517,,,1779637737.6683867
,530.0,56,91.9449593,,1.7640869617462158,,,1779637738.6940787
,540.0,57,92.9616743,,1.776375412940979,,,1779637739.7107918
,550.0,58,93.9830874,,1.7388691902160645,,,1779637740.732075
,560.0,59,95.0048217,,1.7084007263183594,,,1779637741.7538133
,570.0,60,96.0218422,,1.6885709762573242,,,1779637742.770667
,580.0,61,97.0486912,,1.6863696575164795,,,1779637743.797809
,590.0,62,98.0798229,,1.6773141622543335,,,1779637744.8289418
,600.0,63,99.0944259,,1.6869655847549438,,,1779637745.8435433
,610.0,64,100.1298838,,1.6953401565551758,,,1779637746.878977
,620.0,65,101.1460284,,1.6821157932281494,,,1779637747.8950102
,630.0,66,102.1634238,,1.673871636390686,,,1779637748.9125006
,640.0,67,103.1923804,,1.6329345703125,,,1779637749.941499
,650.0,68,104.2190473,,1.6142433881759644,,,1779637750.9686716
,660.0,69,105.2517827,,1.662279725074768,,,1779637752.000902
,670.0,70,106.2763922,,1.6523196697235107,,,1779637753.0249672
,680.0,71,107.2996478,,1.6457643508911133,,,1779637754.0487406
,690.0,72,108.3294823,,1.6117914915084839,,,1779637755.0785778
,700.0,73,109.3469337,,1.5854896306991577,,,1779637756.0960536
,710.0,74,110.3658636,,1.6088132858276367,,,1779637757.113969
,720.0,75,111.3984935,,1.5755541324615479,,,1779637758.1465998
,730.0,76,112.4164569,,1.5995149612426758,,,1779637759.1655767
,740.0,77,113.4415216,,1.5688036680221558,,,1779637760.1906185
1.4556695222854614,750.0,78,126.8933481,1.6564640998840332,,,0.0009614856803571157,1779637773.642438
,750.0,79,126.9984105,,1.5637928247451782,,,1779637773.7467132
,760.0,80,128.0211645,,1.5705761909484863,,,1779637774.7702663
,770.0,81,129.0408546,,1.5855212211608887,,,1779637775.7899733
,780.0,82,130.0636438,,1.5965731143951416,,,1779637776.8126078
,790.0,83,131.0887238,,1.5851805210113525,,,1779637777.8383482
,800.0,84,132.1151019,,1.552046775817871,,,1779637778.864219
,810.0,85,133.1336831,,1.5569247007369995,,,1779637779.8827605
,820.0,86,134.156839,,1.5481908321380615,,,1779637780.9053862
,830.0,87,135.1835646,,1.5732791423797607,,,1779637781.932685
,840.0,88,136.1968824,,1.5447595119476318,,,1779637782.9459965
,850.0,89,137.2213314,,1.5446799993515015,,,1779637783.9703395
,860.0,90,138.2417687,,1.5229039192199707,,,1779637784.990318
,870.0,91,139.2647247,,1.5175732374191284,,,1779637786.0137637
,880.0,92,140.2849962,,1.5848569869995117,,,1779637787.0346205
,890.0,93,141.3107877,,1.5258609056472778,,,1779637788.0599077
,900.0,94,142.3268623,,1.4609882831573486,,,1779637789.075892
,910.0,95,143.3540169,,1.4531019926071167,,,1779637790.1028526
,920.0,96,144.3689168,,1.5229049921035767,,,1779637791.1180308
,930.0,97,145.3987521,,1.5054540634155273,,,1779637792.147871
,940.0,98,146.4166443,,1.517507791519165,,,1779637793.1657622
,950.0,99,147.4366477,,1.4852274656295776,,,1779637794.1857064
,960.0,100,148.4573383,,1.4938162565231323,,,1779637795.2064564
,970.0,101,149.4960348,,1.4709091186523438,,,1779637796.245151
,980.0,102,150.5132637,,1.4483788013458252,,,1779637797.2623847
,990.0,103,151.5340155,,1.4976589679718018,,,1779637798.2821321
1.3626742362976074,1000.0,104,164.9556532,1.578847050666809,,,0.0009271396472013282,1779637811.7047148
,1000.0,105,165.0601314,,1.4493956565856934,,,1779637811.8091364
,1010.0,106,166.0865532,,1.474534273147583,,,1779637812.8350964
,1020.0,107,167.1147483,,1.4756009578704834,,,1779637813.8638651
,1030.0,108,168.1353294,,1.468772053718567,,,1779637814.8840694
,1040.0,109,169.1518964,,1.4554343223571777,,,1779637815.9015207
