train/loss,train/step_loss,iter,Sample Generation,_runtime,val/loss,lr,_step,_timestamp
4.250387668609619,,0.0,,8.6226183,4.242025375366211,9.900990099009901e-06,0,1779558846.3435445
,4.249444961547852,0.0,,8.6937333,,,1,1779558846.4144542
,3.128284454345703,10.0,,9.3633371,,,2,1779558847.084858
,2.7847747802734375,20.0,,10.0380532,,,3,1779558847.7590673
,2.61051344871521,30.0,,10.7125062,,,4,1779558848.4333723
,2.5593323707580566,40.0,,11.3873367,,,5,1779558849.1040425
,2.5317211151123047,50.0,,12.0620966,,,6,1779558849.7828507
,2.5139307975769043,60.0,,12.7384816,,,7,1779558850.4590034
,2.4958882331848145,70.0,,13.4742421,,,8,1779558851.1949847
,2.4986038208007812,80.0,,14.2222939,,,9,1779558851.9409163
,2.46374773979187,90.0,,14.8981399,,,10,1779558852.619114
,2.4591970443725586,100.0,,15.6441144,,,11,1779558853.3586295
,2.4317667484283447,110.0,,16.3878733,,,12,1779558854.1086907
,2.383972406387329,120.0,,17.132064,,,13,1779558854.8527856
,2.3874564170837402,130.0,,17.8769447,,,14,1779558855.5979602
,2.362652063369751,140.0,,18.6202633,,,15,1779558856.3408053
,2.327707052230835,150.0,,19.3652428,,,16,1779558857.0858483
,2.2908880710601807,160.0,,20.0246611,,,17,1779558857.745673
,2.2264108657836914,170.0,,20.7652911,,,18,1779558858.486261
,2.1688640117645264,180.0,,21.5057939,,,19,1779558859.2268107
,2.151461124420166,190.0,,22.2468191,,,20,1779558859.9678338
,2.0839145183563232,200.0,,22.9863303,,,21,1779558860.7073474
,2.1378307342529297,210.0,,23.7259083,,,22,1779558861.4474292
,2.110553026199341,220.0,,24.4664919,,,23,1779558862.1875062
,2.023159980773926,230.0,,25.2092575,,,24,1779558862.930266
,2.022284507751465,240.0,,25.9488835,,,25,1779558863.6697688
1.9375512599945068,,250.0,,35.3758907,2.035140037536621,0.0009979206008271391,26,1779558873.0967183
,2.0106425285339355,250.0,,35.4497693,,,27,1779558873.1708574
,1.9912259578704834,260.0,,36.1961634,,,28,1779558873.9170597
,1.9589343070983887,270.0,,36.9437976,,,29,1779558874.6653185
,1.9248937368392944,280.0,,37.6916338,,,30,1779558875.41233
,1.9305304288864136,290.0,,38.4379114,,,31,1779558876.158061
,1.9153425693511963,300.0,,39.1861149,,,32,1779558876.907131
,1.8665132522583008,310.0,,39.9323377,,,33,1779558877.6538582
,1.8667036294937134,320.0,,40.6806003,,,34,1779558878.4016156
,1.8510613441467285,330.0,,41.4283492,,,35,1779558879.1493788
,1.851625919342041,340.0,,42.1757139,,,36,1779558879.8967237
,1.8541483879089355,350.0,,42.9241602,,,37,1779558880.6432974
,1.79860258102417,360.0,,43.6715294,,,38,1779558881.3889482
,1.7911875247955322,370.0,,44.4186982,,,39,1779558882.139775
,1.8026846647262573,380.0,,45.1680645,,,40,1779558882.8886468
,1.8079297542572021,390.0,,45.915138,,,41,1779558883.6361537
,1.8081762790679932,400.0,,46.6638145,,,42,1779558884.3853352
,1.7920713424682617,410.0,,47.4102323,,,43,1779558885.131753
,1.7851383686065674,420.0,,48.157994,,,44,1779558885.8789907
,1.7289304733276367,430.0,,48.9071109,,,45,1779558886.62797
,1.7199373245239258,440.0,,49.6539166,,,46,1779558887.374932
,1.7276755571365356,450.0,,50.4014767,,,47,1779558888.1225476
,1.790073275566101,460.0,,51.1489641,,,48,1779558888.8699791
,1.731168270111084,470.0,,51.8954481,,,49,1779558889.6169686
,1.6596064567565918,480.0,,52.6448218,,,50,1779558890.3658128
,1.702009677886963,490.0,,53.3915855,,,51,1779558891.1127052
1.604112982749939,,500.0,,62.9073576,1.7885241508483887,0.0009852826883675631,52,1779558900.6279242
,1.7138919830322266,500.0,,62.9760831,,,53,1779558900.697604
,1.6698293685913086,510.0,,63.6904618,,,54,1779558901.4103773
,1.6886799335479736,520.0,,64.4043291,,,55,1779558902.1250107
,1.642807960510254,530.0,,65.1197583,,,56,1779558902.840775
,1.6776527166366577,540.0,,65.8690811,,,57,1779558903.588267
,1.6692465543746948,550.0,,66.6201255,,,58,1779558904.3411396
,1.6193697452545166,560.0,,67.3706114,,,59,1779558905.092132
,1.6349618434906006,570.0,,68.1212123,,,60,1779558905.8422875
,1.631666898727417,580.0,,68.8710397,,,61,1779558906.5883644
,1.6160043478012085,590.0,,69.6211959,,,62,1779558907.3427167
,1.5811083316802979,600.0,,70.3715838,,,63,1779558908.092144
,1.582899570465088,610.0,,71.1219719,,,64,1779558908.8434925
,1.6101903915405273,620.0,,71.8726966,,,65,1779558909.5939076
,1.6017704010009766,630.0,,72.6238114,,,66,1779558910.3395915
,1.5544707775115967,640.0,,73.3736525,,,67,1779558911.0951731
,1.56573486328125,650.0,,74.124192,,,68,1779558911.8452084
,1.6000206470489502,660.0,,74.8750253,,,69,1779558912.5949662
,1.5679107904434204,670.0,,75.6252865,,,70,1779558913.3462973
,1.5683536529541016,680.0,,76.375983,,,71,1779558914.0975037
,1.5693223476409912,690.0,,77.1259993,,,72,1779558914.8460743
,1.5711861848831177,700.0,,77.8754931,,,73,1779558915.5970137
,1.5413976907730103,710.0,,78.6254618,,,74,1779558916.3457825
,1.5183508396148682,720.0,,79.3761715,,,75,1779558917.096943
,1.5725419521331787,730.0,,80.1258725,,,76,1779558917.8425848
,1.5712308883666992,740.0,,80.8757831,,,77,1779558918.5968003
1.463992953300476,,750.0,,90.4637247,1.6568880081176758,0.0009614856803571157,78,1779558928.184728
,1.4930187463760376,750.0,,90.5311847,,,79,1779558928.2522006
,1.566650152206421,760.0,,91.2376628,,,80,1779558928.9586701
,1.5149610042572021,770.0,,91.9421528,,,81,1779558929.6636736
,1.5257973670959473,780.0,,92.6500474,,,82,1779558930.3710625
,1.5285415649414062,790.0,,93.3805243,,,83,1779558931.1020448
,1.4863766431808472,800.0,,94.1313736,,,84,1779558931.8520622
,1.5303385257720947,810.0,,94.8790517,,,85,1779558932.6000676
,1.4911459684371948,820.0,,95.627967,,,86,1779558933.345277
,1.4870659112930298,830.0,,96.3762214,,,87,1779558934.0967362
,1.4615817070007324,840.0,,97.1237585,,,88,1779558934.8452792
,1.502347707748413,850.0,,97.8730381,,,89,1779558935.5945587
,1.50260329246521,860.0,,98.6177408,,,90,1779558936.3392615
,1.4808268547058105,870.0,,99.3711635,,,91,1779558937.0908809
,1.5040870904922485,880.0,,100.1194454,,,92,1779558937.8404567
,1.4817802906036377,890.0,,100.8698382,,,93,1779558938.591359
,1.4902417659759521,900.0,,101.617932,,,94,1779558939.338921
,1.5143883228302002,910.0,,102.3679208,,,95,1779558940.088856
,1.4515635967254639,920.0,,103.1162689,,,96,1779558940.837463
