train/step_loss,_runtime,val/loss,train/loss,Sample Generation,lr,iter,_step,_timestamp
,17.6050387,4.282809257507324,4.287807464599609,,9.900990099009901e-06,0.0,0,1779550717.6756885
4.265954971313477,17.7613169,,,,,0.0,1,1779550717.8329434
3.1524860858917236,19.2347582,,,,,10.0,2,1779550719.3063846
2.738349199295044,20.8162437,,,,,20.0,3,1779550720.8860857
2.62083101272583,22.4238854,,,,,30.0,4,1779550722.4955118
2.5749096870422363,24.0342092,,,,,40.0,5,1779550724.1053267
2.523026704788208,25.642174400000002,,,,,50.0,6,1779550725.7138007
2.5147268772125244,27.2533865,,,,,60.0,7,1779550727.321489
2.497447967529297,28.8621283,,,,,70.0,8,1779550728.9333184
2.4998788833618164,30.4717931,,,,,80.0,9,1779550730.5434194
2.471900224685669,32.0811569,,,,,90.0,10,1779550732.1527834
2.4606900215148926,33.6916361,,,,,100.0,11,1779550733.7577825
2.4547653198242188,35.3006012,,,,,110.0,12,1779550735.3722277
2.422163724899292,36.9121423,,,,,120.0,13,1779550736.983259
2.405856132507324,38.5173683,,,,,130.0,14,1779550738.5889947
2.381627321243286,40.1299891,,,,,140.0,15,1779550740.200576
2.3714535236358643,41.7388254,,,,,150.0,16,1779550741.8094513
2.3180713653564453,43.3488621,,,,,160.0,17,1779550743.4180095
2.2604894638061523,44.9592463,,,,,170.0,18,1779550745.0303624
2.2243521213531494,46.5700473,,,,,180.0,19,1779550746.64115
2.175445556640625,48.1811229,,,,,190.0,20,1779550748.2522454
2.1524670124053955,49.7908071,,,,,200.0,21,1779550749.8603852
2.1151275634765625,51.4019035,,,,,210.0,22,1779550751.4724555
2.135300636291504,53.0124062,,,,,220.0,23,1779550753.0785716
2.093576431274414,54.6237484,,,,,230.0,24,1779550754.6914523
2.1087148189544678,56.2338259,,,,,240.0,25,1779550756.3027377
,76.7736668,2.0509135723114014,1.9392892122268677,,0.0009979206008271391,250.0,26,1779550776.843914
2.0776891708374023,76.9229095,,,,,250.0,27,1779550776.993719
2.034944772720337,78.5117833,,,,,260.0,28,1779550778.5834095
2.0334696769714355,80.1204541,,,,,270.0,29,1779550780.1877155
2.0567963123321533,81.7287773,,,,,280.0,30,1779550781.7996056
1.9995542764663696,83.3383688,,,,,290.0,31,1779550783.4094794
2.0151286125183105,84.9481303,,,,,300.0,32,1779550785.0195873
1.9733140468597412,86.556902,,,,,310.0,33,1779550786.6280189
1.9716205596923828,88.1661134,,,,,320.0,34,1779550788.2372344
1.9509814977645874,89.7748035,,,,,330.0,35,1779550789.8455887
