Sample Generation,_step,lr,_runtime,train/loss,train/step_loss,iter,val/loss,_timestamp
,0,9.900990099009901e-06,18.6151065,4.195361137390137,,0.0,4.202213287353516,1779543717.7986233
,1,,18.7811522,,4.208930969238281,0.0,,1779543717.96439
,2,,20.2734494,,3.0541129112243652,10.0,,1779543719.4571965
,3,,21.7680534,,2.6898937225341797,20.0,,1779543720.9516435
,4,,23.2624232,,2.5628113746643066,30.0,,1779543722.446173
,5,,24.7568764,,2.5218379497528076,40.0,,1779543723.9406242
,6,,26.2514672,,2.512676239013672,50.0,,1779543725.4347641
,7,,27.7499358,,2.476905107498169,60.0,,1779543726.933679
,8,,29.4103921,,2.4932007789611816,70.0,,1779543728.5941167
,9,,30.9818161,,2.4647083282470703,80.0,,1779543730.1644146
,10,,32.5598383,,2.4603233337402344,90.0,,1779543731.7395942
,11,,34.1352984,,2.4508771896362305,100.0,,1779543733.3190477
,12,,35.7126095,,2.4481310844421387,110.0,,1779543734.8962803
,13,,37.2882956,,2.444855213165283,120.0,,1779543736.4720435
,14,,38.8634727,,2.4163942337036133,130.0,,1779543738.047222
,15,,40.6344582,,2.425055980682373,140.0,,1779543739.8182056
,16,,42.3701335,,2.416534423828125,150.0,,1779543741.5538259
,17,,44.0978979,,2.3980345726013184,160.0,,1779543743.2814918
,18,,45.8282599,,2.3925461769104004,170.0,,1779543745.0125146
,19,,47.5554554,,2.38761305809021,180.0,,1779543746.7391987
,20,,49.2155404,,2.384641170501709,190.0,,1779543748.3992903
,21,,50.7773784,,2.3992443084716797,200.0,,1779543749.961633
,22,,52.49913,,2.3412060737609863,210.0,,1779543751.6827717
,23,,54.1687235,,2.367051839828491,220.0,,1779543753.3524728
,24,,55.8039199,,2.3560428619384766,230.0,,1779543754.9876683
,25,,57.437845,,2.3201918601989746,240.0,,1779543756.6217473
,26,0.0009979206008271391,79.9356408,2.294797420501709,,250.0,2.3707661628723145,1779543779.1187057
,27,,80.1052179,,2.3610329627990723,250.0,,1779543779.2886329
,28,,81.7382504,,2.3087496757507324,260.0,,1779543780.9197755
,29,,83.3753556,,2.3221235275268555,270.0,,1779543782.5589485
,30,,85.0931537,,2.306971549987793,280.0,,1779543784.2774084
,31,,86.8276613,,2.3048176765441895,290.0,,1779543786.0110989
,32,,88.5646606,,2.2712626457214355,300.0,,1779543787.7486122
,33,,90.3025165,,2.25864315032959,310.0,,1779543789.4820943
,34,,92.0446553,,2.2522404193878174,320.0,,1779543791.2284029
,35,,93.7858217,,2.1952061653137207,330.0,,1779543792.9700763
,36,,95.5225517,,2.21160888671875,340.0,,1779543794.7068062
,37,,97.2579495,,2.1791152954101562,350.0,,1779543796.4417288
,38,,98.9924488,,2.1775031089782715,360.0,,1779543798.1767035
,39,,100.7355072,,2.187885046005249,370.0,,1779543799.919256
,40,,102.4749396,,2.159558057785034,380.0,,1779543801.6586714
,41,,104.2149823,,2.1057591438293457,390.0,,1779543803.3987315
,42,,105.9534323,,2.045766830444336,400.0,,1779543805.1368878
,43,,107.6953824,,2.0701498985290527,410.0,,1779543806.879637
,44,,109.43436,,2.029796838760376,420.0,,1779543808.6186144
,45,,111.1768302,,2.0051186084747314,430.0,,1779543810.3604336
,46,,112.9145639,,2.0351009368896484,440.0,,1779543812.0978246
,47,,114.6570467,,1.9711823463439941,450.0,,1779543813.8407776
,48,,116.3965232,,1.9547256231307983,460.0,,1779543815.579263
,49,,118.1434628,,1.9240949153900146,470.0,,1779543817.326609
,50,,119.8835421,,1.937131643295288,480.0,,1779543819.0677967
,51,,121.6190575,,1.940972089767456,490.0,,1779543820.8026798
,52,0.0009852826883675631,144.0914172,1.8017736673355103,,500.0,1.9528559446334839,1779543843.2752326
,53,,144.2584604,,1.9191436767578125,500.0,,1779543843.442715
,54,,145.8754119,,1.908791422843933,510.0,,1779543845.0596664
,55,,147.6777529,,1.8791203498840332,520.0,,1779543846.8614972
,56,,149.3526742,,1.8683993816375732,530.0,,1779543848.5364232
,57,,151.1410183,,1.8588433265686035,540.0,,1779543850.3232863
,58,,152.9273094,,1.8690623044967651,550.0,,1779543852.1112015
,59,,154.6433165,,1.8267828226089478,560.0,,1779543853.826553
,60,,156.3382458,,1.8346271514892578,570.0,,1779543855.5225003
,61,,157.9730923,,1.8256500959396362,580.0,,1779543857.156807
,62,,159.6104955,,1.8314601182937622,590.0,,1779543858.7941506
,63,,161.3850782,,1.7872488498687744,600.0,,1779543860.5663586
,64,,163.1408029,,1.7498055696487427,610.0,,1779543862.3230467
,65,,164.9058978,,1.7824091911315918,620.0,,1779543864.0896473
,66,,166.6615806,,1.7933614253997803,630.0,,1779543865.8453307
,67,,168.4221463,,1.7653595209121704,640.0,,1779543867.6058939
,68,,170.1758442,,1.7691303491592407,650.0,,1779543869.3592477
,69,,171.9297286,,1.6930725574493408,660.0,,1779543871.1130757
,70,,173.6869309,,1.7329785823822021,670.0,,1779543872.8711853
,71,,175.3163123,,1.6922470331192017,680.0,,1779543874.5005667
,72,,177.0444071,,1.7127313613891602,690.0,,1779543876.2278886
,73,,178.769208,,1.6764521598815918,700.0,,1779543877.9528844
,74,,180.4952526,,1.6654293537139893,710.0,,1779543879.6786866
,75,,182.221953,,1.674142599105835,720.0,,1779543881.4062076
,76,,183.9444998,,1.6951398849487305,730.0,,1779543883.1283576
,77,,185.6667952,,1.672853708267212,740.0,,1779543884.8510497
,78,0.0009614856803571157,207.9855286,1.5745749473571777,,750.0,1.771663784980774,1779543907.1680982
,79,,208.1871828,,1.6468844413757324,750.0,,1779543907.3706305
,80,,209.7806678,,1.6536320447921753,760.0,,1779543908.9641283
,81,,211.4375702,,1.635542869567871,770.0,,1779543910.6189504
,82,,213.0542865,,1.6130521297454834,780.0,,1779543912.2380378
,83,,214.7521703,,1.6545604467391968,790.0,,1779543913.9345517
,84,,216.5182832,,1.6169826984405518,800.0,,1779543915.7019017
,85,,218.2461568,,1.6289517879486084,810.0,,1779543917.4299061
,86,,219.9703313,,1.6292575597763062,820.0,,1779543919.1545858
,87,,221.6882641,,1.570726990699768,830.0,,1779543920.8719287
,88,,223.4072518,,1.584983229637146,840.0,,1779543922.5904963
,89,,225.1310056,,1.6170437335968018,850.0,,1779543924.314216
,90,,226.8487717,,1.5770461559295654,860.0,,1779543926.0323515
,91,,228.5685763,,1.5804977416992188,870.0,,1779543927.7523253
,92,,230.293135,,1.5887396335601807,880.0,,1779543929.476481
,93,,232.015581,,1.587291955947876,890.0,,1779543931.199327
,94,,233.7385286,,1.566779375076294,900.0,,1779543932.9222755
,95,,235.46322,,1.5828495025634766,910.0,,1779543934.6469674
,96,,237.184554,,1.5526329278945923,920.0,,1779543936.3683019
,97,,238.898293,,1.5571540594100952,930.0,,1779543938.0825477
,98,,240.6242218,,1.5779452323913574,940.0,,1779543939.8076448
,99,,242.344494,,1.5086281299591064,950.0,,1779543941.5287485
,100,,244.0627985,,1.535586953163147,960.0,,1779543943.2465022
,101,,245.781822,,1.5705701112747192,970.0,,1779543944.9657335
,102,,247.4991059,,1.5637996196746826,980.0,,1779543946.6828554
,103,,249.213086,,1.5616085529327393,990.0,,1779543948.3968353
,104,0.0009271396472013282,270.8392211,1.451380968093872,,1000.0,1.6749777793884277,1779543970.0229259
,105,,271.002093,,1.545781135559082,1000.0,,1779543970.183227
,106,,272.811542,,1.5181734561920166,1010.0,,1779543971.9952915
,107,,274.5825323,,1.52227783203125,1020.0,,1779543973.7662776
,108,,276.2668441,,1.507491111755371,1030.0,,1779543975.4510987
,109,,277.9470084,,1.49125075340271,1040.0,,1779543977.131263
,110,,279.6333378,,1.5266807079315186,1050.0,,1779543978.817137
,111,,281.3269945,,1.5194478034973145,1060.0,,1779543980.5101395
,112,,283.0144485,,1.5136363506317139,1070.0,,1779543982.1981978
,113,,284.7033602,,1.5416555404663086,1080.0,,1779543983.8870273
,114,,286.3967057,,1.5055519342422485,1090.0,,1779543985.5764508
,115,,288.1586407,,1.4728412628173828,1100.0,,1779543987.3423467
,116,,289.8603332,,1.493255853652954,1110.0,,1779543989.041747
,117,,291.6669838,,1.5077152252197266,1120.0,,1779543990.850704
,118,,293.4641233,,1.471034049987793,1130.0,,1779543992.6477578
,119,,295.3025441,,1.5351061820983887,1140.0,,1779543994.48614
,120,,297.1394922,,1.540541410446167,1150.0,,1779543996.3205974
