val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,train/loss,iter,_runtime
4.171082019805908,1779607540.3783524,,,9.900990099009901e-06,0,4.166929244995117,0.0,22.512304
,1779607540.57507,4.188999176025391,,,1,,0.0,22.7096182
,1779607542.6334226,3.1271865367889404,,,2,,10.0,24.7662171
,1779607544.6965322,2.733067035675049,,,3,,20.0,26.8296834
,1779607546.7859607,2.630842685699463,,,4,,30.0,28.9187586
,1779607548.806362,2.547842025756836,,,5,,40.0,30.9386523
,1779607550.8337896,2.509801149368286,,,6,,50.0,32.9665897
,1779607552.899219,2.4972567558288574,,,7,,60.0,35.0333611
,1779607555.0717099,2.524216651916504,,,8,,70.0,37.2053069
,1779607557.1563044,2.47210693359375,,,9,,80.0,39.2891001
,1779607559.2458165,2.454942226409912,,,10,,90.0,41.3787658
,1779607561.3320837,2.4499359130859375,,,11,,100.0,43.4662596
,1779607563.4235573,2.43031644821167,,,12,,110.0,45.5558478
,1779607565.511843,2.4444193840026855,,,13,,120.0,47.6441336
,1779607567.608129,2.4367642402648926,,,14,,130.0,49.7409378
,1779607569.6955829,2.4330849647521973,,,15,,140.0,51.834008
,1779607571.7950397,2.382866382598877,,,16,,150.0,53.9280469
,1779607573.8869116,2.391077995300293,,,17,,160.0,56.019709
,1779607575.9791281,2.342019557952881,,,18,,170.0,58.1117683
,1779607578.2529843,2.3447976112365723,,,19,,180.0,60.3879191
,1779607580.3604655,2.299489974975586,,,20,,190.0,62.4927558
,1779607582.4241261,2.2733871936798096,,,21,,200.0,64.5571225
,1779607584.6097722,2.207538604736328,,,22,,210.0,66.7420627
,1779607586.7429037,2.198823928833008,,,23,,220.0,68.8759525
,1779607588.9316711,2.1563258171081543,,,24,,230.0,71.0659792
,1779607591.0321252,2.098532199859619,,,25,,240.0,73.1649217
2.106759548187256,1779607618.0098286,,,0.0009979206008271391,26,2.0085196495056152,250.0,100.1491453
,1779607618.1920695,2.0884134769439697,,,27,,250.0,100.3286071
,1779607620.3377435,2.065965175628662,,,28,,260.0,102.4753766
,1779607622.5019498,1.9976750612258911,,,29,,270.0,104.6342401
,1779607624.6891818,1.9638317823410034,,,30,,280.0,106.821867
