lr,iter,_timestamp,train/loss,_step,Sample Generation,val/loss,train/step_loss,_runtime
9.900990099009901e-06,0.0,1779556655.188597,4.386340141296387,0,,4.381463527679443,,18.2424933
,0.0,1779556655.3535159,,1,,,4.339977264404297,18.4074096
,10.0,1779556656.8421447,,2,,,3.221034526824951,19.896165
,20.0,1779556658.3311853,,3,,,2.758357524871826,21.3849608
,30.0,1779556659.8193848,,4,,,2.630463123321533,22.8731765
,40.0,1779556661.3086214,,5,,,2.5729894638061523,24.3620093
,50.0,1779556662.7994723,,6,,,2.525653839111328,25.8538566
,60.0,1779556664.2896068,,7,,,2.5096487998962402,27.3479132
,70.0,1779556665.786506,,8,,,2.497924327850342,28.8429948
,80.0,1779556667.2828062,,9,,,2.495211124420166,30.3374772
,90.0,1779556668.7796018,,10,,,2.469050407409668,31.8329899
,100.0,1779556670.2749531,,11,,,2.464036464691162,33.3283412
,110.0,1779556671.768108,,12,,,2.4468026161193848,34.8220605
,120.0,1779556673.2631001,,13,,,2.421100616455078,36.3164882
,130.0,1779556674.7566714,,14,,,2.4060654640197754,37.8115631
,140.0,1779556676.2526007,,15,,,2.409207820892334,39.3065683
,150.0,1779556677.7461164,,16,,,2.409858226776123,40.8016591
,160.0,1779556679.2439196,,17,,,2.3688559532165527,42.2973078
,170.0,1779556680.7376807,,18,,,2.3566079139709473,43.7934354
,180.0,1779556682.2355592,,19,,,2.3441004753112793,45.2902922
,190.0,1779556683.7313793,,20,,,2.294283628463745,46.7854692
,200.0,1779556685.221838,,21,,,2.2414708137512207,48.2806191
,210.0,1779556686.7219784,,22,,,2.1945981979370117,49.7759717
,220.0,1779556688.2169983,,23,,,2.200618267059326,51.2712225
,230.0,1779556689.712638,,24,,,2.14278507232666,52.766372
,240.0,1779556691.2081509,,25,,,2.141524314880371,54.2620445
0.0009979206008271391,250.0,1779556711.3486457,2.021307945251465,26,,2.109232187271118,,74.4023418
,250.0,1779556711.5035818,,27,,,2.0912117958068848,74.5569699
,260.0,1779556712.9992232,,28,,,2.037541151046753,76.0540755
,270.0,1779556714.496149,,29,,,2.019763946533203,77.5495371
,280.0,1779556715.990698,,30,,,2.022960901260376,79.0443968
,290.0,1779556717.4816756,,31,,,1.9581025838851929,80.5393736
,300.0,1779556718.980834,,32,,,1.9465316534042358,82.034731
,310.0,1779556720.4755073,,33,,,1.9046635627746582,83.5294762
,320.0,1779556721.9713166,,34,,,1.894870638847351,85.0252163
,330.0,1779556723.4675248,,35,,,1.858446717262268,86.520913
,340.0,1779556724.9631355,,36,,,1.812434434890747,88.017133
,350.0,1779556726.457533,,37,,,1.8607045412063599,89.5114041
,360.0,1779556727.9523807,,38,,,1.785961627960205,91.0062762
,370.0,1779556729.4482994,,39,,,1.758225917816162,92.5023466
,380.0,1779556730.944187,,40,,,1.7449400424957275,93.9980603
,390.0,1779556732.4398282,,41,,,1.7529058456420898,95.4957616
,400.0,1779556733.9377682,,42,,,1.7749974727630615,96.9916279
,410.0,1779556735.4328804,,43,,,1.7109699249267578,98.4868307
,420.0,1779556736.92888,,44,,,1.7209062576293945,99.982268
,430.0,1779556738.4207513,,45,,,1.6812024116516113,101.4778824
,440.0,1779556739.919206,,46,,,1.6625018119812012,102.9725941
,450.0,1779556741.414691,,47,,,1.6592460870742798,104.4680791
,460.0,1779556742.909887,,48,,,1.596963882446289,105.9639648
,470.0,1779556744.405828,,49,,,1.6521515846252441,107.4598167
,480.0,1779556745.9009273,,50,,,1.6114392280578613,108.9543154
,490.0,1779556747.3961623,,51,,,1.599797010421753,110.4495504
0.0009852826883675631,500.0,1779556767.5594676,1.5170676708221436,52,,1.720636248588562,,130.6134962
,500.0,1779556767.7133126,,53,,,1.569178581237793,130.7667005
,510.0,1779556769.2024972,,54,,,1.6042299270629883,132.2611333
,520.0,1779556770.7028003,,55,,,1.5768013000488281,133.7566928
,530.0,1779556772.1972127,,56,,,1.5505290031433105,135.2516032
,540.0,1779556773.6894255,,57,,,1.6075770854949951,136.7465669
,550.0,1779556775.183614,,58,,,1.558403491973877,138.2415666
,560.0,1779556776.6815484,,59,,,1.5520377159118652,139.735758
,570.0,1779556778.1775734,,60,,,1.546904444694519,141.2313009
,580.0,1779556779.6729934,,61,,,1.5118470191955566,142.7263817
,590.0,1779556781.1662223,,62,,,1.481628656387329,144.2222945
,600.0,1779556782.662126,,63,,,1.4964170455932617,145.7155143
,610.0,1779556784.1591873,,64,,,1.5191972255706787,147.2139216
,620.0,1779556785.6554127,,65,,,1.5095181465148926,148.7095117
,630.0,1779556787.1508636,,66,,,1.495633602142334,150.2042517
,640.0,1779556788.6444526,,67,,,1.4353835582733154,151.6990987
,650.0,1779556790.1401598,,68,,,1.4858092069625854,153.1941446
,660.0,1779556791.6322813,,69,,,1.4883865118026733,154.6890766
,670.0,1779556793.1300695,,70,,,1.4268712997436523,156.1842809
