_timestamp,train/step_loss,Sample Generation,lr,_step,iter,_runtime,val/loss,train/loss
1779603795.4402723,,,9.900990099009901e-06,0,0.0,21.9443706,4.2085676193237305,4.218348503112793
1779603795.6202204,4.22225284576416,,,1,0.0,22.1238553,,
1779603797.4382582,2.9926815032958984,,,2,10.0,23.9413251,,
1779603799.1452866,2.716841220855713,,,3,20.0,25.6483534,,
1779603801.0447886,2.5816214084625244,,,4,30.0,27.5483581,,
1779603802.9749532,2.517249584197998,,,5,40.0,29.4826388,,
1779603804.881085,2.4379212856292725,,,6,50.0,31.3841517,,
1779603806.6950722,2.380974531173706,,,7,60.0,33.2045009,,
1779603808.588398,2.29561185836792,,,8,70.0,35.0924593,,
1779603810.5042832,2.2176480293273926,,,9,80.0,37.0084323,,
1779603812.4104571,2.1750478744506836,,,10,90.0,38.9165425,,
1779603814.3215628,2.120082378387451,,,11,100.0,40.8254019,,
1779603816.2334862,2.0590929985046387,,,12,110.0,42.736553,,
1779603818.1457546,2.0430855751037598,,,13,120.0,44.6488213,,
1779603820.0524144,1.9824671745300293,,,14,130.0,46.5625209,,
1779603821.9735482,1.9276659488677979,,,15,140.0,48.4775218,,
1779603823.8887084,1.8761781454086304,,,16,150.0,50.3924762,,
1779603825.8046927,1.869970679283142,,,17,160.0,52.308283,,
1779603827.7129564,1.8684645891189575,,,18,170.0,54.2215286,,
1779603829.6346714,1.8248072862625122,,,19,180.0,56.1390708,,
1779603831.552343,1.7811150550842285,,,20,190.0,58.0559495,,
1779603833.4676142,1.7772051095962524,,,21,200.0,59.9711925,,
1779603835.3820357,1.7432172298431396,,,22,210.0,61.8857796,,
1779603837.2912223,1.6984647512435913,,,23,220.0,63.7948152,,
1779603839.20801,1.733054280281067,,,24,230.0,65.7116752,,
1779603841.124675,1.7118914127349854,,,25,240.0,67.6277418,,
1779603867.1215959,,,0.0009979206008271391,26,250.0,93.6262374,1.7624648809432983,1.594610571861267
1779603867.3016627,1.690140962600708,,,27,250.0,93.8047295,,
1779603869.101827,1.6793856620788574,,,28,260.0,95.6048937,,
1779603870.994297,1.6376099586486816,,,29,270.0,97.4978696,,
1779603872.8611197,1.634568691253662,,,30,280.0,99.364864,,
1779603874.6743913,1.657265305519104,,,31,290.0,101.1774581,,
1779603876.4916816,1.615098476409912,,,32,300.0,102.9956882,,
1779603878.388637,1.5848002433776855,,,33,310.0,104.8922426,,
1779603880.3819172,1.57460355758667,,,34,320.0,106.8854954,,
1779603882.3101003,1.5861783027648926,,,35,330.0,108.8131671,,
1779603884.2188423,1.534590244293213,,,36,340.0,110.7219092,,
1779603886.1294873,1.5519917011260986,,,37,350.0,112.6328851,,
1779603888.0430384,1.540611743927002,,,38,360.0,114.5461052,,
1779603889.949058,1.54276704788208,,,39,370.0,116.4521248,,
1779603891.8509922,1.5210970640182495,,,40,380.0,118.3634229,,
1779603893.7671137,1.501107931137085,,,41,390.0,120.2706956,,
1779603895.675135,1.4976890087127686,,,42,400.0,122.1806432,,
1779603897.5901396,1.5022597312927246,,,43,410.0,124.0932064,,
1779603899.503327,1.4424574375152588,,,44,420.0,126.0072703,,
1779603901.4172683,1.4806513786315918,,,45,430.0,127.9208486,,
1779603903.327891,1.4700733423233032,,,46,440.0,129.8315044,,
1779603905.2418718,1.4630448818206787,,,47,450.0,131.7455941,,
1779603907.1570294,1.429560899734497,,,48,460.0,133.6606023,,
1779603909.0695345,1.4066402912139893,,,49,470.0,135.5726013,,
1779603910.983932,1.4501996040344238,,,50,480.0,137.4879792,,
1779603912.8968472,1.4181536436080933,,,51,490.0,139.3999141,,
1779603938.6924126,,,0.0009852826883675631,52,500.0,165.2007821,1.5859111547470093,1.3608664274215698
1779603938.901565,1.4304225444793701,,,53,500.0,165.405146,,
1779603940.8602476,1.4349818229675293,,,54,510.0,167.3646889,,
1779603942.8189852,1.3957016468048096,,,55,520.0,169.3220521,,
1779603944.7773554,1.4201562404632568,,,56,530.0,171.2820161,,
1779603946.6304717,1.422605037689209,,,57,540.0,173.1341661,,
1779603948.5254645,1.3963391780853271,,,58,550.0,175.029447,,
1779603950.3653038,1.390932321548462,,,59,560.0,176.8687366,,
1779603952.2676978,1.4179646968841553,,,60,570.0,178.771383,,
1779603954.1890168,1.3897031545639038,,,61,580.0,180.6928589,,
1779603956.105195,1.3852593898773193,,,62,590.0,182.6082619,,
1779603958.0122635,1.3289380073547363,,,63,600.0,184.5153302,,
1779603959.9877942,1.3938931226730347,,,64,610.0,186.4913667,,
1779603961.9606822,1.3616957664489746,,,65,620.0,188.4647527,,
1779603963.93406,1.3483998775482178,,,66,630.0,190.4377868,,
1779603965.9034147,1.3311136960983276,,,67,640.0,192.4064817,,
1779603967.867963,1.370162010192871,,,68,650.0,194.3716444,,
1779603969.8328402,1.340470790863037,,,69,660.0,196.3364213,,
