_runtime,Sample Generation,iter,_step,val/loss,_timestamp,train/step_loss,train/loss,lr
11.4863744,,0.0,0,4.272795677185059,1779632367.6776636,,4.272511005401611,9.900990099009901e-06
11.585113100000001,,0.0,1,,1779632367.7768996,4.264894485473633,,
12.4385943,,10.0,2,,1779632368.6297145,3.125805616378784,,
13.2963801,,20.0,3,,1779632369.48867,2.78848934173584,,
14.1529235,,30.0,4,,1779632370.3452134,2.6339588165283203,,
15.0094468,,40.0,5,,1779632371.2017367,2.5539278984069824,,
15.8659761,,50.0,6,,1779632372.0576994,2.515653371810913,,
16.720295,,60.0,7,,1779632372.9119363,2.516488552093506,,
17.5768749,,70.0,8,,1779632373.7686574,2.490346670150757,,
18.433482,,80.0,9,,1779632374.6248808,2.5029752254486084,,
19.2906169,,90.0,10,,1779632375.4822483,2.480478286743164,,
20.1444542,,100.0,11,,1779632376.3361537,2.4567220211029053,,
21.0000026,,110.0,12,,1779632377.1914268,2.4360311031341553,,
21.8568293,,120.0,13,,1779632378.0486152,2.436729669570923,,
22.730024,,130.0,14,,1779632378.9215817,2.423851728439331,,
23.610342,,140.0,15,,1779632379.80172,2.395846128463745,,
24.4734203,,150.0,16,,1779632380.6648836,2.374706268310547,,
25.3434501,,160.0,17,,1779632381.5352352,2.385077476501465,,
26.2086649,,170.0,18,,1779632382.4004478,2.3412623405456543,,
27.0634679,,180.0,19,,1779632383.2552514,2.3113045692443848,,
27.929346,,190.0,20,,1779632384.120845,2.297844886779785,,
28.7847088,,200.0,21,,1779632384.9764903,2.2605042457580566,,
29.6616327,,210.0,22,,1779632385.8534129,2.2294795513153076,,
30.5408395,,220.0,23,,1779632386.7314851,2.184481620788574,,
31.4165915,,230.0,24,,1779632387.6082728,2.1385793685913086,,
32.2838674,,240.0,25,,1779632388.475477,2.117861270904541,,
44.605061,,250.0,26,2.1123530864715576,1779632400.7962432,,2.0177488327026367,0.0009979206008271391
44.6942995,,250.0,27,,1779632400.886084,2.078296661376953,,
45.5389389,,260.0,28,,1779632401.7307022,2.043398141860962,,
46.3858063,,270.0,29,,1779632402.577452,2.0101394653320312,,
47.2661581,,280.0,30,,1779632403.4580276,1.994270920753479,,
48.155011,,290.0,31,,1779632404.3460245,1.932602047920227,,
49.0167141,,300.0,32,,1779632405.2077396,1.9290105104446411,,
49.8699286,,310.0,33,,1779632406.0617132,1.8716909885406494,,
50.7244339,,320.0,34,,1779632406.915368,1.9222263097763062,,
51.5820582,,330.0,35,,1779632407.7733576,1.845770239830017,,
52.4384442,,340.0,36,,1779632408.6302285,1.84882390499115,,
53.2894296,,350.0,37,,1779632409.4812143,1.8242889642715454,,
54.1379228,,360.0,38,,1779632410.329186,1.8050150871276855,,
54.9890062,,370.0,39,,1779632411.1803093,1.7955771684646606,,
55.8376758,,380.0,40,,1779632412.0289626,1.7311400175094604,,
56.6863209,,390.0,41,,1779632412.8778677,1.7430250644683838,,
57.5339332,,400.0,42,,1779632413.7250605,1.7738184928894043,,
