train/step_loss,iter,Sample Generation,lr,_step,_runtime,val/loss,_timestamp,train/loss
,0.0,,9.900990099009901e-06,0,13.1672069,4.269524097442627,1779617352.4232638,4.267766952514648
4.269043445587158,0.0,,,1,13.271043,,1779617352.5297956,
3.3316407203674316,10.0,,,2,14.2743941,,1779617353.5324955,
2.9344968795776367,20.0,,,3,15.2802215,,1779617354.5364263,
2.6484313011169434,30.0,,,4,16.2860866,,1779617355.5428052,
2.5305404663085938,40.0,,,5,17.2913908,,1779617356.5457401,
2.508316993713379,50.0,,,6,18.2980663,,1779617357.5560725,
2.48996639251709,60.0,,,7,19.3058005,,1779617358.563693,
2.4933676719665527,70.0,,,8,20.3129062,,1779617359.5654554,
2.460068464279175,80.0,,,9,21.3261011,,1779617360.5843241,
2.434037923812866,90.0,,,10,22.3406843,,1779617361.5994368,
2.42356014251709,100.0,,,11,23.3559007,,1779617362.608543,
2.4092650413513184,110.0,,,12,24.3784524,,1779617363.6360893,
2.3938045501708984,120.0,,,13,25.3947893,,1779617364.653177,
2.359818458557129,130.0,,,14,26.4126067,,1779617365.6699712,
2.3453292846679688,140.0,,,15,27.4283001,,1779617366.6866727,
2.335770606994629,150.0,,,16,28.4463137,,1779617367.7045555,
2.2615389823913574,160.0,,,17,29.4665408,,1779617368.7252934,
2.2274272441864014,170.0,,,18,30.4827433,,1779617369.74095,
2.2141528129577637,180.0,,,19,31.512666,,1779617370.7708106,
2.1571576595306396,190.0,,,20,32.5610306,,1779617371.8192747,
2.1105921268463135,200.0,,,21,33.6096957,,1779617372.8679426,
2.0854830741882324,210.0,,,22,34.6566473,,1779617373.9148936,
2.042914867401123,220.0,,,23,35.7144454,,1779617374.9720707,
2.029374837875366,230.0,,,24,36.7843101,,1779617376.041709,
1.9633281230926514,240.0,,,25,37.8489742,,1779617377.1065946,
,250.0,,0.0009979206008271391,26,53.0547444,2.0130012035369873,1779617392.311812,1.8616310358047485
1.920762300491333,250.0,,,27,53.1690829,,1779617392.4273272,
1.8922123908996582,260.0,,,28,54.3143862,,1779617393.5724316,
1.8579325675964355,270.0,,,29,55.4673618,,1779617394.7256076,
1.8716886043548584,280.0,,,30,56.622217,,1779617395.8798041,
1.848642349243164,290.0,,,31,57.8585866,,1779617397.1165547,
1.774843454360962,300.0,,,32,59.0547129,,1779617398.3129647,
1.7759335041046143,310.0,,,33,60.2556976,,1779617399.5137222,
1.7519854307174683,320.0,,,34,61.4567507,,1779617400.7118726,
1.7090036869049072,330.0,,,35,62.6561024,,1779617401.9117641,
1.7033324241638184,340.0,,,36,63.9295331,,1779617403.1875684,
1.6832447052001953,350.0,,,37,65.2607481,,1779617404.518997,
1.634725570678711,360.0,,,38,66.5839936,,1779617405.8422303,
1.6735379695892334,370.0,,,39,67.9072926,,1779617407.1655045,
1.6450412273406982,380.0,,,40,69.2321597,,1779617408.4904058,
1.6428825855255127,390.0,,,41,70.5575357,,1779617409.815642,
1.6291577816009521,400.0,,,42,71.8853604,,1779617411.1441128,
1.5833346843719482,410.0,,,43,73.2153072,,1779617412.4734468,
1.584781289100647,420.0,,,44,74.546653,,1779617413.8054054,
1.5692453384399414,430.0,,,45,75.8805765,,1779617415.1388216,
1.5485221147537231,440.0,,,46,77.2168297,,1779617416.4744346,
1.5842483043670654,450.0,,,47,78.5595297,,1779617417.8177774,
1.5466601848602295,460.0,,,48,80.0679616,,1779617419.326714,
1.550638198852539,470.0,,,49,81.4946485,,1779617420.7518916,
1.5355982780456543,480.0,,,50,82.9092095,,1779617422.1669369,
1.4911386966705322,490.0,,,51,84.2950969,,1779617423.5525978,
,500.0,,0.0009852826883675631,52,104.1958559,1.6450690031051636,1779617443.4510145,1.4331506490707397
1.4760639667510986,500.0,,,53,104.3484371,,1779617443.6067,
1.484702229499817,510.0,,,54,105.8734953,,1779617445.128208,
1.5021765232086182,520.0,,,55,107.4105243,,1779617446.6692767,
1.4712822437286377,530.0,,,56,108.9472877,,1779617448.2055337,
1.4674032926559448,540.0,,,57,110.4818604,,1779617449.7392411,
1.4616726636886597,550.0,,,58,112.0185716,,1779617451.277324,
1.479454517364502,560.0,,,59,113.555935,,1779617452.8141818,
1.4763298034667969,570.0,,,60,115.0925399,,1779617454.3512924,
1.461769938468933,580.0,,,61,116.6307566,,1779617455.8885725,
1.4335851669311523,590.0,,,62,118.1687266,,1779617457.427479,
1.4279124736785889,600.0,,,63,119.7052879,,1779617458.9632897,
1.4296908378601074,610.0,,,64,121.2424207,,1779617460.5006125,
1.4378191232681274,620.0,,,65,122.7798001,,1779617462.0380216,
1.434788465499878,630.0,,,66,124.3170075,,1779617463.5711074,
1.4209270477294922,640.0,,,67,125.854549,,1779617465.1127977,
1.42256760597229,650.0,,,68,127.3917321,,1779617466.6504846,
1.3699465990066528,660.0,,,69,128.9302287,,1779617468.1879737,
1.402021884918213,670.0,,,70,130.4669669,,1779617469.7257192,
1.3609013557434082,680.0,,,71,132.0057317,,1779617471.264068,
1.3675438165664673,690.0,,,72,133.5426018,,1779617472.8000565,
1.3941706418991089,700.0,,,73,135.0797002,,1779617474.3384528,
1.3911821842193604,710.0,,,74,136.6175765,,1779617475.8758245,
1.375126600265503,720.0,,,75,138.1473018,,1779617477.4060545,
1.3733121156692505,730.0,,,76,139.6934278,,1779617478.9516728,
1.3894336223602295,740.0,,,77,141.2302984,,1779617480.4884837,
,750.0,,0.0009614856803571157,78,162.426072,1.5489784479141235,1779617501.6842768,1.297937273979187
1.336496353149414,750.0,,,79,162.5863771,,1779617501.8445034,
1.3900583982467651,760.0,,,80,164.2883475,,1779617503.5462508,
1.3422706127166748,770.0,,,81,165.9449036,,1779617505.2036562,
1.3628191947937012,780.0,,,82,167.6090833,,1779617506.8671784,
1.336221694946289,790.0,,,83,169.2726798,,1779617508.5314322,
1.3648912906646729,800.0,,,84,170.937587,,1779617510.1963394,
1.3323339223861694,810.0,,,85,172.6049538,,1779617511.8632026,
1.3163868188858032,820.0,,,86,174.2772859,,1779617513.5326188,
1.3109393119812012,830.0,,,87,175.943236,,1779617515.2006311,
1.3202805519104004,840.0,,,88,177.6104399,,1779617516.8686879,
1.340356707572937,850.0,,,89,179.2849015,,1779617518.5430071,
1.336155652999878,860.0,,,90,181.0910587,,1779617520.3491917,
1.3290061950683594,870.0,,,91,182.7802426,,1779617522.0384884,
1.329565167427063,880.0,,,92,184.5749113,,1779617523.8292909,
1.3129277229309082,890.0,,,93,186.2682304,,1779617525.526983,
1.3121788501739502,900.0,,,94,187.9742523,,1779617527.2330048,
1.307215690612793,910.0,,,95,189.6771363,,1779617528.9353552,
1.3253107070922852,920.0,,,96,191.3805895,,1779617530.6383598,
1.3050645589828491,930.0,,,97,193.1558628,,1779617532.4135616,
1.3047927618026733,940.0,,,98,194.9387369,,1779617534.196985,
1.2952946424484253,950.0,,,99,196.7371196,,1779617535.9954524,
1.2730273008346558,960.0,,,100,198.4571349,,1779617537.715425,
1.2851765155792236,970.0,,,101,200.1857642,,1779617539.4445167,
1.3049216270446777,980.0,,,102,202.0512324,,1779617541.3094184,
1.2802406549453735,990.0,,,103,203.8526163,,1779617543.1105223,
,1000.0,,0.0009271396472013282,104,228.2111791,1.5222866535186768,1779617567.469232,1.2256613969802856
1.30470871925354,1000.0,,,105,228.3721091,,1779617567.630352,
1.3024812936782837,1010.0,,,106,230.1852089,,1779617569.4428794,
1.2671175003051758,1020.0,,,107,231.9851631,,1779617571.2439156,
1.2828154563903809,1030.0,,,108,233.7796298,,1779617573.0383823,
1.273247480392456,1040.0,,,109,235.6426107,,1779617574.901049,
1.2586926221847534,1050.0,,,110,237.4718223,,1779617576.7300339,
1.2630808353424072,1060.0,,,111,239.2990143,,1779617578.55726,
1.3005857467651367,1070.0,,,112,241.1304452,,1779617580.3891978,
1.2972816228866577,1080.0,,,113,242.9638072,,1779617582.2225597,
1.2760858535766602,1090.0,,,114,244.7998212,,1779617584.0580692,
1.2673003673553467,1100.0,,,115,246.6373846,,1779617585.894713,
1.2496169805526733,1110.0,,,116,248.4720629,,1779617587.7301266,
1.2561384439468384,1120.0,,,117,250.464594,,1779617589.722791,
1.219583511352539,1130.0,,,118,252.4662649,,1779617591.7245824,
1.2267991304397583,1140.0,,,119,254.4733007,,1779617593.7308412,
1.261432409286499,1150.0,,,120,256.4759417,,1779617595.7341852,
1.2360297441482544,1160.0,,,121,258.3818101,,1779617597.640055,
1.2637379169464111,1170.0,,,122,260.2652961,,1779617599.523543,
