_runtime,Sample Generation,iter,train/loss,lr,val/loss,_timestamp,train/step_loss,_step
18.8299888,,0.0,4.329974174499512,9.900990099009901e-06,4.319680213928223,1779555412.3475647,,0
19.0070135,,0.0,,,,1779555412.5250945,4.327479839324951,1
20.5438961,,10.0,,,,1779555414.0612433,3.3658127784729004,2
22.0820475,,20.0,,,,1779555415.5996828,2.911963939666748,3
23.6193115,,30.0,,,,1779555417.136598,2.6319894790649414,4
25.1573444,,40.0,,,,1779555418.6747806,2.5466299057006836,5
26.694425,,50.0,,,,1779555420.2119753,2.5080745220184326,6
28.2317645,,60.0,,,,1779555421.7498453,2.4856903553009033,7
29.7679832,,70.0,,,,1779555423.2783809,2.4617271423339844,8
31.306134,,80.0,,,,1779555424.8234258,2.4418749809265137,9
32.8431207,,90.0,,,,1779555426.3612015,2.4290707111358643,10
34.379706,,100.0,,,,1779555427.8977869,2.4176666736602783,11
35.9169108,,110.0,,,,1779555429.4349916,2.3699004650115967,12
37.4531083,,120.0,,,,1779555430.971189,2.378737449645996,13
38.9905569,,130.0,,,,1779555432.5028908,2.370072841644287,14
40.5284551,,140.0,,,,1779555434.0460324,2.3281655311584473,15
42.0661146,,150.0,,,,1779555435.5829947,2.3136472702026367,16
43.604258,,160.0,,,,1779555437.121835,2.3272767066955566,17
45.1410251,,170.0,,,,1779555438.6591058,2.2744603157043457,18
46.6782136,,180.0,,,,1779555440.1962943,2.2310585975646973,19
48.2164732,,190.0,,,,1779555441.7338145,2.194835901260376,20
49.7542407,,200.0,,,,1779555443.2720041,2.14735746383667,21
51.2918802,,210.0,,,,1779555444.805188,2.0835862159729004,22
52.8299825,,220.0,,,,1779555446.3459764,2.0590155124664307,23
54.4497607,,230.0,,,,1779555447.967336,1.9964698553085327,24
55.9908881,,240.0,,,,1779555449.5081775,1.9677634239196777,25
76.5406499,,250.0,1.865818738937378,0.0009979206008271391,1.9939781427383423,1779555470.0574417,,26
76.7016881,,250.0,,,,1779555470.2197688,1.9565623998641968,27
78.2648387,,260.0,,,,1779555471.782409,1.9198806285858154,28
79.8275339,,270.0,,,,1779555473.344668,1.8628956079483032,29
81.3900379,,280.0,,,,1779555474.9071922,1.836262822151184,30
82.9523682,,290.0,,,,1779555476.4696553,1.8336986303329468,31
84.5162637,,300.0,,,,1779555478.033344,1.805003046989441,32
86.0803884,,310.0,,,,1779555479.598469,1.7774872779846191,33
87.8163446,,320.0,,,,1779555481.3344254,1.7470382452011108,34
89.3730303,,330.0,,,,1779555482.8911111,1.7245275974273682,35
91.0539934,,340.0,,,,1779555484.571547,1.7239011526107788,36
92.6972652,,350.0,,,,1779555486.2153459,1.664703130722046,37
94.3417496,,360.0,,,,1779555487.8598304,1.645838975906372,38
95.9796116,,370.0,,,,1779555489.4970317,1.6537954807281494,39
97.6242669,,380.0,,,,1779555491.1381333,1.6401563882827759,40
99.2680178,,390.0,,,,1779555492.7855966,1.626763105392456,41
100.91124,,400.0,,,,1779555494.4293208,1.6075834035873413,42
102.5530531,,410.0,,,,1779555496.0703852,1.6232606172561646,43
104.1960326,,420.0,,,,1779555497.713505,1.5546666383743286,44
105.8373243,,430.0,,,,1779555499.3539665,1.5561540126800537,45
107.4782145,,440.0,,,,1779555500.9962955,1.567529320716858,46
109.1204452,,450.0,,,,1779555502.6379108,1.5659892559051514,47
110.7599513,,460.0,,,,1779555504.2770612,1.5214866399765015,48
112.4022188,,470.0,,,,1779555505.9191978,1.557232141494751,49
114.0467073,,480.0,,,,1779555507.5614376,1.536460518836975,50
115.6895658,,490.0,,,,1779555509.2071054,1.5085084438323975,51
137.4389084,,500.0,1.4347198009490967,0.0009852826883675631,1.641369342803955,1779555530.9563608,,52
137.6011403,,500.0,,,,1779555531.118687,1.5052647590637207,53
139.1649068,,510.0,,,,1779555532.6822605,1.5200841426849365,54
140.7269009,,520.0,,,,1779555534.2421637,1.527035117149353,55
142.4463168,,530.0,,,,1779555535.9643977,1.482344627380371,56
144.143957,,540.0,,,,1779555537.6615345,1.4710793495178223,57
145.6851952,,550.0,,,,1779555539.2029083,1.5032093524932861,58
147.3637827,,560.0,,,,1779555540.8811939,1.444746971130371,59
149.0855149,,570.0,,,,1779555542.603157,1.4482611417770386,60
150.6374072,,580.0,,,,1779555544.1546535,1.4200153350830078,61
152.2863902,,590.0,,,,1779555545.803073,1.4600141048431396,62
153.8720767,,600.0,,,,1779555547.3886294,1.4182815551757812,63
155.4616794,,610.0,,,,1779555548.9797602,1.4411704540252686,64
157.1790283,,620.0,,,,1779555550.6963427,1.4049582481384277,65
158.8046748,,630.0,,,,1779555552.322251,1.4361207485198975,66
160.4318133,,640.0,,,,1779555553.949256,1.4316375255584717,67
162.0580818,,650.0,,,,1779555555.5761626,1.411267638206482,68
163.6828497,,660.0,,,,1779555557.2009306,1.4212172031402588,69
165.3130453,,670.0,,,,1779555558.8304787,1.4048001766204834,70
166.9425344,,680.0,,,,1779555560.4606152,1.3847476243972778,71
168.5693477,,690.0,,,,1779555562.0868893,1.3784443140029907,72
170.2017497,,700.0,,,,1779555563.719296,1.3791251182556152,73
171.8345301,,710.0,,,,1779555565.3520985,1.3559973239898682,74
173.4700106,,720.0,,,,1779555566.9873283,1.367902398109436,75
175.1033441,,730.0,,,,1779555568.62079,1.3652501106262207,76
176.7378176,,740.0,,,,1779555570.2558985,1.3606969118118286,77
199.1357792,,750.0,1.3023452758789062,0.0009614856803571157,1.5540611743927002,1779555592.6530397,,78
199.305395,,750.0,,,,1779555592.822972,1.3772199153900146,79
200.933428,,760.0,,,,1779555594.4515088,1.3584933280944824,80
202.5602329,,770.0,,,,1779555596.0778089,1.3560649156570435,81
204.1869752,,780.0,,,,1779555597.7045429,1.3587520122528076,82
205.8209517,,790.0,,,,1779555599.3390326,1.3483169078826904,83
207.4569613,,800.0,,,,1779555600.9747155,1.3701024055480957,84
209.0917457,,810.0,,,,1779555602.6093166,1.3289132118225098,85
210.7221631,,820.0,,,,1779555604.238161,1.3020280599594116,86
212.357765,,830.0,,,,1779555605.8751178,1.3098227977752686,87
213.9921376,,840.0,,,,1779555607.5102184,1.350560188293457,88
215.6209482,,850.0,,,,1779555609.138525,1.332918643951416,89
217.2544093,,860.0,,,,1779555610.7716298,1.3189311027526855,90
218.8880923,,870.0,,,,1779555612.4056616,1.3325086832046509,91
220.5152523,,880.0,,,,1779555614.033333,1.2933001518249512,92
222.2277372,,890.0,,,,1779555615.7458181,1.3259023427963257,93
223.862809,,900.0,,,,1779555617.3799174,1.285698652267456,94
225.6046375,,910.0,,,,1779555619.1222131,1.28319251537323,95
227.3362671,,920.0,,,,1779555620.8534498,1.3091065883636475,96
228.9881292,,930.0,,,,1779555622.5057046,1.284889578819275,97
230.6990365,,940.0,,,,1779555624.2162058,1.302771806716919,98
232.4079677,,950.0,,,,1779555625.9255433,1.325171709060669,99
234.1147996,,960.0,,,,1779555627.6323361,1.2772191762924194,100
235.8245748,,970.0,,,,1779555629.3426554,1.3053185939788818,101
237.5286101,,980.0,,,,1779555631.0455587,1.2885305881500244,102
239.0726139,,990.0,,,,1779555632.5898602,1.2731242179870605,103
261.3595,,1000.0,1.2217003107070923,0.0009271396472013282,1.5151563882827759,1779555654.8768501,,104
261.5180027,,1000.0,,,,1779555655.0355797,1.2797374725341797,105
263.210545,,1010.0,,,,1779555656.728626,1.2921655178070068,106
264.7608846,,1020.0,,,,1779555658.278459,1.2364392280578613,107
266.4791207,,1030.0,,,,1779555659.9972014,1.2795485258102417,108
268.1814366,,1040.0,,,,1779555661.699075,1.2641360759735107,109
269.8824278,,1050.0,,,,1779555663.4005086,1.2777328491210938,110
271.4449578,,1060.0,,,,1779555664.9581923,1.2570836544036865,111
273.1703005,,1070.0,,,,1779555666.6874774,1.2697484493255615,112
274.8494201,,1080.0,,,,1779555668.365754,1.243438482284546,113
276.5266202,,1090.0,,,,1779555670.0441937,1.2762575149536133,114
278.2059614,,1100.0,,,,1779555671.7240422,1.2676252126693726,115
279.8857688,,1110.0,,,,1779555673.4033444,1.2631912231445312,116
281.5676439,,1120.0,,,,1779555675.085221,1.2388434410095215,117
283.2462213,,1130.0,,,,1779555676.763794,1.2696518898010254,118
284.9296712,,1140.0,,,,1779555678.447177,1.2406554222106934,119
286.6104895,,1150.0,,,,1779555680.1276495,1.3050068616867065,120
288.2918573,,1160.0,,,,1779555681.8094306,1.272395133972168,121
289.9726912,,1170.0,,,,1779555683.4885168,1.2776235342025757,122
291.6507484,,1180.0,,,,1779555685.1688292,1.262323260307312,123
293.3292163,,1190.0,,,,1779555686.8431997,1.2624127864837646,124
295.0079837,,1200.0,,,,1779555688.5253773,1.234714150428772,125
296.6900384,,1210.0,,,,1779555690.2081194,1.2377792596817017,126
298.3714651,,1220.0,,,,1779555691.889546,1.2233229875564575,127
299.913689,,1230.0,,,,1779555693.4305477,1.2441117763519287,128
301.5485405,,1240.0,,,,1779555695.0661883,1.2476282119750977,129
323.1826294,,1250.0,1.1623872518539429,0.000883125098683892,1.5052508115768433,1779555716.7001007,,130
323.3491835,,1250.0,,,,1779555716.86656,1.249155879020691,131
324.9520184,,1260.0,,,,1779555718.4687598,1.2225351333618164,132
326.5522475,,1270.0,,,,1779555720.0697477,1.242784857749939,133
328.2274761,,1280.0,,,,1779555721.745557,1.2212194204330444,134
329.8924326,,1290.0,,,,1779555723.4105134,1.2296167612075806,135
331.5326378,,1300.0,,,,1779555725.050213,1.2131330966949463,136
333.1769985,,1310.0,,,,1779555726.6945736,1.2363898754119873,137
334.8203751,,1320.0,,,,1779555728.3379145,1.253547191619873,138
336.4613416,,1330.0,,,,1779555729.9794226,1.2368271350860596,139
338.1069156,,1340.0,,,,1779555731.6235557,1.1859064102172852,140
339.7554176,,1350.0,,,,1779555733.2727554,1.2288739681243896,141
341.4015084,,1360.0,,,,1779555734.9187715,1.2284736633300781,142
343.0489039,,1370.0,,,,1779555736.5664644,1.1925804615020752,143
344.6926714,,1380.0,,,,1779555738.210244,1.2198456525802612,144
346.3377496,,1390.0,,,,1779555739.8553927,1.2218338251113892,145
347.981544,,1400.0,,,,1779555741.4996247,1.1887589693069458,146
349.6267782,,1410.0,,,,1779555743.144346,1.2248077392578125,147
351.2709156,,1420.0,,,,1779555744.788485,1.1974213123321533,148
352.9148385,,1430.0,,,,1779555746.4329193,1.165306806564331,149
354.5609062,,1440.0,,,,1779555748.0789871,1.1791555881500244,150
356.2037443,,1450.0,,,,1779555749.7212913,1.2047996520996094,151
357.8428207,,1460.0,,,,1779555751.3599036,1.1679420471191406,152
359.4843869,,1470.0,,,,1779555753.0019636,1.1764209270477295,153
361.1250166,,1480.0,,,,1779555754.6419234,1.2086644172668457,154
362.7690632,,1490.0,,,,1779555756.286471,1.1740591526031494,155
384.2620705,,1500.0,1.1043905019760132,0.0008305704108364302,1.5008693933486938,1779555777.7801514,,156
384.4265452,,1500.0,,,,1779555777.9446259,1.1935760974884033,157
386.1043058,,1510.0,,,,1779555779.6223867,1.1621441841125488,158
387.6442861,,1520.0,,,,1779555781.1616886,1.1773980855941772,159
389.2764275,,1530.0,,,,1779555782.794005,1.1815898418426514,160
390.951298,,1540.0,,,,1779555784.468753,1.1910415887832642,161
392.6260726,,1550.0,,,,1779555786.1436212,1.1701457500457764,162
394.1797714,,1560.0,,,,1779555787.6973238,1.1626427173614502,163
395.7168464,,1570.0,,,,1779555789.2349272,1.1423934698104858,164
