iter,val/loss,_step,_timestamp,train/loss,train/step_loss,_runtime,Sample Generation,lr
0.0,4.208247184753418,0,1779605277.3922834,4.214782238006592,,36.5956669,,9.900990099009901e-06
0.0,,1,1779605277.6666675,,4.2211151123046875,36.8656911,,
10.0,,2,1779605280.2842312,,2.9607644081115723,39.4834671,,
20.0,,3,1779605282.9068432,,2.622100830078125,42.1059223,,
30.0,,4,1779605285.5310433,,2.4501917362213135,44.7359031,,
40.0,,5,1779605288.3849568,,2.3463001251220703,47.5834753,,
50.0,,6,1779605291.1346092,,2.2682552337646484,50.3355823,,
60.0,,7,1779605293.8332853,,2.2384893894195557,53.0322352,,
70.0,,8,1779605296.640957,,2.1823835372924805,55.8400504,,
80.0,,9,1779605299.3558216,,2.106851577758789,58.5556324,,
90.0,,10,1779605302.173581,,2.1082403659820557,61.3770686,,
100.0,,11,1779605304.9179826,,2.071378707885742,64.1169993,,
110.0,,12,1779605307.5778263,,2.0280866622924805,66.7768983,,
120.0,,13,1779605310.239171,,2.0018813610076904,69.4381943,,
130.0,,14,1779605313.0317729,,1.9699363708496094,72.2302914,,
140.0,,15,1779605315.804176,,1.9245084524154663,75.0032297,,
150.0,,16,1779605318.543344,,1.873376488685608,77.7440686,,
160.0,,17,1779605321.2910607,,1.891110897064209,80.492125,,
170.0,,18,1779605324.037798,,1.8864288330078125,83.2373208,,
180.0,,19,1779605326.7821045,,1.8508182764053345,85.981307,,
190.0,,20,1779605329.518206,,1.809473991394043,88.7177885,,
200.0,,21,1779605332.2618518,,1.797586441040039,91.4603703,,
210.0,,22,1779605335.0072877,,1.7627604007720947,94.2058062,,
220.0,,23,1779605337.7589824,,1.7419931888580322,96.957501,,
230.0,,24,1779605340.5127487,,1.7609736919403076,99.7112674,,
240.0,,25,1779605343.2571986,,1.7407125234603882,102.4569451,,
250.0,1.7943873405456543,26,1779605386.479511,1.6199331283569336,,145.678566,,0.0009979206008271391
250.0,,27,1779605386.7607648,,1.7286460399627686,145.959876,,
260.0,,28,1779605389.4996936,,1.7223694324493408,148.6987159,,
270.0,,29,1779605392.241338,,1.6853258609771729,151.4404521,,
280.0,,30,1779605394.9830039,,1.6698822975158691,154.1818773,,
290.0,,31,1779605397.7320614,,1.7129287719726562,156.93058,,
300.0,,32,1779605400.4725802,,1.656259536743164,159.6710985,,
310.0,,33,1779605403.2211847,,1.6194751262664795,162.420469,,
320.0,,34,1779605405.970528,,1.6213352680206299,165.1698633,,
330.0,,35,1779605408.722407,,1.6267807483673096,167.9221133,,
340.0,,36,1779605411.4857874,,1.5861847400665283,170.6850309,,
350.0,,37,1779605414.4172366,,1.5945532321929932,173.6157551,,
360.0,,38,1779605417.2664409,,1.589125633239746,176.4649594,,
370.0,,39,1779605420.128589,,1.584380865097046,179.3278254,,
380.0,,40,1779605422.982125,,1.552634596824646,182.181149,,
390.0,,41,1779605425.8418903,,1.549173355102539,185.0410061,,
400.0,,42,1779605428.6962714,,1.530612587928772,187.8947899,,
410.0,,43,1779605431.5434976,,1.5587713718414307,190.7420159,,
420.0,,44,1779605434.3964696,,1.4969582557678223,193.5949879,,
430.0,,45,1779605437.245753,,1.51736319065094,196.4462008,,
440.0,,46,1779605440.102233,,1.5045793056488037,199.3012556,,
450.0,,47,1779605442.9591074,,1.4979393482208252,202.1586455,,
460.0,,48,1779605445.8134484,,1.4722588062286377,205.011967,,
470.0,,49,1779605448.6654346,,1.446747064590454,207.8655384,,
480.0,,50,1779605451.5287971,,1.4706933498382568,210.7273157,,
490.0,,51,1779605454.3940394,,1.458778977394104,213.5925579,,
500.0,1.6115286350250244,52,1779605499.180257,1.3851112127304077,,258.3792806,,0.0009852826883675631
500.0,,53,1779605499.4700155,,1.4669554233551025,258.6691306,,
510.0,,54,1779605502.3143904,,1.4644346237182617,261.5144992,,
520.0,,55,1779605505.1637998,,1.4297387599945068,264.3623184,,
530.0,,56,1779605507.8824284,,1.4531495571136475,267.0814561,,
540.0,,57,1779605510.7545745,,1.4639873504638672,269.9535764,,
550.0,,58,1779605513.5699022,,1.4281147718429565,272.7689256,,
560.0,,59,1779605516.3843982,,1.437183141708374,275.5835732,,
570.0,,60,1779605519.2012038,,1.4644534587860107,278.3997223,,
580.0,,61,1779605522.0155106,,1.4255797863006592,281.2145396,,
590.0,,62,1779605524.8262446,,1.4096453189849854,284.0255956,,
600.0,,63,1779605527.6418245,,1.3637573719024658,286.8430278,,
610.0,,64,1779605530.4588928,,1.431001901626587,289.6574112,,
620.0,,65,1779605533.2798586,,1.4003241062164307,292.4783771,,
630.0,,66,1779605536.100099,,1.3870494365692139,295.299125,,
640.0,,67,1779605538.9275343,,1.3701058626174927,298.1260528,,
650.0,,68,1779605541.7429361,,1.4124706983566284,300.9419604,,
660.0,,69,1779605544.5558872,,1.369981288909912,303.7561808,,
670.0,,70,1779605547.3729,,1.4229121208190918,306.5726848,,
680.0,,71,1779605550.1958895,,1.3692690134048462,309.3949221,,
690.0,,72,1779605553.010289,,1.4137042760849,312.2095602,,
700.0,,73,1779605555.8344898,,1.3785486221313477,315.0330084,,
710.0,,74,1779605558.662687,,1.392217993736267,317.8612055,,
720.0,,75,1779605561.4840338,,1.3845776319503784,320.6835129,,
730.0,,76,1779605564.309392,,1.391845941543579,323.5079104,,
740.0,,77,1779605567.1313014,,1.3768014907836914,326.3314276,,
750.0,1.5439587831497192,78,1779605611.5430624,1.2791045904159546,,370.7475639,,0.0009614856803571157
750.0,,79,1779605611.8343236,,1.3542208671569824,371.0333476,,
760.0,,80,1779605614.6494222,,1.3263964653015137,373.8484441,,
770.0,,81,1779605617.4706335,,1.3461005687713623,376.669658,,
780.0,,82,1779605620.29751,,1.3707064390182495,379.4965408,,
790.0,,83,1779605623.1184359,,1.346181035041809,382.3169543,,
800.0,,84,1779605625.9421396,,1.3440935611724854,385.1406582,,
810.0,,85,1779605628.7723837,,1.306408166885376,387.9721424,,
820.0,,86,1779605631.6017687,,1.3583269119262695,390.8002872,,
830.0,,87,1779605634.43493,,1.333472490310669,393.6343381,,
840.0,,88,1779605637.264075,,1.341646671295166,396.4625935,,
850.0,,89,1779605640.0974934,,1.3386973142623901,399.2960121,,
860.0,,90,1779605642.9287121,,1.323721170425415,402.1280787,,
870.0,,91,1779605645.7613091,,1.3062822818756104,404.9598277,,
880.0,,92,1779605648.5851722,,1.3501384258270264,407.7836907,,
890.0,,93,1779605651.4123728,,1.3245849609375,410.6114063,,
