val/loss,train/loss,_timestamp,train/step_loss,lr,_runtime,_step,Sample Generation,iter
4.169124603271484,4.1646623611450195,1779613261.7442925,,9.900990099009901e-06,20.1415659,0,,0.0
,,1779613261.9119954,4.185439109802246,,20.3094285,1,,0.0
,,1779613263.771092,3.129279375076294,,22.1760006,2,,10.0
,,1779613265.60787,2.7295637130737305,,24.0049,3,,20.0
,,1779613267.3777313,2.626976490020752,,25.7750794,4,,30.0
,,1779613269.3432784,2.5520973205566406,,27.7397669,5,,40.0
,,1779613271.1558003,2.5143320560455322,,29.5527955,6,,50.0
,,1779613273.0769866,2.4957094192504883,,31.4770903,7,,60.0
,,1779613275.012836,2.5216124057769775,,33.4105089,8,,70.0
,,1779613276.9345846,2.470728635787964,,35.3358305,9,,80.0
,,1779613278.8641915,2.4526705741882324,,37.2616808,10,,90.0
,,1779613280.7896016,2.4425196647644043,,39.1916888,11,,100.0
,,1779613282.7200859,2.420013904571533,,41.11708,12,,110.0
,,1779613284.6458185,2.4289770126342773,,43.0437489,13,,120.0
,,1779613286.568516,2.441707134246826,,44.9655448,14,,130.0
,,1779613288.4990902,2.435312032699585,,46.8961169,15,,140.0
,,1779613290.4255888,2.386687755584717,,48.822755,16,,150.0
,,1779613292.3553753,2.3692946434020996,,50.7523682,17,,160.0
,,1779613294.2808397,2.333855152130127,,52.6783023,18,,170.0
,,1779613296.2113125,2.3406260013580322,,54.6078013,19,,180.0
,,1779613298.1427002,2.3000283241271973,,56.5396948,20,,190.0
,,1779613300.067751,2.297625780105591,,58.4652606,21,,200.0
,,1779613301.998615,2.2310352325439453,,60.3956085,22,,210.0
,,1779613303.9271164,2.233027458190918,,62.3236048,23,,220.0
,,1779613305.8493793,2.1943697929382324,,64.2466921,24,,230.0
,,1779613307.7708788,2.1618709564208984,,66.1688453,25,,240.0
2.135335922241211,2.0519416332244873,1779613332.1520867,,0.0009979206008271391,90.5531205,26,,250.0
,,1779613332.3464806,2.146096706390381,,90.7429693,27,,250.0
,,1779613334.1945343,2.1255617141723633,,92.591023,28,,260.0
,,1779613336.0471032,2.0601003170013428,,94.4435919,29,,270.0
,,1779613337.900974,2.027282238006592,,96.2983663,30,,280.0
,,1779613339.8846679,2.025789737701416,,98.2815009,31,,290.0
,,1779613341.8415768,1.9959180355072021,,100.2380653,32,,300.0
,,1779613343.8041677,1.981610894203186,,102.2012032,33,,310.0
,,1779613345.761365,1.9244334697723389,,104.1583787,34,,320.0
,,1779613347.7232256,1.9393833875656128,,106.1204876,35,,330.0
,,1779613349.6773205,1.8945083618164062,,108.0743133,36,,340.0
,,1779613351.6347399,1.8479137420654297,,110.0317666,37,,350.0
,,1779613353.5940819,1.8725056648254395,,111.9914196,38,,360.0
,,1779613355.556389,1.8267546892166138,,113.9533829,39,,370.0
,,1779613357.5202472,1.7884490489959717,,115.9171864,40,,380.0
,,1779613359.4795213,1.753913402557373,,117.8805777,41,,390.0
,,1779613361.4322858,1.7713487148284912,,119.8356998,42,,400.0
,,1779613363.4014826,1.7533881664276123,,121.7984753,43,,410.0
,,1779613365.362574,1.7223976850509644,,123.7595897,44,,420.0
,,1779613367.3222969,1.711772084236145,,125.7187854,45,,430.0
,,1779613369.2814553,1.7009496688842773,,127.6786649,46,,440.0
,,1779613371.236773,1.6840394735336304,,129.6337693,47,,450.0
,,1779613373.1967564,1.643120527267456,,131.5937498,48,,460.0
,,1779613375.1490588,1.6424025297164917,,133.5462979,49,,470.0
,,1779613377.104799,1.6409441232681274,,135.5012875,50,,480.0
,,1779613379.0598598,1.6230380535125732,,137.4566636,51,,490.0
1.7287312746047974,1.5528688430786133,1779613403.6773903,,0.0009852826883675631,162.0741998,52,,500.0
,,1779613403.869431,1.6254243850708008,,162.266521,53,,500.0
,,1779613405.742154,1.6307474374771118,,164.1391479,54,,510.0
,,1779613407.6167946,1.5682827234268188,,166.0137929,55,,520.0
,,1779613409.516179,1.5440616607666016,,167.9131793,56,,530.0
,,1779613411.5137522,1.5626386404037476,,169.9102409,57,,540.0
,,1779613413.467593,1.540932059288025,,171.8644275,58,,550.0
,,1779613415.4229043,1.5317966938018799,,173.8193928,59,,560.0
,,1779613417.3744373,1.53708016872406,,175.7714547,60,,570.0
,,1779613419.3328218,1.5472040176391602,,177.7298159,61,,580.0
,,1779613421.2872946,1.538820743560791,,179.6846007,62,,590.0
,,1779613423.2459564,1.4982898235321045,,181.6424449,63,,600.0
,,1779613425.2042804,1.5441820621490479,,183.6015394,64,,610.0
,,1779613427.1639385,1.4980700016021729,,185.5604272,65,,620.0
,,1779613429.1215937,1.4674484729766846,,187.5180823,66,,630.0
,,1779613431.072924,1.4919453859329224,,189.4694126,67,,640.0
,,1779613433.032741,1.4793713092803955,,191.4300292,68,,650.0
,,1779613434.9899027,1.4679893255233765,,193.3870648,69,,660.0
,,1779613436.9479349,1.458377480506897,,195.3452788,70,,670.0
,,1779613438.9076066,1.4624037742614746,,197.3040952,71,,680.0
,,1779613440.8691497,1.4582277536392212,,199.2662574,72,,690.0
,,1779613442.8280632,1.4432839155197144,,201.224924,73,,700.0
,,1779613444.7869651,1.4716570377349854,,203.1834539,74,,710.0
,,1779613446.7491798,1.4117846488952637,,205.1456684,75,,720.0
,,1779613448.712839,1.4681541919708252,,207.1116238,76,,730.0
,,1779613450.6774416,1.4528064727783203,,209.0744357,77,,740.0
1.580726146697998,1.362037181854248,1779613475.233467,,0.0009614856803571157,233.6341196,78,,750.0
,,1779613475.4245427,1.4281232357025146,,233.8210313,79,,750.0
,,1779613477.2586625,1.4177851676940918,,235.6556564,80,,760.0
,,1779613479.094517,1.4049538373947144,,237.4910055,81,,770.0
,,1779613481.0686617,1.4177677631378174,,239.4651503,82,,780.0
,,1779613482.9567373,1.4089162349700928,,241.3537319,83,,790.0
,,1779613484.844479,1.4088135957717896,,243.2415123,84,,800.0
,,1779613486.7332613,1.4360030889511108,,245.1303045,85,,810.0
,,1779613488.7579522,1.3597328662872314,,247.1544408,86,,820.0
,,1779613490.6865783,1.3736062049865723,,249.0835796,87,,830.0
,,1779613492.6110606,1.3888821601867676,,251.0075494,88,,840.0
,,1779613494.5360785,1.3719838857650757,,252.932567,89,,850.0
,,1779613496.4696217,1.3733079433441162,,254.8664944,90,,860.0
,,1779613498.3986633,1.3552463054656982,,256.7951518,91,,870.0
,,1779613500.3222382,1.3434737920761108,,258.7197423,92,,880.0
,,1779613502.2559083,1.3672435283660889,,260.6530852,93,,890.0
,,1779613504.1955516,1.3813188076019287,,262.5920403,94,,900.0
,,1779613506.1270676,1.3627395629882812,,264.5241545,95,,910.0
,,1779613508.0578463,1.3501602411270142,,266.4548408,96,,920.0
,,1779613509.9899101,1.3574140071868896,,268.3863987,97,,930.0
,,1779613511.925424,1.3197286128997803,,270.3224182,98,,940.0
,,1779613513.8581386,1.347542405128479,,272.2551241,99,,950.0
,,1779613515.7927094,1.322729468345642,,274.1898217,100,,960.0
,,1779613517.729482,1.3391549587249756,,276.126754,101,,970.0
,,1779613519.6667635,1.3023107051849365,,278.0637717,102,,980.0
,,1779613521.6014764,1.3147273063659668,,279.997965,103,,990.0
1.5137028694152832,1.2652180194854736,1779613546.7382712,,0.0009271396472013282,305.1354594,104,,1000.0
,,1779613546.9303246,1.3309168815612793,,305.3275372,105,,1000.0
,,1779613548.810834,1.3160368204116821,,307.208061,106,,1010.0
,,1779613550.6868865,1.2992854118347168,,309.0887728,107,,1020.0
,,1779613552.572172,1.3565053939819336,,310.9686607,108,,1030.0
,,1779613554.6070783,1.3305275440216064,,313.0044396,109,,1040.0
,,1779613556.5600734,1.293899416923523,,314.9575514,110,,1050.0
,,1779613558.5174105,1.3116092681884766,,316.9144057,111,,1060.0
,,1779613560.473645,1.2864161729812622,,318.8704524,112,,1070.0
,,1779613562.4320037,1.3190375566482544,,320.8284925,113,,1080.0
,,1779613564.3874617,1.2919764518737793,,322.7847583,114,,1090.0
,,1779613566.3471527,1.3348792791366577,,324.7436412,115,,1100.0
,,1779613568.3044648,1.312220573425293,,326.7019744,116,,1110.0
,,1779613570.266686,1.2782552242279053,,328.6637121,117,,1120.0
,,1779613572.2259028,1.3058271408081055,,330.6233157,118,,1130.0
,,1779613574.1852272,1.3071434497833252,,332.5824794,119,,1140.0
,,1779613576.1416757,1.277129888534546,,334.5396418,120,,1150.0
,,1779613578.099336,1.3118669986724854,,336.496386,121,,1160.0
,,1779613580.0594053,1.2856316566467285,,338.4563977,122,,1170.0
,,1779613582.0220714,1.2756659984588623,,340.419704,123,,1180.0
,,1779613583.9702942,1.2687190771102905,,342.375408,124,,1190.0
,,1779613585.9360874,1.2583401203155518,,344.3325758,125,,1200.0
,,1779613587.8922803,1.2227532863616943,,346.2892734,126,,1210.0
,,1779613589.848961,1.2688740491867065,,348.2457989,127,,1220.0
,,1779613591.8050838,1.265798807144165,,350.2027759,128,,1230.0
,,1779613593.7615447,1.284815788269043,,352.1580332,129,,1240.0
1.4950828552246094,1.1975558996200562,1779613618.0257792,,0.000883125098683892,376.4235942,130,,1250.0
,,1779613618.229405,1.2640628814697266,,376.6258935,131,,1250.0
,,1779613620.2227743,1.2639198303222656,,378.6200202,132,,1260.0
,,1779613622.2107725,1.247345209121704,,380.6072612,133,,1270.0
,,1779613624.1976132,1.256532907485962,,382.5946966,134,,1280.0
,,1779613626.1729007,1.2505733966827393,,384.578382,135,,1290.0
,,1779613628.1702638,1.2320787906646729,,386.5695886,136,,1300.0
,,1779613630.154995,1.2624599933624268,,388.5514836,137,,1310.0
,,1779613632.137045,1.257936954498291,,390.5335335,138,,1320.0
,,1779613634.1236403,1.251543641090393,,392.5210477,139,,1330.0
,,1779613636.1070976,1.2530678510665894,,394.5035863,140,,1340.0
,,1779613638.098116,1.2642314434051514,,396.495123,141,,1350.0
,,1779613640.0860467,1.251150369644165,,398.4830497,142,,1360.0
,,1779613642.073753,1.2460932731628418,,400.471158,143,,1370.0
,,1779613644.056558,1.2385609149932861,,402.4535522,144,,1380.0
,,1779613646.044523,1.2580634355545044,,404.4415262,145,,1390.0
,,1779613648.0320847,1.240721583366394,,406.4292911,146,,1400.0
,,1779613650.020823,1.2340068817138672,,408.4178185,147,,1410.0
,,1779613652.0116632,1.2601745128631592,,410.4088027,148,,1420.0
,,1779613654.002795,1.2327812910079956,,412.4002885,149,,1430.0
,,1779613655.9880245,1.2356921434402466,,414.385212,150,,1440.0
,,1779613657.9707212,1.2358967065811157,,416.3678379,151,,1450.0
,,1779613659.953592,1.2129520177841187,,418.3505869,152,,1460.0
,,1779613661.9417012,1.2238839864730835,,420.3387023,153,,1470.0
,,1779613663.9238758,1.2498698234558105,,422.3203645,154,,1480.0
,,1779613665.907282,1.2113465070724487,,424.3037707,155,,1490.0
1.4829189777374268,1.1422572135925293,1779613690.3318965,,0.0008305704108364302,448.7298996,156,,1500.0
,,1779613690.5212295,1.1806154251098633,,448.9182744,157,,1500.0
,,1779613692.3495753,1.2367178201675415,,450.7466142,158,,1510.0
,,1779613694.1869586,1.194511890411377,,452.5839572,159,,1520.0
,,1779613696.026805,1.1911873817443848,,454.4232937,160,,1530.0
,,1779613697.896089,1.2337181568145752,,456.2973795,161,,1540.0
,,1779613699.897604,1.2142490148544312,,458.2940928,162,,1550.0
,,1779613701.8062398,1.1979284286499023,,460.2032381,163,,1560.0
,,1779613703.7163723,1.2315468788146973,,462.113366,164,,1570.0
,,1779613705.6305714,1.2280559539794922,,464.0270598,165,,1580.0
,,1779613707.542481,1.1703280210494995,,465.9394795,166,,1590.0
,,1779613709.458587,1.1878397464752197,,467.8554403,167,,1600.0
,,1779613711.3796904,1.148012399673462,,469.7765785,168,,1610.0
,,1779613713.3030906,1.1930313110351562,,471.6995792,169,,1620.0
,,1779613715.2252991,1.1892106533050537,,473.6230865,170,,1630.0
,,1779613717.1469193,1.188471794128418,,475.5439289,171,,1640.0
,,1779613719.068287,1.2116854190826416,,477.4653973,172,,1650.0
,,1779613720.9858546,1.1433967351913452,,479.3827192,173,,1660.0
,,1779613722.9074633,1.19400155544281,,481.3046971,174,,1670.0
,,1779613724.8231394,1.195791482925415,,483.2196278,175,,1680.0
,,1779613726.7415824,1.1441748142242432,,485.138071,176,,1690.0
,,1779613728.656976,1.1714303493499756,,487.0540476,177,,1700.0
,,1779613730.5746188,1.170595407485962,,488.9716256,178,,1710.0
,,1779613732.489242,1.189497709274292,,490.888789,179,,1720.0
,,1779613734.4092185,1.140777349472046,,492.8057072,180,,1730.0
,,1779613736.3314435,1.1584856510162354,,494.7279321,181,,1740.0
1.478137493133545,1.0947996377944946,1779613761.154758,,0.0007708228984017721,519.5522163,182,,1750.0
,,1779613761.3532524,1.16851806640625,,519.7497409,183,,1750.0
,,1779613763.289965,1.1682140827178955,,521.6869575,184,,1760.0
,,1779613765.2196856,1.1554005146026611,,523.6166969,185,,1770.0
,,1779613767.1500058,1.1576452255249023,,525.5464944,186,,1780.0
,,1779613769.0743332,1.15472412109375,,527.4783119,187,,1790.0
,,1779613771.0134726,1.1684672832489014,,529.4103083,188,,1800.0
,,1779613772.947866,1.15519380569458,,531.3448599,189,,1810.0
,,1779613774.8801372,1.1534696817398071,,533.2772716,190,,1820.0
,,1779613776.8093715,1.1377818584442139,,535.206775,191,,1830.0
,,1779613778.7396252,1.1298539638519287,,537.1367181,192,,1840.0
,,1779613780.673774,1.1686406135559082,,539.070815,193,,1850.0
,,1779613782.6101594,1.1846469640731812,,541.0066479,194,,1860.0
,,1779613784.5426235,1.1647541522979736,,542.9438336,195,,1870.0
,,1779613786.4858317,1.1705145835876465,,544.8823202,196,,1880.0
,,1779613788.4203632,1.1566288471221924,,546.817363,197,,1890.0
,,1779613790.358133,1.136144757270813,,548.7546216,198,,1900.0
,,1779613792.2935667,1.1319695711135864,,550.6906033,199,,1910.0
,,1779613794.231523,1.1194415092468262,,552.6287741,200,,1920.0
,,1779613796.1721632,1.1514592170715332,,554.5691566,201,,1930.0
,,1779613798.1068375,1.106912612915039,,556.5040742,202,,1940.0
,,1779613800.0412028,1.1264359951019287,,558.4376913,203,,1950.0
,,1779613801.9742846,1.1438841819763184,,560.3712852,204,,1960.0
,,1779613803.9063709,1.1371482610702515,,562.3028594,205,,1970.0
,,1779613805.8406458,1.1294010877609253,,564.2376422,206,,1980.0
,,1779613807.7663062,1.1291844844818115,,566.1638271,207,,1990.0
1.4857443571090698,1.0462007522583008,1779613832.3721728,,0.0007054142744895884,590.7712114,208,,2000.0
,,1779613832.5627167,1.1268008947372437,,590.9602057,209,,2000.0
,,1779613834.4145112,1.1346327066421509,,592.8116658,210,,2010.0
,,1779613836.2689266,1.1010812520980835,,594.6662552,211,,2020.0
,,1779613838.1262484,1.139545202255249,,596.5232541,212,,2030.0
,,1779613839.9854217,1.0841206312179565,,598.383245,213,,2040.0
,,1779613841.844887,1.1344432830810547,,600.2413757,214,,2050.0
,,1779613843.8825355,1.1089389324188232,,602.2790239,215,,2060.0
,,1779613845.8924158,1.127569556236267,,604.289836,216,,2070.0
,,1779613847.9095235,1.128288745880127,,606.3065224,217,,2080.0
