train/loss,iter,_step,train/step_loss,val/loss,_timestamp,Sample Generation,_runtime,lr
4.166699409484863,0.0,0,,4.172657012939453,1779614705.6381736,,18.7729895,9.900990099009901e-06
,0.0,1,4.183078765869141,,1779614705.7893307,,18.9292461,
,10.0,2,3.2728004455566406,,1779614707.4283156,,20.5632926,
,20.0,3,2.868680477142334,,1779614708.923245,,22.0582989,
,30.0,4,2.677353858947754,,1779614710.581942,,23.7164142,
,40.0,5,2.5702102184295654,,1779614712.167129,,25.3016015,
,50.0,6,2.5165982246398926,,1779614713.9134374,,27.0484784,
,60.0,7,2.497429847717285,,1779614715.474314,,28.6123399,
,70.0,8,2.5198726654052734,,1779614717.1528506,,30.2873229,
,80.0,9,2.474378824234009,,1779614718.7564704,,31.8909429,
,90.0,10,2.4553487300872803,,1779614720.3629124,,33.4978907,
,100.0,11,2.455554962158203,,1779614721.9671347,,35.1077368,
,110.0,12,2.4278814792633057,,1779614723.5718012,,36.7082516,
,120.0,13,2.4335927963256836,,1779614725.1683595,,38.3034903,
,130.0,14,2.4369418621063232,,1779614726.7702925,,39.9047647,
,140.0,15,2.4212732315063477,,1779614728.4497206,,41.5858519,
,150.0,16,2.3812201023101807,,1779614730.0932844,,43.2288196,
,160.0,17,2.3693580627441406,,1779614731.7103436,,44.8448159,
,170.0,18,2.3192861080169678,,1779614733.3266313,,46.4616081,
,180.0,19,2.3102571964263916,,1779614734.93102,,48.0660869,
,190.0,20,2.2472808361053467,,1779614736.5427628,,49.6775721,
,200.0,21,2.2306346893310547,,1779614738.2566884,,51.3916662,
,210.0,22,2.1539077758789062,,1779614739.8525836,,52.9875812,
,220.0,23,2.14361572265625,,1779614741.5872443,,54.7217167,
,230.0,24,2.104205846786499,,1779614743.216212,,56.3511896,
,240.0,25,2.05200457572937,,1779614744.8507357,,57.9852078,
1.9416375160217285,250.0,26,,2.05246901512146,1779614767.1414504,,80.2776239,0.0009979206008271391
,250.0,27,2.0334386825561523,,1779614767.2912855,,80.4319391,
,260.0,28,2.0148749351501465,,1779614768.961377,,82.0965118,
,270.0,29,1.9463880062103271,,1779614770.6737797,,83.808252,
,280.0,30,1.9162516593933105,,1779614772.3877323,,85.5230619,
,290.0,31,1.9061241149902344,,1779614774.0998201,,87.2342924,
,300.0,32,1.870678186416626,,1779614775.6774714,,88.8119438,
,310.0,33,1.8657991886138916,,1779614777.333628,,90.4690078,
,320.0,34,1.7990705966949463,,1779614778.9344845,,92.0694875,
,330.0,35,1.8258869647979736,,1779614780.536447,,93.6714423,
,340.0,36,1.7793337106704712,,1779614782.1419444,,95.2764167,
,350.0,37,1.7431964874267578,,1779614783.7516532,,96.8867676,
,360.0,38,1.7744371891021729,,1779614785.3515415,,98.4866376,
,370.0,39,1.7407397031784058,,1779614786.9509277,,100.0853999,
,380.0,40,1.699907660484314,,1779614788.5508785,,101.685858,
,390.0,41,1.663132905960083,,1779614790.2395847,,103.376945,
,400.0,42,1.6987595558166504,,1779614791.9259398,,105.0609886,
,410.0,43,1.6830010414123535,,1779614793.5427175,,106.6771897,
,420.0,44,1.657951831817627,,1779614795.2544885,,108.3917781,
,430.0,45,1.6582696437835693,,1779614796.849668,,109.9846191,
,440.0,46,1.6448638439178467,,1779614798.5254145,,111.6608583,
,450.0,47,1.6140871047973633,,1779614800.206817,,113.3417935,
,460.0,48,1.5899064540863037,,1779614801.9437118,,115.0788018,
,470.0,49,1.5945966243743896,,1779614803.672333,,116.8109734,
,480.0,50,1.590359091758728,,1779614805.4070125,,118.541988,
,490.0,51,1.5681252479553223,,1779614807.1379774,,120.2729705,
1.502084493637085,500.0,52,,1.685226559638977,1779614828.8810108,,142.0159919,0.0009852826883675631
,500.0,53,1.5735442638397217,,1779614829.0362196,,142.1712776,
,510.0,54,1.5784820318222046,,1779614830.7746294,,143.9091016,
,520.0,55,1.5242829322814941,,1779614832.4490592,,145.5850358,
,530.0,56,1.5020184516906738,,1779614834.1256094,,147.260825,
