_step,val/loss,lr,train/loss,Sample Generation,_runtime,iter,_timestamp,train/step_loss
0,4.299291133880615,9.900990099009901e-06,4.306077480316162,,6.3800079,0.0,1779643028.9188702,
1,,,,,6.4330358,0.0,1779643028.971833,4.292972564697266
2,,,,,6.8525785,10.0,1779643029.39194,3.190948486328125
3,,,,,7.2651469,20.0,1779643029.8045046,2.7586121559143066
4,,,,,7.6789982,30.0,1779643030.2183614,2.6249630451202393
5,,,,,8.0982429,40.0,1779643030.6375725,2.575788974761963
6,,,,,8.5213772,50.0,1779643031.0606654,2.5316600799560547
7,,,,,8.9452611,60.0,1779643031.4845865,2.4910950660705566
8,,,,,9.3666776,70.0,1779643031.9059572,2.512108564376831
9,,,,,9.7888839,80.0,1779643032.3277526,2.4634010791778564
10,,,,,10.211458,90.0,1779643032.7508204,2.477736473083496
11,,,,,10.6288772,100.0,1779643033.1682432,2.4090416431427
12,,,,,11.0523029,110.0,1779643033.5914977,2.4389522075653076
13,,,,,11.4767832,120.0,1779643034.015613,2.399137258529663
14,,,,,11.8975059,130.0,1779643034.4368715,2.3859004974365234
15,,,,,12.3266673,140.0,1779643034.8659363,2.3584628105163574
16,,,,,12.7488206,150.0,1779643035.2881815,2.2833151817321777
17,,,,,13.1600135,160.0,1779643035.6992538,2.3048226833343506
18,,,,,13.5821364,170.0,1779643036.1215005,2.239549160003662
19,,,,,14.007669,180.0,1779643036.5453088,2.1909327507019043
20,,,,,14.4333604,190.0,1779643036.972725,2.162872791290283
21,,,,,14.8628223,200.0,1779643037.4019625,2.145129680633545
22,,,,,15.2862022,210.0,1779643037.8255668,2.088563919067383
23,,,,,15.704582,220.0,1779643038.2436268,2.0572335720062256
24,,,,,16.1274566,230.0,1779643038.6667671,2.102520704269409
25,,,,,16.5550805,240.0,1779643039.0944462,2.048231363296509
26,2.055234670639038,0.0009979206008271391,1.9577255249023438,,22.705132,250.0,1779643045.244184,
27,,,,,22.7544212,250.0,1779643045.293688,1.948179841041565
28,,,,,23.1743647,260.0,1779643045.7130952,2.013619899749756
29,,,,,23.597588299999998,270.0,1779643046.1369545,2.011495590209961
30,,,,,24.0180038,280.0,1779643046.5561955,1.9750587940216064
31,,,,,24.4385914,290.0,1779643046.9784622,1.9598135948181152
32,,,,,24.8641498,300.0,1779643047.403515,1.920664668083191
33,,,,,25.2864205,310.0,1779643047.8255272,1.9363746643066406
34,,,,,25.7066573,320.0,1779643048.2453127,1.8607194423675537
35,,,,,26.1326172,330.0,1779643048.6719825,1.8564015626907349
36,,,,,26.5686988,340.0,1779643049.1071918,1.8837897777557373
37,,,,,26.9917558,350.0,1779643049.5311222,1.8552485704421997
38,,,,,27.4143156,360.0,1779643049.9530013,1.8085248470306396
39,,,,,27.8361403,370.0,1779643050.375506,1.7755851745605469
40,,,,,28.2613222,380.0,1779643050.8006866,1.8355143070220947
41,,,,,28.6828279,390.0,1779643051.2219102,1.8050521612167358
42,,,,,29.1075179,400.0,1779643051.6468768,1.7769805192947388
43,,,,,29.5372612,410.0,1779643052.075626,1.7447426319122314
44,,,,,29.9539267,420.0,1779643052.4932413,1.7434232234954834
45,,,,,30.3710733,430.0,1779643052.9103858,1.7427343130111694
46,,,,,30.7970537,440.0,1779643053.3364205,1.7722018957138062
47,,,,,31.2262824,450.0,1779643053.766153,1.6644494533538818
48,,,,,31.6438002,460.0,1779643054.183155,1.7475991249084473
49,,,,,32.0741791,470.0,1779643054.6135447,1.700215220451355
50,,,,,32.5002389,480.0,1779643055.0394688,1.7369972467422485
51,,,,,32.920638,490.0,1779643055.4600003,1.6672059297561646
52,1.7993203401565552,0.0009852826883675631,1.6159117221832275,,39.0670611,500.0,1779643061.605948,
53,,,,,39.1142293,500.0,1779643061.6526957,1.6613236665725708
54,,,,,39.5496937,510.0,1779643062.0890605,1.668708086013794
55,,,,,39.9705691,520.0,1779643062.5104399,1.6777335405349731
56,,,,,40.4022814,530.0,1779643062.941468,1.6761384010314941
57,,,,,40.8334554,540.0,1779643063.37211,1.6984905004501343
58,,,,,41.253141,550.0,1779643063.7922313,1.6676626205444336
59,,,,,41.6699279,560.0,1779643064.2092826,1.6110812425613403
60,,,,,42.0942201,570.0,1779643064.6335204,1.6605141162872314
61,,,,,42.5225891,580.0,1779643065.0617719,1.614298701286316
62,,,,,42.9485104,590.0,1779643065.4878418,1.611493468284607
63,,,,,43.3705339,600.0,1779643065.90987,1.609582543373108
64,,,,,43.7986927,610.0,1779643066.338057,1.6170322895050049
65,,,,,44.2213537,620.0,1779643066.7607393,1.599595069885254
66,,,,,44.647143,630.0,1779643067.1854208,1.5896354913711548
67,,,,,45.0726746,640.0,1779643067.6120412,1.6021854877471924
68,,,,,45.5010792,650.0,1779643068.0400712,1.587235689163208
69,,,,,45.9275199,660.0,1779643068.4662037,1.582413673400879
70,,,,,46.3517659,670.0,1779643068.8908656,1.602502703666687
71,,,,,46.7822549,680.0,1779643069.3210711,1.5684741735458374
72,,,,,47.2064228,690.0,1779643069.7456932,1.568421721458435
73,,,,,47.6368939,700.0,1779643070.176765,1.5779708623886108
74,,,,,48.062706,710.0,1779643070.6020722,1.546568512916565
75,,,,,48.4898278,720.0,1779643071.0291893,1.6144731044769287
76,,,,,48.9154522,730.0,1779643071.4547136,1.5808205604553223
77,,,,,49.3396706,740.0,1779643071.8780348,1.5744128227233887
78,1.6672455072402954,0.0009614856803571157,1.468245029449463,,55.5268912,750.0,1779643078.0658004,
79,,,,,55.5711366,750.0,1779643078.1104941,1.4959577322006226
80,,,,,55.9982795,760.0,1779643078.5381503,1.5551937818527222
81,,,,,56.4267703,770.0,1779643078.9661353,1.5240107774734497
82,,,,,56.8508243,780.0,1779643079.3901627,1.5410300493240356
83,,,,,57.2763422,790.0,1779643079.8147655,1.5529958009719849
84,,,,,57.704663,800.0,1779643080.2437003,1.5187427997589111
85,,,,,58.1310126,810.0,1779643080.6703784,1.4706584215164185
86,,,,,58.5510106,820.0,1779643081.0897334,1.5309484004974365
87,,,,,58.9774264,830.0,1779643081.5167859,1.506710171699524
88,,,,,59.4103418,840.0,1779643081.9497046,1.4720804691314697
89,,,,,59.8341001,850.0,1779643082.3733597,1.498376488685608
90,,,,,60.2619379,860.0,1779643082.801283,1.5255311727523804
91,,,,,60.6894707,870.0,1779643083.228833,1.4861592054367065
92,,,,,61.1136684,880.0,1779643083.6530323,1.494017243385315
93,,,,,61.5355674,890.0,1779643084.0746534,1.4919387102127075
94,,,,,61.9639261,900.0,1779643084.5032146,1.494052529335022
95,,,,,62.3943702,910.0,1779643084.9337354,1.4726996421813965
96,,,,,62.8131975,920.0,1779643085.3525438,1.4760253429412842
97,,,,,63.2477596,930.0,1779643085.7869482,1.475380301475525
98,,,,,63.6754221,940.0,1779643086.2146792,1.4601823091506958
99,,,,,64.1034496,950.0,1779643086.642815,1.428933024406433
100,,,,,64.5329711,960.0,1779643087.0720365,1.472658634185791
101,,,,,64.9644832,970.0,1779643087.5036833,1.434697151184082
102,,,,,65.3948712,980.0,1779643087.934742,1.4496469497680664
103,,,,,65.8224909,990.0,1779643088.3618567,1.4353821277618408
104,1.5805583000183105,0.0009271396472013282,1.3756065368652344,,72.0000084,1000.0,1779643094.5398793,
105,,,,,72.0452349,1000.0,1779643094.584349,1.41196608543396
106,,,,,72.4727206,1010.0,1779643095.0118544,1.4231972694396973
107,,,,,72.9017786,1020.0,1779643095.4411426,1.4210773706436157
108,,,,,73.3266092,1030.0,1779643095.8659754,1.426926851272583
109,,,,,73.7536812,1040.0,1779643096.2930422,1.4387625455856323
110,,,,,74.1795825,1050.0,1779643096.7184384,1.4253202676773071
111,,,,,74.6083193,1060.0,1779643097.147686,1.4236594438552856
112,,,,,75.0324489,1070.0,1779643097.571741,1.4115890264511108
113,,,,,75.4790156,1080.0,1779643098.017518,1.4354735612869263
114,,,,,75.9115955,1090.0,1779643098.4509594,1.4254611730575562
115,,,,,76.3372222,1100.0,1779643098.8754046,1.37125825881958
116,,,,,76.7687486,1110.0,1779643099.3071313,1.421993374824524
117,,,,,77.1903274,1120.0,1779643099.7296927,1.3864152431488037
118,,,,,77.6193203,1130.0,1779643100.1584702,1.374892234802246
119,,,,,78.046409,1140.0,1779643100.5856688,1.4599807262420654
120,,,,,78.468887,1150.0,1779643101.0082529,1.4194238185882568
121,,,,,78.887126,1160.0,1779643101.4264686,1.4146018028259277
122,,,,,79.3222174,1170.0,1779643101.8608649,1.3433935642242432
123,,,,,79.7524825,1180.0,1779643102.291849,1.4185800552368164
124,,,,,80.1760933,1190.0,1779643102.715386,1.4068701267242432
125,,,,,80.6030838,1200.0,1779643103.142287,1.3690588474273682
126,,,,,81.0353964,1210.0,1779643103.5747616,1.413575530052185
127,,,,,81.4578825,1220.0,1779643103.9964545,1.4007461071014404
128,,,,,81.8840809,1230.0,1779643104.4225798,1.3665257692337036
129,,,,,82.3164895,1240.0,1779643104.85508,1.3915969133377075
130,1.5593205690383911,0.000883125098683892,1.3287310600280762,,88.490477,1250.0,1779643111.029645,
131,,,,,88.5384447,1250.0,1779643111.0770674,1.401341199874878
132,,,,,88.9685344,1260.0,1779643111.5078988,1.393983006477356
133,,,,,89.3968099,1270.0,1779643111.9359977,1.416081428527832
134,,,,,89.826226,1280.0,1779643112.3655903,1.3916642665863037
135,,,,,90.2532708,1290.0,1779643112.792464,1.3457828760147095
136,,,,,90.6795484,1300.0,1779643113.2188892,1.3771562576293945
137,,,,,91.105734,1310.0,1779643113.6450808,1.3863918781280518
138,,,,,91.5277437,1320.0,1779643114.0670831,1.3626337051391602
139,,,,,91.955059,1330.0,1779643114.494403,1.3765532970428467
140,,,,,92.3831674,1340.0,1779643114.922532,1.3882521390914917
141,,,,,92.8091078,1350.0,1779643115.348475,1.3718074560165405
142,,,,,93.2391747,1360.0,1779643115.7784574,1.3703275918960571
143,,,,,93.6676775,1370.0,1779643116.2070432,1.3832255601882935
144,,,,,94.0926464,1380.0,1779643116.6317945,1.344110131263733
145,,,,,94.5134981,1390.0,1779643117.0528631,1.327717661857605
146,,,,,94.9415664,1400.0,1779643117.4805665,1.351189136505127
