val/loss,_timestamp,train/step_loss,train/loss,Sample Generation,lr,iter,_step,_runtime
4.200353622436523,1779545016.962993,,4.193497180938721,,9.900990099009901e-06,0.0,0,21.1232327
,1779545017.141015,4.207913398742676,,,,0.0,1,21.3011332
,1779545018.7788079,3.0549654960632324,,,,10.0,2,22.9409209
,1779545020.4198055,2.691107749938965,,,,20.0,3,24.5795409
,1779545022.0579138,2.557450771331787,,,,30.0,4,26.2176493
,1779545023.6965053,2.5019311904907227,,,,40.0,5,27.8567971
,1779545025.3357718,2.434345245361328,,,,50.0,6,29.4961604
,1779545026.9745488,2.349364757537842,,,,60.0,7,31.1342841
,1779545028.7691362,2.311448097229004,,,,70.0,8,32.9288716
,1779545030.4800847,2.217071056365967,,,,80.0,9,34.6401907
,1779545032.1833978,2.1525771617889404,,,,90.0,10,36.347963
,1779545033.8990052,2.0950984954833984,,,,100.0,11,38.0593588
,1779545035.6072602,2.0548622608184814,,,,110.0,12,39.7677299
,1779545037.317088,2.0219411849975586,,,,120.0,13,41.4768233
,1779545039.0271952,1.9485015869140625,,,,130.0,14,43.1874385
,1779545040.738149,1.9542222023010254,,,,140.0,15,44.898404
,1779545042.4496336,1.9041293859481812,,,,150.0,16,46.6100227
,1779545044.1650548,1.856407880783081,,,,160.0,17,48.3253691
,1779545045.8851113,1.8290493488311768,,,,170.0,18,50.0448467
,1779545047.5997138,1.8298366069793701,,,,180.0,19,51.7600634
,1779545049.3158183,1.8027091026306152,,,,190.0,20,53.476638
,1779545051.0710375,1.7624237537384033,,,,200.0,21,55.2307729
,1779545052.988531,1.7308166027069092,,,,210.0,22,57.1488384
,1779545054.6959603,1.759312629699707,,,,220.0,23,58.8556957
,1779545056.5083184,1.7275276184082031,,,,230.0,24,60.66856
,1779545058.2471557,1.6890774965286255,,,,240.0,25,62.4073958
1.7849702835083008,1779545082.3400092,,1.6035734415054321,,0.0009979206008271391,250.0,26,86.5058992
,1779545082.5250022,1.7251243591308594,,,,250.0,27,86.6853011
,1779545084.2490242,1.6385836601257324,,,,260.0,28,88.4087596
,1779545085.9817426,1.651714563369751,,,,270.0,29,90.142575
,1779545087.7133453,1.6812517642974854,,,,280.0,30,91.8735874
,1779545089.4450054,1.6437528133392334,,,,290.0,31,93.6052473
,1779545091.1762054,1.6365147829055786,,,,300.0,32,95.3368869
,1779545092.911493,1.5972120761871338,,,,310.0,33,97.0712284
,1779545094.6452212,1.612801432609558,,,,320.0,34,98.8055538
,1779545096.3837557,1.5633738040924072,,,,330.0,35,100.544343
,1779545098.1458802,1.5689340829849243,,,,340.0,36,102.3066889
,1779545099.9464202,1.5669386386871338,,,,350.0,37,104.1107944
,1779545101.6879277,1.5679190158843994,,,,360.0,38,105.8481673
,1779545103.5249805,1.5704216957092285,,,,370.0,39,107.684716
,1779545105.331205,1.5432062149047852,,,,380.0,40,109.4909402
,1779545107.0752711,1.5249789953231812,,,,390.0,41,111.2355194
,1779545108.8172495,1.4826163053512573,,,,400.0,42,112.9774944
,1779545110.6823325,1.522030234336853,,,,410.0,43,114.8420677
,1779545112.4970846,1.460494041442871,,,,420.0,44,116.6591063
,1779545114.300074,1.4539871215820312,,,,430.0,45,118.4598095
,1779545116.0679843,1.4990153312683105,,,,440.0,46,120.2282241
,1779545117.8363254,1.47365403175354,,,,450.0,47,121.996499
,1779545119.600602,1.430699348449707,,,,460.0,48,123.7639697
,1779545121.3665311,1.4262523651123047,,,,470.0,49,125.526909
,1779545123.1330986,1.441490650177002,,,,480.0,50,127.2928338
,1779545124.902038,1.439062237739563,,,,490.0,51,129.0623205
1.592714786529541,1779545148.5085166,,1.3541542291641235,,0.0009852826883675631,500.0,52,152.6696932
,1779545148.6781175,1.4331499338150024,,,,500.0,53,152.8383956
,1779545150.3517625,1.4485962390899658,,,,510.0,54,154.5127178
,1779545152.239726,1.4291715621948242,,,,520.0,55,156.3999648
,1779545153.939766,1.4323551654815674,,,,530.0,56,158.1000049
,1779545155.7203496,1.419156789779663,,,,540.0,57,159.8850588
,1779545157.4422426,1.4187644720077515,,,,550.0,58,161.6033312
,1779545159.1633072,1.3964985609054565,,,,560.0,59,163.3240199
,1779545160.8889668,1.402453064918518,,,,570.0,60,165.0487024
,1779545162.615598,1.3815028667449951,,,,580.0,61,166.7753336
,1779545164.4129536,1.4200823307037354,,,,590.0,62,168.5726891
,1779545166.1305647,1.3939512968063354,,,,600.0,63,170.2906288
,1779545167.980703,1.3505613803863525,,,,610.0,64,172.1452761
,1779545169.7738361,1.3802316188812256,,,,620.0,65,173.9340905
,1779545171.539194,1.3783438205718994,,,,630.0,66,175.7037759
,1779545173.3040812,1.371366262435913,,,,640.0,67,177.4655776
,1779545175.0178883,1.3682565689086914,,,,650.0,68,179.1781327
,1779545176.7320375,1.327120304107666,,,,660.0,69,180.8928199
,1779545178.451664,1.3434678316116333,,,,670.0,70,182.6119045
,1779545180.1736314,1.3041105270385742,,,,680.0,71,184.3339405
,1779545181.8902905,1.3350505828857422,,,,690.0,72,186.0507124
,1779545183.610239,1.3046762943267822,,,,700.0,73,187.7707392
,1779545185.330256,1.3149744272232056,,,,710.0,74,189.4915097
,1779545187.0502684,1.3246982097625732,,,,720.0,75,191.2108015
,1779545188.7745724,1.3512271642684937,,,,730.0,76,192.9352451
,1779545190.5323188,1.3172059059143066,,,,740.0,77,194.6926589
1.5328395366668701,1779545214.0199878,,1.2605490684509277,,0.0009614856803571157,750.0,78,218.1803719
,1779545214.190481,1.3179656267166138,,,,750.0,79,218.3520593
,1779545215.8634863,1.327646255493164,,,,760.0,80,220.0232217
,1779545217.7163365,1.3144021034240723,,,,770.0,81,221.8760719
,1779545219.4789124,1.279294729232788,,,,780.0,82,223.6386476
,1779545221.2347438,1.3297494649887085,,,,790.0,83,225.3951853
,1779545222.9948342,1.2896466255187988,,,,800.0,84,227.1550724
,1779545224.7527134,1.2814571857452393,,,,810.0,85,228.9124488
,1779545226.5121894,1.308393955230713,,,,820.0,86,230.6724837
,1779545228.2731001,1.264833688735962,,,,830.0,87,232.4328355
,1779545230.0333385,1.2785495519638062,,,,840.0,88,234.1930741
,1779545231.7974558,1.3026500940322876,,,,850.0,89,235.9575575
,1779545233.561599,1.2730048894882202,,,,860.0,90,237.7213345
,1779545235.3255749,1.2676467895507812,,,,870.0,91,239.4858725
,1779545237.0888119,1.264098882675171,,,,880.0,92,241.25164
,1779545238.8524063,1.2863905429840088,,,,890.0,93,243.0125063
,1779545240.6159496,1.2697551250457764,,,,900.0,94,244.7766334
,1779545242.3783174,1.2798221111297607,,,,910.0,95,246.5388536
,1779545244.1380548,1.2534968852996826,,,,920.0,96,248.2982973
,1779545245.898565,1.2747200727462769,,,,930.0,97,250.0589221
,1779545247.6604676,1.2703912258148193,,,,940.0,98,251.8207271
,1779545249.4226487,1.2079110145568848,,,,950.0,99,253.5823841
,1779545251.182461,1.2458398342132568,,,,960.0,100,255.3428428
,1779545252.9413216,1.2645761966705322,,,,970.0,101,257.1010572
,1779545254.7006083,1.2650363445281982,,,,980.0,102,258.8626734
,1779545256.4603982,1.2645940780639648,,,,990.0,103,260.6206387
1.493454098701477,1779545279.7036533,,1.1810998916625977,,0.0009271396472013282,1000.0,104,283.8651835
,1779545279.8741646,1.265129566192627,,,,1000.0,105,284.0345169
,1779545281.632891,1.2364916801452637,,,,1010.0,106,285.7926264
,1779545283.4098988,1.2446911334991455,,,,1020.0,107,287.5696342
,1779545285.0541196,1.2330788373947144,,,,1030.0,108,289.2143588
,1779545286.7679105,1.2123665809631348,,,,1040.0,109,290.9282403
,1779545288.5085971,1.248746633529663,,,,1050.0,110,292.6688572
,1779545290.2758605,1.240316390991211,,,,1060.0,111,294.435596
,1779545292.0392952,1.243666410446167,,,,1070.0,112,296.1999313
,1779545293.7511716,1.254636526107788,,,,1080.0,113,297.9115903
,1779545295.467283,1.2467567920684814,,,,1090.0,114,299.6270183
,1779545297.1805296,1.2213711738586426,,,,1100.0,115,301.3416569
,1779545298.8965878,1.2186046838760376,,,,1110.0,116,303.0573244
,1779545300.6139455,1.2311327457427979,,,,1120.0,117,304.774298
,1779545302.3315358,1.1962997913360596,,,,1130.0,118,306.4917755
,1779545304.0488741,1.2239875793457031,,,,1140.0,119,308.2091156
,1779545305.7680092,1.2561004161834717,,,,1150.0,120,309.9277446
,1779545307.480907,1.2104437351226807,,,,1160.0,121,311.6458818
,1779545309.2092717,1.2070854902267456,,,,1170.0,122,313.369007
,1779545310.9425232,1.21351957321167,,,,1180.0,123,315.1031021
,1779545312.703243,1.2386616468429565,,,,1190.0,124,316.8639651
,1779545314.4873605,1.2213478088378906,,,,1200.0,125,318.6516591
,1779545316.1958337,1.1996448040008545,,,,1210.0,126,320.3559258
,1779545317.9144113,1.1989694833755493,,,,1220.0,127,322.074726
,1779545319.6719472,1.1507391929626465,,,,1230.0,128,323.8322931
,1779545321.4509387,1.1929376125335693,,,,1240.0,129,325.6116669
1.4925243854522705,1779545344.6689339,,1.1259641647338867,,0.000883125098683892,1250.0,130,348.8296547
,1779545344.8381882,1.1967464685440063,,,,1250.0,131,348.9987286
,1779545346.6183207,1.2104442119598389,,,,1260.0,132,350.778566
,1779545348.3436377,1.1774054765701294,,,,1270.0,133,352.5038769
,1779545350.0654917,1.2078293561935425,,,,1280.0,134,354.2268315
,1779545351.7868226,1.1953895092010498,,,,1290.0,135,355.9470874
,1779545353.5126767,1.1717146635055542,,,,1300.0,136,357.6734136
,1779545355.238015,1.190170407295227,,,,1310.0,137,359.3977503
,1779545356.9610238,1.1937108039855957,,,,1320.0,138,361.1207592
,1779545358.6851559,1.1704883575439453,,,,1330.0,139,362.8448912
,1779545360.4093132,1.1837539672851562,,,,1340.0,140,364.5699189
,1779545362.134757,1.1614797115325928,,,,1350.0,141,366.2976892
,1779545363.8617077,1.1819578409194946,,,,1360.0,142,368.0214431
,1779545365.582717,1.1820993423461914,,,,1370.0,143,369.7479114
,1779545367.3119168,1.1455776691436768,,,,1380.0,144,371.4721619
,1779545369.0378218,1.1573641300201416,,,,1390.0,145,373.19801
,1779545370.7629206,1.1733779907226562,,,,1400.0,146,374.9231633
,1779545372.4896507,1.1879260540008545,,,,1410.0,147,376.6493862
,1779545374.2170386,1.1758710145950317,,,,1420.0,148,378.376774
,1779545375.943649,1.162190318107605,,,,1430.0,149,380.1038891
,1779545377.6672168,1.1718122959136963,,,,1440.0,150,381.8273816
,1779545379.4466126,1.148263931274414,,,,1450.0,151,383.6088414
,1779545381.1635013,1.1424870491027832,,,,1460.0,152,385.3239355
,1779545382.9949527,1.1484252214431763,,,,1470.0,153,387.1559304
,1779545384.7503092,1.1579194068908691,,,,1480.0,154,388.9106816
,1779545386.4976225,1.188503384590149,,,,1490.0,155,390.6579787
1.476555347442627,1779545409.4180806,,1.073614478111267,,0.0008305704108364302,1500.0,156,413.5847515
,1779545409.5884213,1.151137113571167,,,,1500.0,157,413.7536014
,1779545411.2326276,1.1576259136199951,,,,1510.0,158,415.3923631
,1779545413.0165846,1.1453514099121094,,,,1520.0,159,417.17632
,1779545414.7341075,1.1439855098724365,,,,1530.0,160,418.8938428
,1779545416.4322584,1.1574153900146484,,,,1540.0,161,420.5925002
,1779545418.2081053,1.1321732997894287,,,,1550.0,162,422.3685751
,1779545419.9308252,1.1602884531021118,,,,1560.0,163,424.0905606
,1779545421.6688676,1.1568076610565186,,,,1570.0,164,425.8295411
,1779545423.4090247,1.1195045709609985,,,,1580.0,165,427.5692674
,1779545425.1466286,1.123891830444336,,,,1590.0,166,429.3068688
,1779545426.8826413,1.0935065746307373,,,,1600.0,167,431.0435113
,1779545428.6232326,1.1205182075500488,,,,1610.0,168,432.783591
,1779545430.3638027,1.1235337257385254,,,,1620.0,169,434.5235379
,1779545432.1058543,1.1350913047790527,,,,1630.0,170,436.2661394
,1779545433.8425663,1.1396795511245728,,,,1640.0,171,438.0034429
,1779545435.5807145,1.147871971130371,,,,1650.0,172,439.7407927
,1779545437.320565,1.1199266910552979,,,,1660.0,173,441.4828555
,1779545439.0605865,1.155031681060791,,,,1670.0,174,443.2252833
,1779545440.7997737,1.1411490440368652,,,,1680.0,175,444.9604725
,1779545442.5392244,1.1047377586364746,,,,1690.0,176,446.699824
,1779545444.2779303,1.118544340133667,,,,1700.0,177,448.4386481
,1779545446.0184553,1.1110203266143799,,,,1710.0,178,450.1781908
,1779545447.7576082,1.1186052560806274,,,,1720.0,179,451.9173437
,1779545449.4974177,1.0896520614624023,,,,1730.0,180,453.6571532
,1779545451.2371209,1.103121280670166,,,,1740.0,181,455.3973666
1.481034517288208,1779545473.889975,,1.0207141637802124,,0.0007708228984017721,1750.0,182,478.050508
