val/loss,_timestamp,train/step_loss,_runtime,lr,iter,_step,train/loss,Sample Generation
4.2817063331604,1779551931.8244293,,18.1695387,9.900990099009901e-06,0.0,0,4.286865711212158,
,1779551931.9821463,4.266197681427002,18.3246235,,0.0,1,,
,1779551933.454385,3.151468276977539,19.7969188,,10.0,2,,
,1779551934.9333315,2.741137981414795,21.2754253,,20.0,3,,
,1779551936.4479127,2.6231160163879395,22.7900353,,30.0,4,,
,1779551937.9738839,2.574144124984741,24.3158843,,40.0,5,,
,1779551939.501794,2.52467679977417,25.8437488,,50.0,6,,
,1779551941.0311737,2.50901198387146,27.3733323,,60.0,7,,
,1779551942.5596423,2.494649887084961,28.9011329,,70.0,8,,
,1779551944.124162,2.4948577880859375,30.4662689,,80.0,9,,
,1779551945.69079,2.4694225788116455,32.036671,,90.0,10,,
,1779551947.259767,2.4602127075195312,33.6012577,,100.0,11,,
,1779551948.8343065,2.463636636734009,35.1761963,,110.0,12,,
,1779551950.4043794,2.4287540912628174,36.7458701,,120.0,13,,
,1779551951.974699,2.4161272048950195,38.3165038,,130.0,14,,
,1779551953.5450113,2.419513702392578,39.8875961,,140.0,15,,
,1779551955.1145995,2.4190304279327393,41.4591172,,150.0,16,,
,1779551956.6870937,2.3759093284606934,43.0285843,,160.0,17,,
,1779551958.2570665,2.3621954917907715,44.5995443,,170.0,18,,
,1779551959.828278,2.3400421142578125,46.1702748,,180.0,19,,
,1779551961.3992777,2.289459705352783,47.7407681,,190.0,20,,
,1779551962.969127,2.273739814758301,49.3113288,,200.0,21,,
,1779551964.5391796,2.221811056137085,50.8813183,,210.0,22,,
,1779551966.10924,2.239251136779785,52.4513451,,220.0,23,,
,1779551967.6798131,2.1682705879211426,54.0213038,,230.0,24,,
,1779551969.249624,2.1764907836914062,55.5911147,,240.0,25,,
2.1352548599243164,1779551989.7946434,,76.1370277,0.0009979206008271391,250.0,26,2.0461020469665527,
,1779551989.9569077,2.1173577308654785,76.2989051,,250.0,27,,
,1779551991.5276031,2.0767951011657715,77.8696829,,260.0,28,,
,1779551993.0979984,2.0572404861450195,79.4407278,,270.0,29,,
,1779551994.6681938,2.062856912612915,81.0108075,,280.0,30,,
,1779551996.2393136,1.9908396005630493,82.5813136,,290.0,31,,
,1779551997.8096757,1.967423677444458,84.1511664,,300.0,32,,
