_runtime,val/loss,train/loss,Sample Generation,_step,_timestamp,train/step_loss,lr,iter
17.1673451,4.2460036277771,4.251326084136963,,0,1779554318.5786643,,9.900990099009901e-06,0.0
17.3106093,,,,1,1779554318.7227666,4.237988471984863,,0.0
18.667478,,,,2,1779554320.079389,3.305716037750244,,10.0
20.0809092,,,,3,1779554321.4936762,2.888153314590454,,20.0
21.4971491,,,,4,1779554322.9099162,2.6686415672302246,,30.0
22.911826,,,,5,1779554324.324593,2.5891342163085938,,40.0
24.3254837,,,,6,1779554325.7375913,2.5288164615631104,,50.0
25.750607,,,,7,1779554327.1629772,2.5233168601989746,,60.0
27.2452702,,,,8,1779554328.6580372,2.494966506958008,,70.0
28.7411682,,,,9,1779554330.1530335,2.495816230773926,,80.0
30.2357828,,,,10,1779554331.6478171,2.47006893157959,,90.0
31.7300544,,,,11,1779554333.1428213,2.4565279483795166,,100.0
33.2254569,,,,12,1779554334.637718,2.4447574615478516,,110.0
34.7201982,,,,13,1779554336.1319396,2.421215057373047,,120.0
36.2158361,,,,14,1779554337.627836,2.408623218536377,,130.0
37.7097439,,,,15,1779554339.1225111,2.3923757076263428,,140.0
39.2037817,,,,16,1779554340.6159441,2.4029364585876465,,150.0
40.6169631,,,,17,1779554342.0286477,2.362276077270508,,160.0
42.0242327,,,,18,1779554343.4364345,2.350776195526123,,170.0
43.4246499,,,,19,1779554344.837417,2.3056931495666504,,180.0
44.8321475,,,,20,1779554346.2449148,2.2668964862823486,,190.0
46.3277954,,,,21,1779554347.7399065,2.224822998046875,,200.0
47.8233075,,,,22,1779554349.2356083,2.160081624984741,,210.0
49.3182717,,,,23,1779554350.7310388,2.157299041748047,,220.0
50.813296,,,,24,1779554352.222539,2.0818896293640137,,230.0
52.3080654,,,,25,1779554353.720326,2.0755815505981445,,240.0
71.8411162,2.0482397079467773,1.9465640783309937,,26,1779554373.2530735,,0.0009979206008271391,250.0
71.9877771,,,,27,1779554373.4005442,2.0150651931762695,,250.0
73.3978361,,,,28,1779554374.809731,1.9593652486801147,,260.0
74.8106112,,,,29,1779554376.2228646,1.9579384326934814,,270.0
