_timestamp,train/step_loss,Sample Generation,val/loss,lr,iter,_runtime,train/loss,_step
1779542451.6356726,,,4.282227993011475,9.900990099009901e-06,0.0,14.6350546,4.287309646606445,0
1779542451.8355205,4.260632514953613,,,,0.0,14.8273774,,1
1779542452.7815874,3.151817560195923,,,,10.0,15.7709873,,2
1779542453.7267253,2.7403929233551025,,,,20.0,16.7165437,,3
1779542454.6763206,2.6201260089874268,,,,30.0,17.6649471,,4
1779542455.623532,2.5713257789611816,,,,40.0,18.6121587,,5
1779542456.5729163,2.521902084350586,,,,50.0,19.5621391,,6
1779542457.5219061,2.5035572052001953,,,,60.0,20.5114565,,7
1779542458.4707427,2.494300365447998,,,,70.0,21.4629411,,8
1779542459.4160693,2.4935414791107178,,,,80.0,22.4143635,,9
1779542460.404858,2.4667165279388428,,,,90.0,23.3934847,,10
1779542461.3756,2.4684901237487793,,,,100.0,24.3647314,,11
1779542462.456784,2.4529473781585693,,,,110.0,25.44602,,12
1779542463.993568,2.4278993606567383,,,,120.0,26.9821945,,13
1779542464.9894762,2.4125304222106934,,,,130.0,27.9789159,,14
1779542465.9794295,2.415581226348877,,,,140.0,28.9686346,,15
1779542466.982338,2.4182801246643066,,,,150.0,29.9720768,,16
1779542467.992882,2.379073143005371,,,,160.0,30.9819946,,17
1779542468.9985352,2.3910980224609375,,,,170.0,31.9876665,,18
1779542470.0069265,2.3427634239196777,,,,180.0,33.0016684,,19
1779542471.023419,2.2910749912261963,,,,190.0,34.0120454,,20
1779542472.037204,2.2667386531829834,,,,200.0,35.0293722,,21
1779542473.076264,2.2010746002197266,,,,210.0,36.0648905,,22
1779542474.0916874,2.198925495147705,,,,220.0,37.0807995,,23
1779542475.1241786,2.1268866062164307,,,,230.0,38.1133753,,24
1779542476.1677737,2.1348838806152344,,,,240.0,39.1571161,,25
1779542490.4853876,,,2.110293388366699,0.0009979206008271391,250.0,53.4795785,2.0135483741760254,26
1779542490.6007824,2.0755436420440674,,,,250.0,53.5899159,,27
1779542491.72904,2.0224270820617676,,,,260.0,54.7181725,,28
1779542492.8497968,2.0111446380615234,,,,270.0,55.8391194,,29
1779542493.949721,2.0150070190429688,,,,280.0,56.9392997,,30
1779542495.0264256,1.9452893733978271,,,,290.0,58.0155582,,31
1779542496.103352,1.9310238361358643,,,,300.0,59.0926298,,32
1779542497.1816156,1.906049370765686,,,,310.0,60.1705465,,33
1779542498.328195,1.8909602165222168,,,,320.0,61.3168218,,34
1779542499.4062533,1.8502439260482788,,,,330.0,62.3954046,,35
