run_name,val_mean,val_std,val_min,val_max,n_seeds,time_mean,time_std,time_min,time_max,n_params
G1_ternary_weights,1.4704509675502777,0.005713604708783067,1.4662405252456665,1.4786324501037598,4,785.5,100.52694497828266,724,935,10745088
F1_context_128,1.4974121153354645,0.005669008398177216,1.4929481744766235,1.5049874782562256,4,327.75,9.105858919765156,318,336,10695936
C1_1_head,1.5215304493904114,0.001567066656263181,1.5201514959335327,1.5237518548965454,4,779.75,64.0956316764255,710,865,10745088
A1_no_pos_encoding,1.5667920112609863,0.01972989638459125,1.5557680130004885,1.5963112115859983,4,752.25,95.30433708214262,688,894,10646784
B2_post_ln,1.5717248320579529,0.0105078988687468,1.5575546026229858,1.5806834697723389,4,735.25,72.97202660380667,678,838,10745088
D1_relu,1.604402869939804,0.012779758277730029,1.591766357421875,1.6163253784179688,4,713.75,36.3535876267162,679,762,10745088
E1_scaled_residual,1.6802478730678558,0.008786294011256844,1.6679279804229736,1.6879127025604248,4,720.25,23.471614061812335,686,736,10745088
B1_rmsnorm,1.6915098428726196,0.008238172108870671,1.684001326560974,1.698805809020996,4,954.5,103.61949623502326,875,1103,10745088
baseline,1.6944336593151093,0.007246448231789688,1.6883337497711182,1.7041577100753784,4,728.0,70.20446329590922,687,833,10745088
C2_8_heads,1.7034953236579895,0.011253295753847795,1.688595175743103,1.7144217491149902,4,759.5,49.3254498205541,695,815,10745088
C3_12_heads,1.7119656205177307,0.011545202419658585,1.7029708623886108,1.727922797203064,4,748.75,44.947191235938206,705,810,10745088
A2_rope,1.7366905212402344,0.010960333055399491,1.7268010377883911,1.7522807121276855,4,900.25,97.0820100052871,839,1045,10646784
A3_alibi,1.8133592903614044,0.006431891207744323,1.8090397119522097,1.8229146003723145,4,1374.5,118.50597734572996,1292,1550,10646784
D2_swiglu,1.8875855803489683,0.0037255113339017343,1.884806990623474,1.8930504322052,4,788.75,18.625699092025155,768,809,10745088
F2_context_512,2.0105149149894714,0.01287524582939355,2.0003767013549805,2.0293877124786377,4,1541.5,51.836280730777716,1488,1609,10843392
E2_no_residuals,3.357021152973175,0.002772923382513797,3.3535919189453125,3.3593099117279053,4,667.0,20.116328359486157,637,679,10745088
