"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","batch_size","bias","block_size","device","dropout","eval_interval","eval_iters","grad_clip","learning_rate","linear_type","log_interval","lr_decay_iters","max_iters","min_lr","n_embd","n_head","n_layer","n_params","norm_placement","norm_type","pos_encoding","residual_type","run_name","seed","vocab_size","wandb_log","wandb_project","warmup_iters","weight_decay","iter","lr","train/loss","train/step_loss","val/loss"
"F2_context_512","finished","-","","full","2026-05-25T09:56:50.000Z","1492","","gelu","64","false","512","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10843392","pre","layernorm","learned","standard","F2_context_512","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.3682754039764404","0.6352999806404114","2.0003767013549805"
"F1_context_128","finished","-","","full","2026-05-25T09:51:23.000Z","320","","gelu","64","false","128","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10695936","pre","layernorm","learned","standard","F1_context_128","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9567761421203612","1.0486632585525513","1.4929481744766235"
"E2_no_residuals","finished","-","","full","2026-05-25T09:40:38.000Z","642","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","none","E2_no_residuals","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","3.313373327255249","3.3359532356262207","3.355945348739624"
"E1_scaled_residual","finished","-","","full","2026-05-25T09:28:54.000Z","688","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","scaled","E1_scaled_residual","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6451936364173889","0.8106135725975037","1.6848373413085938"
"D2_swiglu","finished","-","","full","2026-05-25T09:15:38.000Z","782","","swiglu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D2_swiglu","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5312626361846924","0.7377179861068726","1.886714220046997"
"D1_relu","finished","-","","full","2026-05-25T09:04:00.000Z","697","","relu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D1_relu","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.7475188970565796","0.882886528968811","1.591766357421875"
"C3_12_heads","finished","-","","full","2026-05-25T08:51:42.000Z","737","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","12","6","10745088","pre","layernorm","learned","standard","C3_12_heads","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6217368841171265","0.7901208996772766","1.7040066719055176"
"C2_8_heads","finished","-","","full","2026-05-25T08:38:02.000Z","818","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","8","6","10745088","pre","layernorm","learned","standard","C2_8_heads","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6328921318054199","0.809505820274353","1.7015697956085205"
"C1_1_head","finished","-","","full","2026-05-25T08:23:32.000Z","868","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","1","6","10745088","pre","layernorm","learned","standard","C1_1_head","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9019903540611268","1.016663908958435","1.5237518548965454"
"B2_post_ln","finished","-","","full","2026-05-25T08:09:30.000Z","841","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","post","layernorm","learned","standard","B2_post_ln","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.8492003679275513","0.9575790166854858","1.570051908493042"
"B1_rmsnorm","finished","-","","full","2026-05-25T07:50:58.000Z","1106","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","rmsnorm","learned","standard","B1_rmsnorm","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6406018137931824","0.8056275248527527","1.684001326560974"
"A3_alibi","finished","-","","full","2026-05-25T07:25:05.000Z","1552","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","alibi","standard","A3_alibi","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5375778079032898","0.7787430882453918","1.8090397119522097"
"A2_rope","finished","-","","full","2026-05-25T07:07:35.000Z","1048","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","rope","standard","A2_rope","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5495076179504395","0.7849846482276917","1.7522807121276855"
"A1_no_pos_encoding","finished","-","","full","2026-05-25T06:52:37.000Z","897","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","none","standard","A1_no_pos_encoding","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.035722017288208","1.1347261667251587","1.5557680130004885"
"baseline","finished","-","","full","2026-05-25T06:38:38.000Z","836","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","baseline","2026","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6433103680610657","0.8170266151428223","1.6957199573516846"
"G1_ternary_weights","finished","-","","full","2026-05-24T17:49:36.000Z","939","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","ternary","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","G1_ternary_weights","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.0265308618545532","1.1118669509887695","1.4662405252456665"
"F2_context_512","finished","-","","full","2026-05-24T17:22:43.000Z","1611","","gelu","64","false","512","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10843392","pre","layernorm","learned","standard","F2_context_512","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.3490252196788788","0.6111041903495789","2.005828619003296"
"F1_context_128","finished","-","","full","2026-05-24T17:17:02.000Z","339","","gelu","64","false","128","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10695936","pre","layernorm","learned","standard","F1_context_128","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9456024169921876","1.0663418769836426","1.5049874782562256"
"E2_no_residuals","finished","-","","full","2026-05-24T17:05:38.000Z","682","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","none","E2_no_residuals","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","3.315722942352295","3.2999486923217773","3.3592374324798584"
"E1_scaled_residual","finished","-","","full","2026-05-24T16:53:19.000Z","738","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","scaled","E1_scaled_residual","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6329095363616943","0.824001669883728","1.6879127025604248"
"D2_swiglu","finished","-","","full","2026-05-24T16:39:45.000Z","812","","swiglu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D2_swiglu","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5340456962585449","0.7587977647781372","1.8930504322052"
"D1_relu","finished","-","","full","2026-05-24T16:26:59.000Z","765","","relu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D1_relu","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.7293193936347961","0.8859847187995911","1.614452242851257"
"C3_12_heads","finished","-","","full","2026-05-24T16:13:25.000Z","812","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","12","6","10745088","pre","layernorm","learned","standard","C3_12_heads","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6285912394523621","0.8210287094116211","1.7029708623886108"
"C2_8_heads","finished","-","","full","2026-05-24T16:00:28.000Z","771","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","8","6","10745088","pre","layernorm","learned","standard","C2_8_heads","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6010086536407471","0.7953455448150635","1.7093945741653442"
"C1_1_head","finished","-","","full","2026-05-24T15:47:25.000Z","782","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","1","6","10745088","pre","layernorm","learned","standard","C1_1_head","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.90400892496109","1.0397013425827026","1.5214059352874756"
"B2_post_ln","finished","-","","full","2026-05-24T15:35:04.000Z","739","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","post","layernorm","learned","standard","B2_post_ln","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.8508021831512451","0.9833775758743286","1.5575546026229858"
"B1_rmsnorm","finished","-","","full","2026-05-24T15:19:11.000Z","952","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","rmsnorm","learned","standard","B1_rmsnorm","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6333891153335571","0.8240692019462585","1.6847615242004397"
"A3_alibi","finished","-","","full","2026-05-24T14:57:09.000Z","1320","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","alibi","standard","A3_alibi","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5341942310333252","0.7402465343475342","1.8229146003723145"
"A2_rope","finished","-","","full","2026-05-24T14:42:53.000Z","854","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","rope","standard","A2_rope","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5614467263221741","0.7495555877685547","1.7325592041015625"
"A1_no_pos_encoding","finished","-","","full","2026-05-24T14:30:54.000Z","713","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","none","standard","A1_no_pos_encoding","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.053412675857544","1.110443115234375","1.5561554431915283"
"baseline","finished","-","","full","2026-05-24T14:19:15.000Z","696","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","baseline","3740","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6288482546806335","0.8209157586097717","1.7041577100753784"
"G1_ternary_weights","finished","-","","full","2026-05-24T13:52:31.000Z","756","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","ternary","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","G1_ternary_weights","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.0333003997802734","1.126531004905701","1.470106601715088"
"F2_context_512","finished","-","","full","2026-05-24T13:26:36.000Z","1553","","gelu","64","false","512","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10843392","pre","layernorm","learned","standard","F2_context_512","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.34802481532096863","0.62396240234375","2.0064666271209717"
"F1_context_128","finished","-","","full","2026-05-24T13:21:10.000Z","324","","gelu","64","false","128","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10695936","pre","layernorm","learned","standard","F1_context_128","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9426016211509703","1.0775084495544434","1.4985265731811523"
"E2_no_residuals","finished","-","","full","2026-05-24T13:09:23.000Z","677","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","none","E2_no_residuals","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","3.3133368492126465","3.307912826538086","3.3535919189453125"
"E1_scaled_residual","finished","-","","full","2026-05-24T12:56:58.000Z","728","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","scaled","E1_scaled_residual","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.646798849105835","0.8406622409820557","1.6679279804229736"
"D2_swiglu","finished","-","","full","2026-05-24T12:44:06.000Z","771","","swiglu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D2_swiglu","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5421645641326904","0.7640490531921387","1.884806990623474"
"D1_relu","finished","-","","full","2026-05-24T12:32:39.000Z","681","","relu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","D1_relu","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.737979531288147","0.8994301557540894","1.5950675010681152"
"C3_12_heads","finished","-","","full","2026-05-24T12:20:44.000Z","707","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","12","6","10745088","pre","layernorm","learned","standard","C3_12_heads","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6195580363273621","0.8185945153236389","1.7129621505737305"
"C2_8_heads","finished","-","","full","2026-05-24T12:09:03.000Z","699","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","8","6","10745088","pre","layernorm","learned","standard","C2_8_heads","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6274667382240295","0.8198261857032776","1.688595175743103"
"C1_1_head","finished","-","","full","2026-05-24T11:57:07.000Z","713","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","1","6","10745088","pre","layernorm","learned","standard","C1_1_head","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.9012460112571716","1.0476540327072144","1.5208125114440918"
"B2_post_ln","finished","-","","full","2026-05-24T11:45:45.000Z","680","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","post","layernorm","learned","standard","B2_post_ln","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.8363053202629089","0.9853889346122742","1.5786093473434448"
"B1_rmsnorm","finished","-","","full","2026-05-24T11:31:06.000Z","877","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","rmsnorm","learned","standard","B1_rmsnorm","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6276839971542358","0.8246670961380005","1.698805809020996"
"A3_alibi","finished","-","","full","2026-05-24T11:09:31.000Z","1294","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","alibi","standard","A3_alibi","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.5317318439483643","0.7778551578521729","1.8112096786499023"
"A2_rope","finished","-","","full","2026-05-24T10:55:28.000Z","841","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","rope","standard","A2_rope","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.551831066608429","0.7763036489486694","1.7351211309432983"
"A1_no_pos_encoding","finished","-","","full","2026-05-24T10:43:56.000Z","691","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10646784","pre","layernorm","none","standard","A1_no_pos_encoding","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","1.1110336780548096","1.1241121292114258","1.5963112115859983"
"baseline","finished","-","","full","2026-05-24T10:32:26.000Z","689","","gelu","64","false","256","cuda","0.2","250","200","1","0.001","standard","10","5000","5000","0.0001","384","6","6","10745088","pre","layernorm","learned","standard","baseline","3242","65","true","nanogpt-ablations","100","0.1","5000","0.0001","0.6322678923606873","0.8313280344009399","1.6883337497711182"
