run_name,activation_type,batch_size,block_size,dropout,learning_rate,linear_type,n_embd,n_head,n_layer,n_params,norm_placement,norm_type,pos_encoding,residual_type,train/loss_mean,train/loss_std,val/loss_mean,val/loss_std,train/step_loss_mean,train/step_loss_std,Runtime_mean,Runtime_std,num_seeds
A1_no_pos_encoding,gelu,64,256,0.2,0.001,standard,384,6,6,10646784,pre,layernorm,none,standard,1.0621698498725891,0.033418622836144295,1.5667920112609863,0.01972989638459118,1.1190989315509796,0.012752735904667864,755.0,95.42885657214316,4
A2_rope,gelu,64,256,0.2,0.001,standard,384,6,6,10646784,pre,layernorm,rope,standard,0.5585132539272308,0.009950407594647267,1.7366905212402344,0.0109603330553995,0.774427205324173,0.01720731583062769,902.75,97.45896572404205,4
A3_alibi,gelu,64,256,0.2,0.001,standard,384,6,6,10646784,pre,layernorm,alibi,standard,0.5347139686346054,0.0024339161549443975,1.8133592903614044,0.006431891207744302,0.7668440639972687,0.018109450141866323,1377.25,118.2070922858128,4
B1_rmsnorm,gelu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,rmsnorm,learned,standard,0.6336848884820938,0.005301784534361638,1.6915098428726196,0.008238172108870758,0.8188336044549942,0.00895187825461256,957.5,104.03364840281245,4
B2_post_ln,gelu,64,256,0.2,0.001,standard,384,6,6,10745088,post,layernorm,learned,standard,0.8428006619215012,0.008360085106735233,1.5717248320579529,0.010507898868746814,0.9730592519044876,0.013533951324231477,738.0,73.23478226453147,4
C1_1_head,gelu,64,256,0.2,0.001,standard,384,1,6,10745088,pre,layernorm,learned,standard,0.901778981089592,0.0017265740024985084,1.5215304493904114,0.001567066656263191,1.033618450164795,0.01330997247418339,784.5,63.72074492136242,4
C2_8_heads,gelu,64,256,0.2,0.001,standard,384,8,6,10745088,pre,layernorm,learned,standard,0.6181585192680359,0.014666735186217321,1.7034953236579895,0.01125329575384781,0.8056717664003372,0.011260380493789126,762.75,48.93788580094839,4
C3_12_heads,gelu,64,256,0.2,0.001,standard,384,12,6,10745088,pre,layernorm,learned,standard,0.6226595640182495,0.004053558898942419,1.7119656205177307,0.011545202419658585,0.8100175857543945,0.014033079207339453,752.25,44.16163493350308,4
D1_relu,relu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,layernorm,learned,standard,0.7380352467298508,0.0074479501291807165,1.604402869939804,0.012779758277730065,0.8898812681436539,0.007236315077684846,716.5,36.67424164178449,4
D2_swiglu,swiglu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,layernorm,learned,standard,0.5371253192424774,0.005306694067406018,1.8875855803489683,0.0037255113339017135,0.7553738504648209,0.011966471473241978,792.0,18.81488772222678,4
E1_scaled_residual,gelu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,layernorm,learned,scaled,0.6447277963161469,0.008762064246444325,1.6802478730678558,0.008786294011256846,0.8269724249839783,0.012853738073219075,723.0,23.804761428476155,4
E2_no_residuals,gelu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,layernorm,learned,none,3.314451217651367,0.001273882716985862,3.357021152973175,0.0027729233825137976,3.313189744949341,0.015698962676967968,670.25,18.945096111307187,4
F1_context_128,gelu,64,128,0.2,0.001,standard,384,6,6,10695936,pre,layernorm,learned,standard,0.9490525126457214,0.006269303517831689,1.4974121153354645,0.005669008398177244,1.0633103847503662,0.011999753389645195,330.0,9.41629792788369,4
F2_context_512,gelu,64,512,0.2,0.001,standard,384,6,6,10843392,pre,layernorm,learned,standard,0.34943412244319916,0.014684824435889,2.0105149149894714,0.012875245829393445,0.6241361200809479,0.009977675860788552,1544.25,50.999182999991966,4
G1_ternary_weights,gelu,64,256,0.2,0.001,ternary,384,6,6,10745088,pre,layernorm,learned,standard,1.0372735857963562,0.010408462939868681,1.4704509675502777,0.005713604708782981,1.118970900774002,0.007682918503976782,788.25,101.33237389896676,4
baseline,gelu,64,256,0.2,0.001,standard,384,6,6,10745088,pre,layernorm,learned,standard,0.635138675570488,0.006206622339465437,1.6944336593151093,0.007246448231789712,0.8230678588151932,0.006037745925638464,731.0,70.2329457353646,4
