run_name,best_val_loss,best_iter,final_val_loss,final_train_loss
G1_ternary_weights,1.4613920211791993,4400.0,,
D1_relu,1.4644031922022502,1916.6666666666667,,
F1_context_128,1.4687649011611938,3000.0,,
C2_8_heads,1.4697303175926208,1833.3333333333333,,
C1_1_head,1.4697433908780415,2833.3333333333335,,
E1_scaled_residual,1.4709837039311726,1791.6666666666667,,
baseline,1.4714386860529582,1708.3333333333333,,
A2_rope,1.471781353155772,1458.3333333333333,,
B1_rmsnorm,1.4733535448710124,1791.6666666666667,,
F2_context_512,1.4747812271118164,1400.0,,
C3_12_heads,1.4752382636070251,1791.6666666666667,,
B2_post_ln,1.485574225584666,2291.6666666666665,,
A3_alibi,1.492343505223592,1333.3333333333333,,
D2_swiglu,1.503135045369466,1458.3333333333333,,
A1_no_pos_encoding,1.5287564396858215,3083.3333333333335,,
E2_no_residuals,3.352455186843872,2100.0,,
