run_name,val_mean,val_std,val_min,val_max,n_seeds,time_mean,time_std,time_min,time_max,n_params
G1_ternary_weights,1.4739087104797364,0.00917953647562208,1.4662405252456665,1.4877396821975708,5,863.2,194.33399085080305,724.0,1174.0,10745088
F1_context_128,1.4993959426879884,0.006616728571360713,1.4929481744766235,1.5073312520980835,5,374.8,105.50213267986577,318.0,563.0,10695936
C1_1_head,1.5227385361989338,0.002236983405839778,1.5201514959335327,1.525418996810913,6,958.6666666666666,289.67959311395526,710.0,1424.0,10745088
A1_no_pos_encoding,1.5686865448951721,0.017038892744495996,1.5557680130004885,1.5963112115859983,6,932.1666666666666,288.3368978585063,688.0,1293.0,10646784
B2_post_ln,1.572513182957967,0.00840879185065354,1.5575546026229858,1.5806834697723389,6,899.3333333333334,266.62157952173834,678.0,1318.0,10745088
D1_relu,1.6093369325002034,0.012513282553944557,1.591766357421875,1.619839429855347,6,867.0,245.1171148655271,679.0,1259.0,10745088
E1_scaled_residual,1.6883715788523357,0.014339626764210776,1.6679279804229736,1.70613431930542,6,914.8333333333334,318.9021270964913,686.0,1466.0,10745088
B1_rmsnorm,1.6913483540217082,0.009658849386018629,1.679567813873291,1.7024829387664795,6,1121.1666666666667,284.2213339400592,875.0,1593.0,10745088
baseline,1.6979546149571736,0.007834527019154533,1.6883337497711182,1.7055444717407229,6,893.0,262.2205178852334,687.0,1257.0,10745088
C2_8_heads,1.710215965906779,0.013897111226282687,1.688595175743103,1.7283334732055664,6,932.8333333333334,277.60289383698193,695.0,1373.0,10745088
C3_12_heads,1.7181708812713623,0.013383357897410951,1.7029708623886108,1.7346822023391724,6,938.0,305.4020301176795,705.0,1440.0,10745088
A2_rope,1.7432083090146382,0.013790955581376833,1.7268010377883911,1.7625994682312012,6,1060.8333333333333,265.0157856933558,839.0,1464.0,10646784
A3_alibi,1.8131311933199565,0.005713561416382069,1.8082879781723025,1.8229146003723145,6,1617.6666666666667,402.19729818419546,1292.0,2273.0,10646784
D2_swiglu,1.880831778049469,0.010887748415713246,1.865962028503418,1.8930504322052,6,981.8333333333334,310.38583515789935,768.0,1497.0,10745088
F2_context_512,2.013404369354248,0.012886958485465795,2.0003767013549805,2.0293877124786377,5,1706.2,371.00633417773344,1488.0,2365.0,10843392
E2_no_residuals,3.3578325748443603,0.0030097932369447297,3.3535919189453125,3.3610782623291016,5,743.8,172.61141329587684,637.0,1051.0,10745088
